bed 345 27 590 419 0.176399 0.773669 crib
chair 127 154 206 274 0.588575 0.276090 toy
chair 166 229 327 330 0.325436 0.654916 ladder
chair 440 114 590 253 0.273233 0.569420 BG
chair 418 65 467 79 0.231206 0.759097 BG
chair 415 64 472 126 0.213064 0.772268 BG
chair 465 65 473 83 0.181769 0.795900 BG
chair 464 83 469 90 0.155091 0.841459 BG
chair 388 65 471 246 0.141453 0.844234 BG
chair 427 63 449 70 0.136752 0.852652 BG
table 17 214 128 437 0.210216 0.603094 BG
picture 579 223 590 232 0.207722 0.699869 BG
picture 432 4 438 13 0.186642 0.255423 BG
picture 547 4 560 31 0.178076 0.392576 BG
picture 526 1 589 37 0.155626 0.394632 BG
picture 381 68 402 105 0.150083 0.776089 BG
picture 558 206 590 232 0.148926 0.789941 BG
picture 140 1 182 48 0.113876 0.115933 BG
picture 578 1 590 14 0.11207 0.217991 BG
picture 340 1 349 9 0.110723 0.255321 BG
picture 573 231 578 234 0.107244 0.815369 BG
pillow 489 283 561 378 0.48672 0.287906 BG
pillow 464 87 588 124 0.474059 0.451768 BG
pillow 478 110 566 124 0.266007 0.687012 BG
pillow 139 174 208 197 0.209297 0.643927 BG
pillow 457 90 588 234 0.20063 0.523655 BG
pillow 136 182 162 194 0.167302 0.618061 BG
pillow 510 109 561 115 0.142508 0.814706 BG
pillow 481 301 503 381 0.134715 0.728727 BG
pillow 497 111 513 119 0.133026 0.838190 BG
pillow 544 1 558 32 0.125314 0.416746 BG
clothes 345 270 567 374 0.974003 0.009028 clothes
clothes 383 293 465 366 0.405383 0.572288 BG
clothes 483 309 555 379 0.274824 0.400403 BG
clothes 365 273 469 323 0.265873 0.685585 BG
clothes 457 303 503 375 0.231087 0.634489 BG
clothes 527 347 556 368 0.153309 0.655076 BG
clothes 546 348 556 359 0.127205 0.760558 BG
clothes 367 294 408 372 0.105326 0.891105 BG
paper 1 151 65 258 0.256555 0.180590 BG
paper 2 376 66 440 0.219722 0.191124 BG
paper 139 1 180 49 0.20061 0.115933 BG
paper 203 29 223 45 0.198791 0.140294 BG
paper 369 400 375 421 0.193096 0.342944 BG
paper 197 384 273 423 0.178571 0.238189 BG
paper 205 400 241 440 0.17662 0.159932 BG
paper 239 412 279 440 0.172259 0.255155 BG
paper 421 386 546 440 0.171994 0.317934 BG
paper 273 370 286 431 0.171817 0.386617 BG
paper 1 401 18 440 0.170989 0.143369 BG
paper 264 1 289 36 0.170365 0.154401 BG
paper 64 400 127 440 0.169696 0.218084 BG
paper 45 384 78 430 0.160649 0.336601 BG
paper 528 0 544 16 0.158618 0.277451 BG
paper 337 400 375 431 0.157818 0.324959 BG
paper 281 415 318 440 0.155089 0.286828 BG
paper 514 380 589 440 0.150864 0.340680 BG
paper 369 385 418 433 0.139895 0.473979 BG
paper 285 363 336 432 0.139085 0.242140 BG
paper 273 372 280 399 0.134527 0.255217 BG
paper 76 336 138 430 0.133789 0.489592 BG
paper 161 368 199 388 0.125578 0.227895 BG
paper 144 418 188 440 0.123408 0.249436 BG
paper 198 374 204 383 0.117978 0.230929 BG
paper 571 378 574 378 0.114913 0.507592 BG
paper 432 3 438 13 0.113073 0.255423 BG
paper 7 325 96 399 0.112174 0.274238 BG
paper 266 396 274 405 0.110247 0.385943 BG
paper 588 85 590 86 0.109154 0.547294 BG
paper 475 397 482 399 0.108109 0.575655 BG
paper 547 3 560 32 0.103054 0.392576 BG
paper 340 1 349 9 0.101186 0.255321 BG
paper 112 336 139 352 0.100552 0.581933 BG
paper 64 325 88 373 0.10012 0.494364 BG
box 486 47 496 56 0.268038 0.539563 BG
box 574 304 585 311 0.195574 0.488748 BG
box 512 373 587 440 0.167102 0.340680 BG
box 571 377 573 378 0.151358 0.507592 BG
box 139 1 181 48 0.144064 0.115933 BG
box 587 288 590 288 0.137952 0.173580 BG
box 2 373 49 440 0.136905 0.117974 BG
box 1 399 19 440 0.134474 0.143369 BG
box 419 381 544 439 0.130562 0.317934 BG
box 280 414 318 440 0.129618 0.286828 BG
box 238 410 279 440 0.128228 0.255155 BG
box 143 417 188 440 0.122372 0.249436 BG
box 482 48 530 62 0.121042 0.687483 BG
box 1 153 68 259 0.118155 0.180590 BG
box 264 1 289 36 0.117653 0.154401 BG
box 431 4 438 13 0.11738 0.255423 BG
box 553 300 588 378 0.117105 0.627321 BG
box 337 411 369 431 0.113876 0.371493 BG
bag 178 189 207 224 0.121186 0.603936 BG
garbage_bin 10 320 97 400 0.182078 0.274238 BG
garbage_bin 195 382 274 424 0.163225 0.238189 BG
garbage_bin 198 373 204 383 0.142802 0.230929 BG
garbage_bin 368 399 375 422 0.135975 0.342944 BG
garbage_bin 203 29 223 45 0.134508 0.140294 BG
garbage_bin 43 382 78 431 0.126999 0.336601 BG
garbage_bin 334 382 416 440 0.124821 0.365439 BG
garbage_bin 73 327 140 430 0.124091 0.489592 BG
garbage_bin 335 399 375 431 0.120838 0.324959 BG
garbage_bin 204 399 241 440 0.120746 0.159932 BG
garbage_bin 567 138 589 223 0.11525 0.812702 BG
garbage_bin 62 398 126 440 0.110566 0.218084 BG
garbage_bin 280 357 366 440 0.107427 0.423999 BG
garbage_bin 161 368 200 388 0.102383 0.227895 BG
