cabinet 197 28 390 487 0.113212 0.612004 cabinet
chair 382 315 522 510 0.103562 0.262248 folding_bed
door 1 3 107 396 0.365575 0.067486 BG
picture 275 1 319 17 0.277342 0.417842 BG
picture 303 1 319 6 0.271667 0.486260 BG
picture 292 6 298 10 0.251919 0.449197 BG
picture 204 1 279 27 0.186944 0.579335 BG
picture 321 2 390 33 0.136552 0.686120 BG
picture 373 1 392 8 0.135369 0.568201 BG
picture 248 4 303 26 0.132792 0.712345 BG
picture 5 193 104 369 0.126056 0.118478 BG
picture 221 301 233 314 0.119441 0.804102 BG
picture 207 300 235 333 0.109291 0.811618 BG
picture 196 4 370 57 0.106415 0.715188 BG
picture 373 2 391 32 0.103148 0.739417 BG
picture 3 6 74 243 0.102794 0.108095 BG
counter 0 370 6 375 0.141331 0.581540 BG
pillow 395 330 517 402 0.244035 0.703725 BG
pillow 356 329 505 529 0.150947 0.271377 folding_bed
mirror 0 181 106 394 0.123113 0.118478 BG
clothes 344 331 545 507 0.173159 0.337788 folding_bed
paper 289 512 298 520 0.176239 0.444579 BG
paper 209 34 216 39 0.154807 0.529615 BG
paper 320 367 334 402 0.136154 0.472629 BG
paper 292 5 297 10 0.131804 0.449197 BG
paper 303 0 318 6 0.128232 0.486260 BG
paper 188 527 306 529 0.125226 0.162118 BG
paper 254 17 263 23 0.12279 0.633777 BG
paper 274 0 318 17 0.112102 0.417842 BG
paper 1 358 44 375 0.107871 0.573840 BG
paper 188 31 204 44 0.107791 0.624885 BG
paper 368 514 415 525 0.106689 0.506208 BG
paper 372 0 391 8 0.105551 0.568201 BG
towel 355 367 506 502 0.249704 0.508881 folding_bed
towel 371 454 373 455 0.134121 0.776599 BG
towel 368 435 387 461 0.109007 0.755438 BG
box 148 396 250 505 0.835549 0.146851 paper_bag
box 202 408 242 489 0.747853 0.213199 BG
box 233 443 241 470 0.320223 0.619039 BG
box 391 38 454 75 0.187627 0.348552 BG
box 193 41 200 52 0.177343 0.553241 BG
box 228 483 233 488 0.170523 0.751319 BG
box 368 504 373 513 0.163804 0.688558 BG
box 209 34 217 39 0.159724 0.529615 BG
box 188 31 205 44 0.132151 0.624885 BG
box 156 454 172 480 0.123573 0.843652 BG
box 152 427 158 457 0.12188 0.860223 BG
box 226 482 245 499 0.120556 0.737813 BG
box 226 487 232 499 0.118913 0.757287 BG
box 288 511 299 520 0.107285 0.444579 BG
box 202 55 209 61 0.103411 0.689161 BG
box 202 26 241 55 0.10065 0.622643 BG
whiteboard 2 233 91 372 0.410483 0.123246 BG
whiteboard 0 1 104 428 0.120738 0.066097 BG
bag 352 363 500 524 0.144779 0.429949 folding_bed
garbage_bin 250 440 253 451 0.226705 0.655326 BG
garbage_bin 391 38 458 75 0.20401 0.348552 BG
garbage_bin 234 448 238 459 0.185215 0.683700 BG
garbage_bin 235 432 249 449 0.152447 0.748403 BG
garbage_bin 226 483 243 499 0.119425 0.737813 BG
garbage_bin 237 444 245 465 0.114238 0.798413 BG
