cabinet 369 24 521 260 0.113127 0.829737 file_cabinet
chair 200 386 543 506 0.97154 0.019226 BG
chair 207 225 367 474 0.764722 0.222551 chair
chair 486 182 634 363 0.730736 0.268912 chair
chair 275 163 367 227 0.593712 0.385439 BG
chair 183 209 279 389 0.283607 0.713716 BG
chair 353 201 353 209 0.281623 0.683589 BG
chair 230 318 307 484 0.220809 0.774826 BG
chair 264 385 377 399 0.168701 0.821812 BG
chair 265 387 274 393 0.126321 0.860238 BG
chair 112 36 134 83 0.119993 0.691413 BG
chair 455 368 473 389 0.117421 0.822787 BG
chair 280 385 304 394 0.115219 0.881760 BG
chair 279 385 282 390 0.110802 0.886021 BG
chair 354 204 373 211 0.108609 0.880475 BG
table 248 197 536 510 0.959033 0.021389 table
door 517 2 562 237 0.107151 0.442539 BG
picture 716 295 729 336 0.161875 0.259560 BG
picture 5 4 78 72 0.138007 0.224667 BG
picture 636 1 688 8 0.13446 0.481364 BG
picture 721 291 725 292 0.120284 0.463239 BG
picture 398 3 476 61 0.108947 0.471945 BG
picture 531 1 564 46 0.104182 0.070100 BG
picture 396 2 401 40 0.102833 0.396586 BG
counter 487 384 514 396 0.140064 0.516232 BG
counter 508 384 516 396 0.113917 0.540727 BG
counter 298 133 345 168 0.100073 0.408980 BG
dresser 3 168 33 335 0.119702 0.772177 BG
fridge 616 246 729 363 0.113142 0.252023 BG
tv 397 2 515 64 0.115865 0.426118 BG
paper 638 18 679 29 0.45776 0.358054 BG
paper 636 0 690 8 0.340165 0.481364 BG
paper 531 0 562 44 0.265093 0.070100 BG
paper 542 112 554 127 0.164392 0.231610 BG
paper 515 1 530 37 0.163484 0.397618 BG
paper 716 352 729 362 0.1289 0.395121 BG
paper 396 1 401 41 0.112996 0.396586 BG
paper 398 43 405 46 0.100471 0.645581 BG
box 401 4 531 42 0.513563 0.228836 BG
box 490 0 501 2 0.359677 0.597321 BG
box 515 3 531 38 0.284735 0.397618 BG
box 625 256 685 355 0.179153 0.472912 BG
box 81 81 82 88 0.174399 0.744409 BG
box 672 281 709 357 0.155939 0.721783 BG
box 396 1 401 39 0.150144 0.396586 BG
box 476 0 483 3 0.138159 0.728000 BG
box 636 18 678 29 0.138028 0.358054 BG
box 640 305 641 317 0.136939 0.562855 BG
box 643 310 660 324 0.133929 0.810058 BG
box 113 39 133 78 0.122457 0.691413 BG
box 531 1 564 44 0.112502 0.070100 BG
box 499 495 511 528 0.106313 0.464681 BG
whiteboard 534 7 622 229 0.742945 0.229403 BG
whiteboard 528 6 561 257 0.470815 0.361997 BG
whiteboard 5 1 74 83 0.337266 0.224667 BG
whiteboard 438 7 550 231 0.153384 0.759353 BG
night_stand 627 258 715 360 0.101172 0.320950 BG
lamp 400 0 401 3 0.191501 0.421460 BG
garbage_bin 685 254 713 301 0.375601 0.570568 BG
garbage_bin 664 256 712 347 0.232047 0.567016 BG
garbage_bin 629 259 688 355 0.214812 0.458704 BG
garbage_bin 684 269 694 269 0.193159 0.800155 BG
garbage_bin 640 305 641 317 0.119197 0.562855 BG
garbage_bin 490 444 517 527 0.110361 0.619297 BG
garbage_bin 541 113 556 127 0.100912 0.231610 BG
