cabinet 16 31 350 356 0.107695 0.508259 shelf
chair 321 239 379 322 0.280123 0.701282 BG
chair 394 99 571 401 0.233145 0.562289 sofa_chair
chair 347 273 354 279 0.176924 0.734593 BG
chair 329 269 353 314 0.172253 0.758711 BG
chair 351 273 360 288 0.12573 0.832553 BG
sofa 383 170 567 379 0.852561 0.118355 sofa_chair
sofa 487 276 729 520 0.216872 0.612132 BG
door 553 8 620 289 0.105467 0.558765 BG
bookshelf 267 0 372 326 0.717095 0.253946 bookshelf
bookshelf 9 39 116 484 0.350186 0.644724 bookshelf
bookshelf 0 244 46 258 0.22617 0.759859 BG
bookshelf 312 106 361 263 0.163597 0.812695 BG
bookshelf 295 163 323 192 0.14766 0.766393 BG
bookshelf 0 117 56 389 0.14683 0.847654 BG
bookshelf 0 335 69 480 0.121692 0.826381 BG
bookshelf 0 238 56 282 0.103672 0.890212 BG
picture 1 1 16 36 0.290662 0.468479 BG
picture 295 1 311 4 0.191544 0.478802 BG
picture 723 182 729 213 0.175464 0.269407 BG
picture 714 179 729 247 0.151909 0.370277 BG
picture 308 3 315 7 0.146249 0.570813 BG
picture 4 7 39 136 0.108216 0.513281 BG
blinds 550 1 615 149 0.459607 0.404191 BG
blinds 537 2 560 147 0.37549 0.543767 BG
blinds 558 5 670 272 0.247843 0.604875 curtain
blinds 515 5 598 263 0.23298 0.669206 BG
blinds 558 70 612 80 0.165159 0.631063 BG
blinds 432 7 557 254 0.141185 0.748906 curtain
blinds 559 47 617 70 0.121658 0.730391 BG
dresser 263 272 325 339 0.117182 0.762126 BG
pillow 420 206 512 270 0.768752 0.222165 pillow
pillow 460 248 511 280 0.160606 0.838143 BG
pillow 466 275 473 276 0.147607 0.847084 BG
pillow 463 270 470 275 0.14383 0.851067 BG
mirror 0 4 40 158 0.266212 0.513281 BG
mirror 0 1 17 37 0.106322 0.468479 BG
tv 99 85 300 290 0.995019 0.002977 tv
tv 105 227 278 272 0.175944 0.788641 BG
tv 214 0 217 2 0.127121 0.750626 BG
paper 29 294 33 295 0.239436 0.738096 BG
paper 294 0 310 3 0.18233 0.478802 BG
paper 17 293 32 319 0.176135 0.789854 BG
paper 308 2 314 6 0.157467 0.570813 BG
paper 719 377 729 382 0.111113 0.434306 BG
box 370 301 389 326 0.123976 0.661678 BG
person 712 292 718 322 0.114502 0.857513 BG
person 712 291 713 297 0.111271 0.870326 BG
sink 187 367 196 374 0.110513 0.853318 BG
sink 173 366 188 405 0.100772 0.850597 BG
lamp 671 90 726 261 0.133072 0.454656 bookshelf
lamp 710 175 728 246 0.112374 0.436094 BG
lamp 656 166 707 245 0.105504 0.733615 BG
garbage_bin 724 337 729 340 0.152214 0.688877 BG
garbage_bin 724 322 729 336 0.128639 0.646994 BG
garbage_bin 702 324 729 378 0.121777 0.762060 BG
