bed 11 84 289 406 0.997416 0.001892 bed
chair 280 118 406 298 0.981585 0.016365 chair
chair 366 191 400 284 0.148174 0.726552 BG
chair 90 81 95 93 0.143215 0.832051 BG
chair 341 127 369 154 0.124121 0.773981 BG
chair 93 60 135 106 0.121255 0.827060 BG
chair 330 132 335 134 0.120253 0.843405 BG
table 297 127 528 307 0.988912 0.002645 table
table 361 140 421 297 0.361846 0.579734 BG
table 364 231 521 315 0.179031 0.491636 BG
picture 188 0 292 35 0.985666 0.014308 picture
picture 99 0 183 38 0.974618 0.024612 picture
picture 194 1 204 35 0.753232 0.246511 BG
picture 164 1 176 29 0.563417 0.424880 BG
picture 119 25 179 36 0.200981 0.793043 BG
picture 199 22 250 35 0.198286 0.799640 BG
desk 281 113 505 309 0.256725 0.267121 chair&&table
pillow 51 271 115 318 0.374549 0.403776 BG
pillow 226 175 241 184 0.181822 0.796111 BG
pillow 70 271 77 278 0.148329 0.849277 BG
pillow 221 181 236 196 0.137374 0.816725 BG
pillow 88 272 110 287 0.129382 0.868612 BG
pillow 79 292 88 304 0.114789 0.703269 BG
pillow 235 157 249 169 0.112312 0.886193 BG
pillow 244 177 252 193 0.101884 0.885905 BG
clothes 53 278 84 319 0.172299 0.601188 BG
paper 549 303 560 308 0.163749 0.316021 BG
paper 413 397 433 426 0.160145 0.175829 BG
towel 3 350 59 404 0.166353 0.704541 BG
box 534 302 559 308 0.173778 0.270955 BG
box 413 396 434 426 0.129374 0.175829 BG
lamp 507 150 507 155 0.201454 0.750463 BG
lamp 325 96 326 99 0.164686 0.584596 BG
lamp 536 224 538 230 0.136723 0.572806 BG
lamp 18 94 40 104 0.106003 0.768919 BG
garbage_bin 415 245 449 311 0.90918 0.086974 BG
garbage_bin 421 266 435 272 0.840303 0.157739 BG
garbage_bin 436 268 442 273 0.7001 0.298799 BG
garbage_bin 377 235 479 318 0.527101 0.350923 garbage_bin
garbage_bin 415 246 445 268 0.382552 0.545104 BG
garbage_bin 401 244 415 281 0.321741 0.644525 BG
garbage_bin 533 303 560 308 0.106019 0.270955 BG
