cabinet 0 23 140 383 0.181306 0.729687 file_cabinet
chair 174 64 489 432 0.96028 0.036425 chair
chair 175 67 277 391 0.21483 0.779422 BG
chair 117 112 235 334 0.144281 0.774034 box
chair 59 433 64 436 0.121467 0.543175 BG
sofa 573 4 589 12 0.160944 0.528643 BG
table 471 126 589 407 0.151601 0.656568 drawer
paper 483 138 587 214 0.227365 0.238025 papers
paper 345 406 347 412 0.202788 0.477507 BG
paper 575 200 590 208 0.187271 0.389133 BG
paper 586 202 590 204 0.184937 0.305837 BG
paper 573 150 590 163 0.157885 0.421136 BG
paper 331 416 352 440 0.139215 0.306994 BG
paper 125 145 154 196 0.133022 0.796898 BG
paper 479 134 522 160 0.115689 0.819977 BG
paper 387 432 401 440 0.111382 0.277125 BG
box 480 128 587 260 0.530348 0.299246 papers
box 586 201 590 203 0.402774 0.305837 BG
box 575 199 589 208 0.370121 0.389133 BG
box 495 198 500 202 0.240566 0.755477 BG
box 115 125 200 272 0.234244 0.716879 BG
box 345 406 347 412 0.167027 0.477507 BG
box 479 2 565 35 0.152194 0.596191 BG
box 330 414 351 440 0.114582 0.306994 BG
sink 474 134 590 339 0.161216 0.584615 drawer
bathtub 480 291 590 325 0.237622 0.711497 BG
