cabinet 145 133 463 407 0.344799 0.518483 file_cabinet
bed 69 303 498 516 0.191954 0.571887 BG
sofa 627 0 722 31 0.182904 0.300941 ceiling
sofa 45 290 514 524 0.15678 0.571887 floor
door 621 118 644 166 0.113472 0.632995 BG
door 2 45 37 308 0.109416 0.693408 BG
picture 659 86 727 234 0.549331 0.209853 BG
picture 715 190 728 220 0.371259 0.274463 BG
picture 715 116 729 226 0.241146 0.299939 BG
picture 641 3 727 59 0.206178 0.235100 BG
picture 543 1 562 7 0.119381 0.454789 BG
picture 690 367 696 371 0.101532 0.140839 BG
mirror 632 80 729 244 0.302518 0.265651 BG
mirror 718 111 729 197 0.109475 0.371267 BG
paper 690 367 695 371 0.174326 0.140839 BG
paper 371 512 376 513 0.165419 0.368544 BG
paper 584 149 591 168 0.129565 0.624705 BG
paper 301 107 307 115 0.1291 0.426855 BG
paper 726 283 729 287 0.128904 0.092530 BG
paper 242 108 303 121 0.122719 0.667335 BG
paper 581 134 589 149 0.122341 0.625485 BG
paper 724 195 729 236 0.118184 0.383509 BG
paper 497 456 511 466 0.115631 0.513160 BG
paper 292 115 302 121 0.11513 0.587672 BG
paper 715 190 728 222 0.114124 0.345259 BG
paper 302 99 314 107 0.109725 0.391491 BG
paper 189 124 210 131 0.109082 0.822743 BG
paper 140 276 154 284 0.102646 0.559155 BG
box 94 266 173 368 0.946347 0.035050 BG
box 93 284 148 322 0.892449 0.095040 BG
box 145 312 153 323 0.729983 0.266228 BG
box 105 314 138 347 0.724677 0.271280 BG
box 123 302 134 305 0.616526 0.373949 BG
box 145 308 150 311 0.596309 0.396192 BG
box 142 299 149 307 0.587003 0.395715 BG
box 138 297 171 324 0.574487 0.414158 BG
box 87 298 92 310 0.509765 0.424207 BG
box 142 301 175 368 0.503147 0.407995 BG
box 90 285 96 290 0.462491 0.396875 BG
box 91 309 111 329 0.351741 0.601059 BG
box 112 319 116 324 0.285066 0.691302 BG
box 147 281 167 304 0.275734 0.684388 BG
box 480 379 524 414 0.272074 0.662697 BG
box 652 200 656 212 0.22112 0.486886 BG
box 80 288 89 291 0.211222 0.613203 BG
box 78 286 88 310 0.172575 0.579085 BG
box 511 383 523 400 0.167635 0.735591 BG
box 370 512 376 513 0.162547 0.368544 BG
box 168 261 172 262 0.160847 0.754133 BG
box 140 276 155 283 0.160348 0.559155 BG
box 155 278 158 283 0.159502 0.534344 BG
box 91 303 92 308 0.150589 0.700361 BG
box 584 150 592 169 0.138016 0.624705 BG
box 165 266 169 269 0.137992 0.730224 BG
box 581 135 590 149 0.127134 0.625485 BG
box 119 264 436 380 0.120636 0.659693 BG
box 102 316 110 329 0.118818 0.831596 BG
box 1 4 41 29 0.114659 0.672386 BG
box 171 262 188 268 0.112876 0.700272 BG
box 726 282 729 286 0.112076 0.092530 BG
box 590 87 608 125 0.105513 0.674583 BG
box 595 123 597 127 0.101051 0.645400 BG
whiteboard 643 2 724 79 0.274293 0.339334 BG
lamp 653 28 728 72 0.205462 0.400849 BG
lamp 656 40 660 46 0.12915 0.765133 BG
garbage_bin 437 182 488 429 0.169273 0.658002 BG
garbage_bin 79 309 90 327 0.167708 0.734814 BG
garbage_bin 78 286 87 313 0.150435 0.579085 BG
garbage_bin 689 367 696 371 0.148041 0.140839 BG
garbage_bin 151 351 155 355 0.142075 0.829746 BG
garbage_bin 91 303 91 308 0.102505 0.700361 BG
