cabinet 524 101 588 385 0.116095 0.792932 shelf
chair 367 308 590 435 0.989589 0.010377 chair
chair 520 307 586 440 0.684074 0.306149 BG
chair 280 237 434 432 0.605296 0.248574 BG
chair 423 217 527 409 0.449068 0.537444 BG
chair 193 359 349 434 0.28037 0.581719 BG
chair 263 433 278 440 0.245349 0.232697 BG
chair 286 80 353 202 0.216917 0.540596 BG
chair 352 211 449 331 0.181933 0.712463 BG
chair 160 171 164 188 0.173367 0.627129 BG
chair 10 48 95 256 0.166335 0.730963 BG
chair 307 433 315 440 0.158017 0.278125 BG
chair 300 72 331 100 0.13245 0.865034 BG
chair 106 166 188 210 0.120388 0.501368 BG
chair 123 422 165 440 0.116665 0.816065 BG
chair 1 154 43 216 0.102692 0.494080 BG
table 75 305 369 424 0.673426 0.202973 BG
table 15 138 230 421 0.356817 0.250234 BG
table 355 184 435 429 0.227086 0.498949 BG
table 273 237 403 429 0.129362 0.388589 BG
table 306 433 315 440 0.104349 0.278125 BG
table 215 344 298 432 0.100989 0.591467 BG
bookshelf 392 153 406 185 0.165705 0.581526 BG
bookshelf 388 168 395 185 0.140384 0.560948 BG
bookshelf 89 151 163 194 0.123912 0.589310 BG
bookshelf 346 155 394 185 0.119007 0.791343 BG
bookshelf 104 162 161 178 0.111482 0.495865 BG
bookshelf 356 84 409 222 0.104013 0.715956 BG
picture 544 259 589 275 0.328465 0.519010 BG
picture 259 1 336 55 0.315424 0.559349 BG
picture 550 103 590 232 0.135731 0.809034 BG
picture 540 258 590 320 0.110225 0.734079 player
counter 0 241 98 415 0.252214 0.514774 BG
counter 0 234 493 439 0.157144 0.529137 counter
counter 93 156 165 181 0.134849 0.486222 BG
counter 128 164 162 172 0.12559 0.533832 BG
counter 388 186 405 200 0.122046 0.409708 BG
desk 47 188 402 410 0.841703 0.067958 counter
desk 61 165 171 265 0.4862 0.398826 BG
desk 175 294 501 423 0.346714 0.437137 BG
desk 90 165 191 208 0.30794 0.456144 BG
desk 359 209 434 392 0.124215 0.648584 BG
desk 169 216 370 321 0.112071 0.627338 BG
paper 449 270 522 296 0.663224 0.268669 BG
paper 245 184 289 195 0.487618 0.483982 BG
paper 255 193 296 201 0.308234 0.594885 BG
paper 438 290 470 304 0.297293 0.674062 BG
paper 253 400 268 440 0.236368 0.457976 BG
paper 114 192 176 217 0.231672 0.672743 BG
paper 56 127 85 137 0.228587 0.532784 BG
paper 193 27 275 56 0.21689 0.600160 BG
paper 220 197 302 224 0.213802 0.654951 BG
paper 270 388 271 391 0.167348 0.755762 BG
paper 271 381 287 393 0.150772 0.822142 BG
paper 388 208 438 225 0.148434 0.795353 BG
paper 350 434 354 437 0.145086 0.559852 BG
paper 235 175 288 210 0.143959 0.806598 BG
paper 0 106 24 157 0.143001 0.738321 BG
paper 245 380 281 440 0.124776 0.555067 BG
paper 236 188 255 210 0.114713 0.867253 BG
paper 120 29 319 80 0.113439 0.567739 BG
paper 104 177 162 249 0.106554 0.698080 BG
paper 264 411 297 440 0.102223 0.649000 BG
box 202 297 241 328 0.87738 0.088401 BG
box 22 163 25 169 0.534492 0.306380 BG
box 340 20 362 60 0.474199 0.438641 BG
box 215 312 225 318 0.444938 0.435714 BG
box 1 156 34 190 0.424591 0.199431 BG
box 210 276 247 312 0.335816 0.624422 BG
box 1 155 20 169 0.311992 0.369583 BG
box 6 4 100 42 0.308855 0.616355 BG
box 273 20 328 57 0.263477 0.609813 BG
box 286 103 353 224 0.259659 0.464325 BG
box 342 21 400 68 0.240774 0.694057 cpu
box 184 307 244 353 0.204032 0.719957 BG
box 5 2 82 18 0.173497 0.712586 BG
box 195 314 221 345 0.170212 0.694265 BG
box 120 5 338 80 0.160213 0.563221 BG
box 194 287 217 318 0.158698 0.758671 BG
box 213 407 263 440 0.147838 0.801993 BG
box 213 350 291 439 0.144791 0.618262 BG
box 15 126 103 194 0.141978 0.464689 BG
box 285 425 310 440 0.133979 0.310017 BG
box 193 31 279 56 0.117619 0.609929 BG
box 253 398 268 440 0.112681 0.457976 BG
box 308 433 315 440 0.110397 0.278125 BG
box 264 433 277 440 0.108312 0.232697 BG
box 55 127 88 137 0.106095 0.532784 BG
box 349 433 360 440 0.102254 0.380657 BG
box 238 438 241 440 0.101432 0.800010 BG
box 349 434 354 437 0.100958 0.559852 BG
person 164 146 276 212 0.923835 0.068100 person
person 233 154 261 186 0.532474 0.466801 BG
person 134 102 318 237 0.487031 0.494336 BG
person 199 97 375 357 0.327821 0.630907 BG
person 231 162 244 196 0.270373 0.727569 BG
person 224 84 291 210 0.248869 0.710142 BG
person 243 143 281 171 0.214928 0.764446 BG
night_stand 213 218 310 306 0.149831 0.640067 BG
lamp 3 106 103 220 0.132802 0.561190 BG
lamp 3 148 61 193 0.112984 0.583187 BG
bag 243 382 279 440 0.102546 0.555067 BG
garbage_bin 283 426 316 440 0.105551 0.319757 BG
