bed 0 97 663 496 0.203438 0.775583 floor
paper 103 240 112 245 0.347895 0.232734 BG
paper 49 188 66 197 0.337081 0.303897 BG
paper 88 249 94 254 0.326923 0.244570 BG
paper 38 191 49 198 0.286097 0.362864 BG
paper 30 195 38 204 0.254949 0.314760 BG
paper 22 195 33 202 0.252924 0.289773 BG
paper 407 511 410 513 0.240309 0.472220 BG
paper 1 338 9 347 0.233205 0.178643 BG
paper 1 163 12 168 0.23231 0.363170 BG
paper 39 323 45 329 0.230695 0.395152 BG
paper 10 337 14 341 0.222936 0.372216 BG
paper 19 357 33 367 0.219395 0.555339 BG
paper 47 294 52 299 0.216378 0.403638 BG
paper 63 289 66 291 0.214442 0.464152 BG
paper 42 296 45 298 0.210216 0.362592 BG
paper 407 472 508 529 0.201422 0.361868 BG
paper 628 493 633 506 0.191983 0.535717 BG
paper 359 510 365 513 0.189027 0.583008 BG
paper 333 507 335 512 0.180307 0.610991 BG
paper 3 299 106 399 0.166959 0.421334 BG
paper 387 252 389 255 0.166067 0.393050 BG
paper 242 500 271 529 0.160511 0.545650 BG
paper 338 471 392 529 0.160466 0.505173 BG
paper 392 493 401 503 0.15801 0.569518 BG
paper 260 490 297 529 0.157682 0.534655 BG
paper 168 491 227 529 0.146801 0.572721 BG
paper 131 511 157 529 0.13766 0.455783 BG
paper 226 510 251 529 0.137155 0.430042 BG
paper 566 494 572 500 0.135178 0.687346 BG
paper 81 511 84 516 0.134306 0.714408 BG
paper 147 152 156 169 0.134195 0.692389 BG
paper 303 498 308 504 0.132796 0.679504 BG
paper 390 508 420 529 0.13221 0.335444 BG
paper 283 490 306 514 0.129191 0.688077 BG
paper 297 505 323 529 0.128568 0.374810 BG
paper 650 496 664 509 0.11916 0.595475 BG
paper 342 514 369 529 0.116066 0.381895 BG
paper 640 504 654 524 0.114832 0.411419 BG
paper 645 487 654 504 0.11465 0.764128 BG
paper 208 490 211 495 0.114267 0.743530 BG
paper 321 491 326 499 0.112148 0.712071 BG
paper 547 499 583 529 0.108393 0.477354 BG
paper 87 515 109 529 0.105538 0.546293 BG
paper 217 497 240 520 0.105521 0.751942 BG
paper 714 367 720 373 0.100223 0.478162 BG
box 407 511 411 513 0.152654 0.472220 BG
box 0 164 13 168 0.147675 0.363170 BG
box 89 249 94 254 0.14326 0.244570 BG
box 22 195 34 202 0.13961 0.289773 BG
box 104 240 112 245 0.133481 0.232734 BG
box 0 339 10 346 0.132078 0.178643 BG
box 30 195 39 205 0.131948 0.314760 BG
box 392 493 402 503 0.12931 0.569518 BG
box 50 188 66 198 0.126616 0.303897 BG
box 39 191 49 199 0.122992 0.362864 BG
box 47 295 53 299 0.120515 0.403638 BG
box 42 296 46 298 0.118349 0.362592 BG
box 9 337 15 341 0.114691 0.372216 BG
box 63 290 67 291 0.11274 0.464152 BG
box 502 288 522 308 0.104746 0.804977 BG
toilet 202 53 352 441 0.676958 0.322394 toilet
garbage_bin 305 315 332 372 0.437648 0.542695 BG
garbage_bin 329 230 332 238 0.158209 0.774026 BG
garbage_bin 310 329 320 347 0.150186 0.841624 BG
garbage_bin 334 248 342 253 0.128649 0.818225 BG
garbage_bin 344 238 399 298 0.107446 0.806218 BG
