cabinet 37 35 154 219 0.412262 0.304973 door
bed 350 119 558 426 0.97973 0.008185 bed
chair 8 171 134 299 0.602733 0.225683 chair
chair 316 151 356 222 0.128664 0.789299 BG
chair 178 220 210 241 0.111724 0.871920 BG
chair 160 197 221 249 0.105284 0.803658 table
chair 352 153 359 173 0.103336 0.850408 BG
sofa 19 151 129 324 0.486911 0.128421 chair
sofa 39 189 265 346 0.407146 0.550084 BG
sofa 292 172 560 426 0.178661 0.229897 bed
sofa 205 175 376 266 0.166419 0.803081 chair
sofa 156 0 175 14 0.10829 0.252394 BG
table 284 297 557 424 0.142183 0.822566 BG
table 118 197 219 233 0.107169 0.678255 BG
door 313 48 321 52 0.109188 0.656292 BG
door 8 2 137 170 0.102765 0.389130 BG
picture 322 29 399 128 0.994156 0.004365 picture
picture 339 89 388 112 0.329383 0.670535 BG
picture 207 52 265 194 0.254093 0.298700 BG
picture 206 2 230 25 0.225922 0.465100 BG
picture 378 37 386 112 0.222739 0.774302 BG
picture 384 84 392 111 0.188443 0.777546 BG
picture 424 4 431 15 0.169991 0.198914 BG
picture 161 35 211 179 0.147056 0.505391 BG
picture 188 16 390 118 0.134233 0.846187 BG
picture 3 98 48 162 0.129309 0.299973 BG
picture 272 15 274 17 0.109082 0.525615 BG
picture 152 1 158 15 0.104753 0.257700 BG
picture 152 1 177 15 0.103126 0.245206 BG
picture 239 139 256 176 0.101395 0.687183 BG
desk 124 193 219 236 0.1386 0.678255 table
pillow 502 160 558 206 0.89157 0.091557 pillow&&pillow
pillow 277 155 347 213 0.552967 0.405498 BG
pillow 494 274 557 343 0.376215 0.597706 BG
pillow 8 167 102 230 0.316484 0.454657 BG
pillow 280 148 308 191 0.301486 0.655111 BG
pillow 381 274 383 278 0.282024 0.712355 BG
pillow 501 176 512 189 0.225019 0.773887 BG
pillow 272 199 278 220 0.224535 0.772230 BG
pillow 378 261 556 340 0.214686 0.670885 BG
pillow 376 268 382 290 0.204205 0.795307 BG
pillow 278 207 301 221 0.201426 0.786019 BG
pillow 527 337 531 340 0.194882 0.741067 BG
pillow 492 184 509 193 0.183317 0.813491 BG
pillow 506 330 512 333 0.181364 0.815083 BG
pillow 495 175 502 187 0.178427 0.753601 BG
pillow 380 268 414 295 0.173727 0.821952 BG
pillow 269 169 278 187 0.162853 0.798270 BG
pillow 336 252 380 312 0.159965 0.807515 BG
pillow 212 189 280 206 0.149429 0.838986 BG
pillow 525 144 560 160 0.149402 0.712039 BG
pillow 22 305 25 307 0.147659 0.811318 BG
pillow 28 273 37 285 0.147351 0.705075 BG
pillow 504 309 512 330 0.137533 0.861527 BG
pillow 490 176 495 184 0.1358 0.806753 BG
pillow 3 282 45 311 0.122929 0.824660 BG
pillow 281 189 286 192 0.122865 0.804959 BG
pillow 289 214 295 219 0.114302 0.839475 BG
pillow 479 326 488 329 0.113473 0.881501 BG
pillow 473 301 497 327 0.10811 0.890682 BG
pillow 249 229 392 297 0.106345 0.787538 BG
pillow 492 184 495 190 0.100765 0.888335 BG
pillow 502 189 509 193 0.100613 0.898965 BG
clothes 172 93 209 152 0.108092 0.699276 BG
tv 161 46 246 202 0.555862 0.180198 BG
tv 208 64 274 210 0.1507 0.359153 BG
paper 352 32 369 46 0.281675 0.701196 BG
paper 529 60 533 67 0.194518 0.051654 BG
paper 551 12 560 18 0.191912 0.201430 BG
paper 507 57 509 60 0.191675 0.128884 BG
paper 529 32 535 47 0.176425 0.043183 BG
paper 556 333 560 335 0.171747 0.246268 BG
paper 544 80 560 113 0.150987 0.333936 BG
paper 296 70 303 85 0.1482 0.162776 BG
paper 557 80 560 95 0.142376 0.180770 BG
paper 428 345 432 351 0.142332 0.824103 BG
paper 336 62 338 82 0.139462 0.830405 BG
paper 548 345 551 346 0.138525 0.413624 BG
paper 464 182 484 201 0.135693 0.757284 BG
paper 513 107 539 116 0.134442 0.455518 BG
paper 558 152 560 156 0.128183 0.273422 BG
paper 537 112 560 120 0.122374 0.418761 BG
paper 497 58 513 67 0.104518 0.426661 BG
paper 364 314 392 326 0.102662 0.873246 BG
box 130 211 136 213 0.31094 0.518668 BG
box 31 260 48 289 0.188529 0.780610 BG
box 244 276 275 290 0.188229 0.755454 BG
box 556 333 560 334 0.184494 0.246268 BG
box 537 112 559 120 0.153407 0.418761 BG
box 92 190 241 344 0.130277 0.290915 ottoman
box 110 420 114 426 0.122087 0.312804 BG
box 529 60 534 67 0.121534 0.051654 BG
box 384 256 386 259 0.118647 0.638038 BG
box 104 207 125 226 0.11658 0.494404 BG
box 151 1 158 15 0.11415 0.257700 BG
box 529 32 536 47 0.111176 0.043183 BG
box 477 171 479 172 0.110462 0.731728 BG
box 557 80 560 95 0.108826 0.180770 BG
box 547 344 550 345 0.106948 0.413624 BG
box 551 11 560 18 0.104503 0.201430 BG
box 151 1 176 15 0.101933 0.245206 BG
whiteboard 483 2 557 80 0.102476 0.311902 BG
night_stand 360 180 552 280 0.372557 0.476559 BG
night_stand 382 177 467 234 0.159635 0.832133 nightstand
lamp 409 67 486 158 0.951916 0.047427 lamp
lamp 403 60 431 139 0.451065 0.548804 BG
lamp 430 102 442 121 0.391942 0.608037 BG
lamp 419 2 540 194 0.389176 0.608611 BG
lamp 415 97 438 160 0.346455 0.653513 BG
lamp 160 27 287 240 0.308979 0.254433 BG
lamp 165 10 209 204 0.201768 0.602456 BG
lamp 164 48 165 49 0.188961 0.773093 BG
lamp 177 9 206 61 0.168963 0.781495 BG
lamp 437 102 464 132 0.155368 0.844276 BG
lamp 434 77 448 96 0.146867 0.852807 BG
lamp 272 14 274 18 0.118043 0.525615 BG
lamp 430 70 447 77 0.11422 0.843509 BG
lamp 112 0 144 29 0.113646 0.685277 BG
lamp 438 105 510 179 0.10829 0.873213 BG
lamp 538 92 559 120 0.101831 0.372583 BG
bag 172 98 208 152 0.115161 0.699276 BG
garbage_bin 100 195 231 352 0.166417 0.290915 ottoman
garbage_bin 528 60 534 68 0.139256 0.051654 BG
garbage_bin 528 31 536 48 0.124688 0.043183 BG
