cabinet 289 0 395 78 0.135083 0.720439 podium
chair 188 113 430 396 0.984915 0.014868 chair
chair 485 0 581 96 0.913175 0.059660 BG
chair 211 89 338 276 0.887751 0.112194 chair
chair 226 76 301 186 0.345091 0.650710 BG
chair 523 1 585 36 0.332635 0.539613 BG
chair 584 115 590 167 0.202474 0.514668 BG
chair 200 166 294 362 0.184925 0.815043 BG
chair 464 0 555 38 0.1454 0.845022 BG
chair 521 0 551 13 0.135826 0.833418 BG
chair 307 62 337 73 0.114733 0.843965 BG
chair 570 35 590 92 0.113335 0.709847 BG
chair 189 72 257 219 0.107222 0.887083 BG
chair 421 46 495 120 0.101893 0.811789 BG
chair 219 77 244 103 0.100983 0.861219 BG
table 263 77 565 292 0.75808 0.068563 desk
table 566 29 590 95 0.565838 0.276431 BG
table 393 18 582 97 0.474454 0.345993 BG
table 36 136 159 432 0.451986 0.438989 BG
table 388 46 567 192 0.188925 0.797839 BG
table 579 40 587 47 0.185234 0.754882 BG
table 478 2 590 36 0.111371 0.419295 BG
desk 279 63 559 383 0.850862 0.026990 desk
paper 258 29 264 32 0.355424 0.490268 BG
paper 59 99 79 118 0.225802 0.365740 BG
paper 410 363 414 373 0.149204 0.622173 BG
paper 420 5 426 17 0.112554 0.532062 BG
paper 402 358 406 368 0.106673 0.689065 BG
paper 66 216 81 246 0.100867 0.778801 BG
box 169 34 178 40 0.337411 0.614967 BG
box 420 6 425 17 0.249295 0.532062 BG
box 159 6 169 35 0.22724 0.594180 BG
box 182 33 297 79 0.218124 0.674971 BG
box 160 6 166 18 0.158067 0.638365 BG
box 420 57 432 66 0.135691 0.684359 BG
box 577 85 581 97 0.125493 0.581292 BG
box 583 81 590 94 0.106005 0.319991 BG
whiteboard 173 0 294 35 0.470436 0.311344 BG
whiteboard 222 1 298 88 0.188848 0.713441 BG
person 553 2 556 14 0.5226 0.406235 BG
person 556 0 589 26 0.100615 0.677865 BG
lamp 575 47 590 95 0.164583 0.541046 BG
garbage_bin 59 98 80 118 0.130774 0.365740 BG
