cabinet 612 136 729 405 0.146952 0.595962 dresser_mirror
bed 36 30 499 512 0.999835 0.000145 bed
chair 258 515 263 519 0.12538 0.419865 BG
chair 276 521 293 526 0.10552 0.246508 BG
picture 481 3 498 71 0.789402 0.191900 BG
picture 271 0 356 48 0.77584 0.175281 BG
picture 258 0 507 72 0.69571 0.291760 painting&&picture
picture 17 3 115 127 0.192268 0.579346 BG
picture 1 4 3 54 0.187003 0.568090 BG
picture 723 162 729 183 0.177777 0.360391 BG
picture 341 1 494 35 0.140292 0.757172 BG
picture 94 78 98 81 0.137656 0.574950 BG
picture 15 52 103 85 0.11421 0.699498 BG
dresser 611 209 726 427 0.799333 0.112007 BG
dresser 473 179 608 389 0.410226 0.100612 night_stand
pillow 229 120 373 194 0.820391 0.179387 pillow&&pillow
pillow 290 130 474 211 0.732611 0.259355 pillow&&pillow&&pillow
pillow 238 100 299 170 0.206584 0.792563 BG
pillow 415 206 431 209 0.132706 0.867024 BG
pillow 138 103 228 177 0.127997 0.777546 BG
pillow 449 284 457 299 0.113265 0.808366 BG
pillow 441 272 458 302 0.112972 0.830101 BG
pillow 363 187 397 203 0.106844 0.893005 BG
mirror 2 0 114 159 0.167123 0.506686 BG
mirror 117 45 134 163 0.122739 0.735479 BG
mirror 0 2 3 55 0.118455 0.568090 BG
paper 534 88 605 139 0.342337 0.288951 BG
paper 423 43 428 45 0.308311 0.491074 BG
paper 434 54 441 59 0.213015 0.755597 BG
paper 3 498 82 529 0.210538 0.260243 BG
paper 278 354 294 359 0.18654 0.686814 BG
paper 726 376 729 377 0.177693 0.250977 BG
paper 491 211 494 216 0.163158 0.797369 BG
paper 722 291 729 298 0.151243 0.426838 BG
paper 416 36 429 47 0.116204 0.714454 BG
paper 714 241 729 246 0.100838 0.352403 BG
box 9 142 79 177 0.336502 0.624658 BG
box 10 161 95 202 0.295897 0.568913 BG
box 696 195 699 198 0.253255 0.596673 BG
box 83 159 88 161 0.195205 0.582667 BG
box 699 200 705 203 0.191617 0.666339 BG
box 22 174 37 192 0.141578 0.845743 BG
box 1 495 84 529 0.127393 0.260243 BG
box 401 499 405 519 0.116443 0.795060 BG
box 404 489 415 517 0.114213 0.780717 BG
person 411 335 446 432 0.218997 0.721618 BG
person 429 356 440 380 0.141295 0.849795 BG
person 592 336 599 345 0.123816 0.780383 BG
person 420 354 427 365 0.105832 0.879535 BG
night_stand 473 197 611 385 0.832578 0.035334 night_stand
lamp 152 48 212 159 0.891821 0.092936 lamp
lamp 101 1 200 182 0.353089 0.519614 BG
lamp 536 86 598 140 0.231959 0.288951 BG
lamp 537 131 561 140 0.221854 0.752649 BG
lamp 544 133 578 173 0.205412 0.782853 BG
lamp 488 109 602 234 0.186307 0.785570 lamp
garbage_bin 411 458 413 462 0.134417 0.849344 BG
garbage_bin 414 437 432 478 0.106197 0.868070 BG
garbage_bin 0 500 67 529 0.104881 0.226362 BG
