cabinet 6 231 234 437 0.105526 0.770736 drawer
chair 190 242 373 486 0.990648 0.008012 chair
chair 244 240 356 359 0.399768 0.596762 BG
chair 196 285 257 338 0.310302 0.655468 BG
chair 240 236 266 338 0.219739 0.761364 BG
chair 1 201 19 238 0.210137 0.721924 BG
chair 1 200 10 213 0.186906 0.683977 BG
chair 243 302 248 317 0.182132 0.802552 BG
chair 243 300 259 335 0.176935 0.789208 BG
chair 218 287 250 307 0.168297 0.792553 BG
chair 180 226 250 405 0.164359 0.826410 BG
chair 0 214 11 232 0.163051 0.800678 BG
chair 0 208 7 217 0.158234 0.824005 BG
chair 221 238 249 311 0.154808 0.833667 BG
chair 241 304 244 309 0.143795 0.841450 BG
chair 217 299 239 306 0.135961 0.831225 BG
chair 246 295 249 304 0.121441 0.851628 BG
chair 255 285 269 332 0.116835 0.854831 BG
chair 230 299 237 304 0.105784 0.863909 BG
chair 224 307 233 311 0.101461 0.886306 BG
sofa 88 79 686 420 0.820635 0.145840 BG
table 24 270 285 489 0.179234 0.714767 BG
door 5 4 54 165 0.369689 0.353121 BG
door 716 113 718 125 0.222247 0.401615 BG
door 35 112 50 144 0.116179 0.223630 BG
picture 43 156 202 195 0.724421 0.273230 BG
picture 38 0 197 204 0.5752 0.229065 BG
picture 183 150 193 184 0.407503 0.568974 BG
picture 380 156 415 176 0.313608 0.370323 BG
picture 180 107 200 197 0.299848 0.627540 BG
picture 78 179 194 196 0.217077 0.752655 BG
picture 360 173 382 184 0.200702 0.523778 BG
picture 721 453 729 457 0.159654 0.140961 BG
picture 155 5 195 210 0.158941 0.795965 BG
picture 56 90 107 182 0.134235 0.841737 BG
picture 31 94 60 180 0.133638 0.624743 BG
picture 7 5 36 82 0.133125 0.451155 BG
picture 724 30 729 90 0.132585 0.341461 BG
picture 154 182 195 196 0.125584 0.866711 BG
picture 144 180 177 190 0.116286 0.874977 BG
picture 10 8 68 168 0.104871 0.405202 BG
mirror 0 16 209 224 0.426693 0.246316 BG
mirror 722 197 729 275 0.107505 0.510407 BG
fridge 365 115 458 419 0.111435 0.528660 BG
paper 382 156 414 175 0.268999 0.370323 BG
paper 361 173 382 184 0.202348 0.523778 BG
paper 108 237 110 242 0.194064 0.608693 BG
paper 37 366 43 371 0.143567 0.740833 BG
paper 121 233 126 240 0.134874 0.611739 BG
paper 274 508 288 512 0.127248 0.681129 BG
paper 30 94 47 131 0.126646 0.355170 BG
paper 279 508 321 529 0.122165 0.339346 BG
paper 272 512 286 524 0.118701 0.637890 BG
paper 104 235 115 242 0.109647 0.756540 BG
paper 336 496 364 529 0.103973 0.395108 BG
paper 278 511 287 511 0.100424 0.724679 BG
box 112 97 147 108 0.576844 0.388608 BG
box 109 102 117 111 0.515862 0.432327 BG
box 95 95 148 161 0.263785 0.653179 BG
box 97 97 110 118 0.248629 0.663973 BG
box 143 103 160 112 0.138303 0.815137 BG
box 695 420 700 429 0.135397 0.631786 BG
box 721 452 729 458 0.124084 0.140961 BG
box 700 425 707 443 0.112334 0.454068 BG
box 278 507 320 529 0.104581 0.339346 BG
whiteboard 209 5 450 383 0.256005 0.708748 BG
person 73 5 166 110 0.302469 0.659563 BG
person 90 26 100 50 0.104728 0.894991 BG
person 104 1 149 23 0.102409 0.771110 BG
lamp 703 402 728 455 0.132781 0.440289 BG
lamp 700 425 707 443 0.121213 0.454068 BG
