bed 24 93 565 410 0.225413 0.696567 floor
chair 127 430 138 437 0.12291 0.726920 BG
picture 5 147 31 166 0.131244 0.199638 BG
pillow 385 224 400 243 0.334834 0.650751 BG
pillow 386 214 432 274 0.142747 0.809149 BG
clothes 296 196 529 400 0.248338 0.554655 garbage_bin
clothes 307 205 381 355 0.171449 0.752779 BG
paper 428 49 436 60 0.162045 0.607041 BG
paper 5 146 32 166 0.141007 0.199638 BG
paper 425 49 428 55 0.140815 0.600446 BG
paper 136 422 140 427 0.122082 0.569402 BG
paper 566 438 575 440 0.102554 0.267742 BG
towel 322 137 525 409 0.130162 0.565852 garbage_bin
towel 386 205 497 282 0.11734 0.581583 BG
box 135 422 141 427 0.198231 0.569402 BG
box 424 49 429 55 0.167641 0.600446 BG
box 410 46 422 54 0.147815 0.715378 BG
box 427 49 437 60 0.110718 0.607041 BG
box 565 437 574 440 0.106598 0.267742 BG
lamp 6 147 31 166 0.288686 0.199638 BG
bag 516 335 521 338 0.217036 0.678842 BG
bag 510 335 515 337 0.204167 0.684418 BG
bag 508 328 519 334 0.191479 0.728832 BG
