cabinet 83 9 531 530 0.725097 0.170161 cabinet
table 378 344 672 527 0.73026 0.242190 organizer&&table
table 357 53 674 199 0.19989 0.574622 shelf
bookshelf 349 0 670 131 0.155838 0.802135 shelf
picture 171 1 175 14 0.209986 0.421728 BG
picture 649 376 671 394 0.137637 0.581862 BG
picture 657 369 663 373 0.111755 0.626941 BG
counter 359 23 680 191 0.246373 0.569131 shelf
counter 15 85 680 424 0.178271 0.394963 BG
counter 422 68 668 127 0.144458 0.813461 BG
counter 377 260 680 530 0.132907 0.619516 organizer&&table
desk 367 214 666 530 0.161438 0.129230 organizer
tv 553 514 560 530 0.185832 0.469762 BG
tv 535 517 554 530 0.155946 0.609993 BG
tv 554 510 619 530 0.151167 0.443860 BG
paper 586 265 593 269 0.285732 0.524562 BG
paper 661 496 667 499 0.242198 0.449125 BG
paper 238 504 242 506 0.227146 0.375416 BG
paper 232 504 236 506 0.222462 0.369169 BG
paper 489 303 495 307 0.208437 0.546176 BG
paper 517 512 532 526 0.20545 0.346679 BG
paper 520 512 526 519 0.204286 0.340322 BG
paper 533 511 537 518 0.192469 0.343783 BG
paper 655 493 663 497 0.190343 0.525587 BG
paper 195 502 224 513 0.186878 0.423251 BG
paper 615 498 680 530 0.182975 0.302858 BG
paper 667 387 671 391 0.179282 0.275051 BG
paper 664 457 670 460 0.177122 0.369101 BG
paper 181 493 323 530 0.174779 0.374588 BG
paper 397 484 400 486 0.173517 0.818977 BG
paper 14 500 64 530 0.171324 0.276278 BG
paper 659 474 671 478 0.169786 0.452293 BG
paper 592 499 631 516 0.169615 0.528937 BG
paper 611 1 678 10 0.163034 0.648379 BG
paper 609 1 631 8 0.158446 0.762817 BG
paper 592 1 606 8 0.157956 0.740333 BG
paper 553 271 588 284 0.156443 0.690934 BG
paper 604 499 619 506 0.155173 0.570116 BG
paper 212 524 214 526 0.147838 0.611116 BG
paper 613 5 644 23 0.146786 0.753615 BG
paper 672 1 680 10 0.142725 0.304594 BG
paper 159 510 197 524 0.142338 0.672123 BG
paper 510 515 517 530 0.139585 0.281466 BG
paper 663 88 672 95 0.135551 0.533403 BG
paper 450 339 460 343 0.135311 0.738154 BG
paper 303 491 329 526 0.135181 0.603130 BG
paper 160 520 170 524 0.133303 0.529780 BG
paper 231 503 288 530 0.128622 0.250391 BG
paper 208 517 241 527 0.123671 0.579249 BG
paper 667 9 680 19 0.123641 0.463634 BG
paper 646 1 676 5 0.123376 0.661492 BG
paper 504 511 512 530 0.122884 0.326327 BG
paper 656 479 680 500 0.122674 0.640460 BG
paper 528 525 530 526 0.121231 0.356416 BG
paper 672 369 680 392 0.11792 0.464705 BG
paper 505 511 564 530 0.115378 0.342115 BG
paper 584 506 589 510 0.114838 0.594564 BG
paper 678 442 680 443 0.113742 0.442163 BG
paper 608 14 611 18 0.112515 0.801075 BG
paper 593 495 607 505 0.109216 0.704599 BG
paper 659 432 680 445 0.108374 0.482035 BG
paper 327 488 332 490 0.108162 0.642301 BG
paper 570 7 627 36 0.10749 0.742696 BG
paper 282 192 306 223 0.103566 0.451326 BG
paper 395 473 399 482 0.102795 0.889447 BG
paper 650 377 671 394 0.102126 0.581862 BG
paper 537 488 609 520 0.101727 0.797081 BG
paper 475 334 484 339 0.100076 0.812333 BG
box 237 504 243 506 0.194065 0.375416 BG
box 231 504 237 506 0.193929 0.369169 BG
box 194 502 227 514 0.16454 0.423251 BG
box 384 440 394 444 0.162154 0.456134 BG
box 382 432 387 439 0.160794 0.551125 BG
box 383 440 401 457 0.15913 0.579773 BG
box 13 498 64 530 0.129446 0.276278 BG
box 666 386 671 391 0.128479 0.275051 BG
box 380 446 385 455 0.12123 0.744047 BG
box 604 499 620 506 0.120995 0.570116 BG
box 519 512 526 519 0.115358 0.340322 BG
box 1 512 19 530 0.111468 0.278414 BG
box 324 527 330 530 0.111325 0.370117 BG
box 509 515 516 530 0.106533 0.281466 BG
box 664 456 671 460 0.10466 0.369101 BG
box 661 495 668 499 0.104197 0.449125 BG
box 655 492 663 497 0.100579 0.525587 BG
garbage_bin 383 440 393 445 0.131296 0.456134 BG
garbage_bin 383 412 402 441 0.130177 0.516326 BG
garbage_bin 663 456 671 460 0.108832 0.369101 BG
