sofa 85 43 726 364 0.133897 0.847342 floor
counter 152 394 157 409 0.110293 0.443511 BG
paper 17 40 19 46 0.256923 0.386883 BG
paper 70 499 74 504 0.25487 0.227992 BG
paper 28 82 33 96 0.254759 0.125561 BG
paper 518 23 527 30 0.249473 0.221352 BG
paper 467 22 519 46 0.246406 0.375859 BG
paper 0 20 13 24 0.246209 0.610178 BG
paper 69 442 81 504 0.241803 0.178026 BG
paper 5 8 11 18 0.232867 0.675394 BG
paper 23 68 30 80 0.223849 0.132725 BG
paper 0 0 10 23 0.218579 0.515997 BG
paper 528 486 538 501 0.215716 0.069323 BG
paper 464 485 468 493 0.214891 0.073909 BG
paper 23 61 29 75 0.210279 0.108135 BG
paper 521 487 523 491 0.207874 0.063360 BG
paper 556 483 558 488 0.207174 0.066045 BG
paper 26 70 29 75 0.205549 0.130161 BG
paper 448 29 461 39 0.20187 0.514954 BG
paper 438 462 447 493 0.199778 0.068901 BG
paper 396 478 401 489 0.196364 0.063467 BG
paper 525 88 530 91 0.194657 0.493952 BG
paper 461 28 466 35 0.193128 0.540490 BG
paper 312 476 312 481 0.19148 0.076476 BG
paper 3 0 47 20 0.18717 0.487192 BG
paper 312 475 319 487 0.187115 0.072741 BG
paper 518 483 521 485 0.18352 0.072404 BG
paper 478 410 478 413 0.180524 0.057907 BG
paper 5 1 452 59 0.177882 0.267991 BG
paper 484 89 496 100 0.175067 0.530620 BG
paper 504 380 505 383 0.170865 0.050037 BG
paper 593 457 596 465 0.169425 0.060891 BG
paper 61 506 73 515 0.169067 0.335640 BG
paper 381 40 382 47 0.165791 0.645174 BG
paper 27 404 73 522 0.164746 0.238516 BG
paper 71 407 77 438 0.156417 0.084964 BG
paper 497 374 504 385 0.155593 0.057132 BG
paper 335 439 335 443 0.153711 0.072107 BG
paper 3 3 7 8 0.145213 0.586218 BG
paper 36 92 40 97 0.131994 0.637162 BG
paper 642 307 644 312 0.130742 0.442489 BG
paper 355 35 366 47 0.126361 0.742095 BG
paper 73 504 84 529 0.124782 0.131178 BG
paper 14 22 91 150 0.124069 0.375874 BG
paper 619 292 637 311 0.117339 0.621594 BG
paper 510 189 519 194 0.116208 0.646657 BG
paper 76 524 77 529 0.112269 0.164378 BG
paper 633 303 642 313 0.107905 0.625518 BG
paper 479 92 488 98 0.102933 0.650351 BG
paper 364 528 364 529 0.100913 0.166159 BG
box 284 155 303 176 0.366538 0.576606 BG
box 282 149 291 157 0.274437 0.610792 BG
box 61 506 73 515 0.181235 0.335640 BG
box 456 145 462 151 0.172349 0.639825 BG
box 76 524 77 529 0.152034 0.164378 BG
box 73 504 84 528 0.149633 0.131178 BG
box 458 143 482 159 0.148531 0.680753 BG
box 354 257 455 374 0.148151 0.525706 BG
box 518 23 527 31 0.132042 0.221352 BG
box 300 161 312 170 0.123136 0.785265 BG
box 320 137 342 153 0.121731 0.835271 BG
box 464 484 469 493 0.112604 0.073909 BG
box 71 499 74 504 0.112062 0.227992 BG
box 451 128 462 139 0.111912 0.650346 BG
box 432 124 443 130 0.105242 0.725719 BG
box 28 404 74 518 0.103119 0.238516 BG
box 293 175 299 180 0.100995 0.890485 BG
box 478 410 479 412 0.100766 0.057907 BG
toilet 318 96 496 404 0.100448 0.467808 garbage_bin
sink 298 132 477 359 0.389913 0.381817 garbage_bin
lamp 58 236 82 284 0.366159 0.596021 BG
lamp 75 250 81 267 0.24202 0.740305 BG
lamp 78 269 82 272 0.216926 0.695518 BG
lamp 76 237 82 251 0.196651 0.781645 BG
lamp 58 269 75 278 0.135347 0.811124 BG
garbage_bin 206 264 314 412 0.679925 0.252641 BG
garbage_bin 330 181 450 376 0.556396 0.271096 garbage_bin
garbage_bin 68 440 82 504 0.255296 0.178026 BG
garbage_bin 70 500 74 505 0.229973 0.227992 BG
garbage_bin 463 484 469 494 0.211946 0.073909 BG
garbage_bin 520 486 524 491 0.210146 0.063360 BG
garbage_bin 24 409 73 522 0.202165 0.238516 BG
garbage_bin 395 478 402 490 0.197396 0.063467 BG
garbage_bin 437 462 448 494 0.189097 0.068901 BG
garbage_bin 333 161 345 175 0.187524 0.752187 BG
garbage_bin 527 486 539 502 0.186024 0.069323 BG
garbage_bin 555 483 559 489 0.185844 0.066045 BG
garbage_bin 312 476 313 481 0.174705 0.076476 BG
garbage_bin 312 475 320 487 0.172194 0.072741 BG
garbage_bin 518 483 522 485 0.163425 0.072404 BG
garbage_bin 151 329 205 369 0.146641 0.717996 BG
garbage_bin 497 374 505 385 0.139413 0.057132 BG
garbage_bin 504 380 506 383 0.134897 0.050037 BG
garbage_bin 36 13 49 19 0.131474 0.649911 BG
garbage_bin 593 457 597 465 0.129016 0.060891 BG
garbage_bin 335 439 335 443 0.126833 0.072107 BG
garbage_bin 319 367 328 383 0.126457 0.839180 BG
garbage_bin 478 410 479 413 0.124834 0.057907 BG
garbage_bin 60 507 73 515 0.12317 0.335640 BG
garbage_bin 172 351 220 424 0.118661 0.709869 BG
garbage_bin 71 408 78 438 0.106499 0.084964 BG
garbage_bin 22 61 31 80 0.105697 0.117855 BG
garbage_bin 27 83 34 96 0.104407 0.125561 BG
garbage_bin 331 162 336 167 0.101543 0.867009 BG
garbage_bin 364 528 364 529 0.10109 0.166159 BG
