bed 255 187 590 439 0.97427 0.024261 bed
chair 4 272 75 435 0.612531 0.308230 BG
chair 524 186 588 237 0.415645 0.453740 BG
chair 134 228 173 265 0.238317 0.665250 bag
chair 150 225 178 238 0.209358 0.642941 BG
chair 154 238 177 250 0.167341 0.755554 BG
chair 29 285 171 433 0.16205 0.196291 table&&chair
chair 114 222 204 283 0.152119 0.491398 BG
chair 14 172 47 231 0.146171 0.819043 BG
chair 146 230 151 236 0.135037 0.802809 BG
chair 159 435 164 440 0.107914 0.723384 BG
chair 49 249 178 310 0.103518 0.834025 BG
chair 36 175 83 198 0.10296 0.884545 BG
table 5 267 171 440 0.942113 0.017088 table&&chair
table 509 431 589 440 0.170937 0.241286 BG
door 99 5 299 240 0.153427 0.788889 curtain
picture 265 2 270 34 0.278098 0.279783 BG
picture 236 3 271 46 0.210623 0.640733 BG
desk 13 272 113 427 0.470816 0.125231 BG
pillow 363 197 573 325 0.42081 0.504782 BG
pillow 483 258 566 312 0.191518 0.802508 BG
pillow 360 231 486 281 0.173623 0.810330 BG
pillow 483 312 491 315 0.114022 0.821666 BG
pillow 479 310 482 314 0.11192 0.817914 BG
pillow 488 314 504 318 0.105102 0.880979 BG
mirror 75 184 126 289 0.186867 0.646050 BG
tv 1 108 14 277 0.281713 0.341258 BG
paper 29 246 35 249 0.181149 0.391398 BG
paper 200 172 201 173 0.168716 0.276284 BG
paper 59 302 101 319 0.149206 0.835631 BG
paper 3 281 6 283 0.138106 0.209297 BG
paper 48 425 91 440 0.121696 0.435812 BG
paper 31 240 38 247 0.115281 0.664300 BG
paper 31 237 47 247 0.114328 0.598406 BG
paper 88 430 96 440 0.112315 0.317542 BG
paper 1 274 8 284 0.111537 0.475574 BG
paper 196 164 202 173 0.110362 0.516412 BG
paper 25 248 33 254 0.108284 0.545180 BG
paper 187 242 192 252 0.106345 0.446604 BG
paper 55 222 59 227 0.10255 0.674609 BG
towel 2 283 15 297 0.180915 0.372822 BG
towel 0 259 50 338 0.166436 0.557871 BG
towel 2 283 26 313 0.146905 0.769173 BG
towel 2 281 6 283 0.120012 0.209297 BG
box 187 242 193 252 0.285068 0.446604 BG
box 181 253 184 253 0.217825 0.572767 BG
box 9 193 26 241 0.21743 0.715733 BG
box 295 192 304 197 0.201589 0.793735 BG
box 19 226 25 228 0.195973 0.714708 BG
box 136 208 146 223 0.158176 0.778775 BG
box 20 228 28 234 0.129366 0.802224 BG
box 87 429 95 440 0.126444 0.317542 BG
box 22 221 34 228 0.124425 0.807222 BG
box 145 209 151 228 0.121252 0.784146 BG
box 180 262 193 268 0.12112 0.711910 BG
box 1 169 9 196 0.116589 0.622045 BG
box 12 226 24 245 0.115484 0.821691 BG
box 47 423 90 440 0.110752 0.435812 BG
box 24 247 29 251 0.110429 0.761873 BG
whiteboard 301 4 574 189 0.674198 0.274559 BG
whiteboard 0 20 108 271 0.521654 0.398762 BG
person 136 243 185 286 0.146591 0.702783 bag
lamp 544 145 551 175 0.293713 0.649150 BG
lamp 97 344 101 351 0.25109 0.727632 BG
lamp 581 190 584 193 0.131749 0.760485 BG
lamp 33 307 99 387 0.124489 0.745907 BG
