cabinet 284 122 342 271 0.10562 0.590457 cabinet
bed 9 48 166 229 0.125779 0.806334 BG
chair 484 237 560 393 0.99209 0.005923 chair
chair 191 194 337 423 0.9259 0.048728 piano
chair 400 221 481 335 0.824017 0.143941 chair&&chair
chair 318 224 401 396 0.433635 0.556205 BG
chair 349 218 440 324 0.354546 0.639640 BG
chair 517 235 518 237 0.277375 0.605225 BG
chair 507 237 528 246 0.271861 0.577673 BG
chair 443 290 551 349 0.241301 0.727037 BG
chair 19 59 168 426 0.194184 0.604332 BG
chair 497 238 507 249 0.163962 0.666833 BG
chair 440 272 483 339 0.157401 0.804394 BG
chair 263 306 332 390 0.156037 0.843197 BG
chair 549 272 560 364 0.147791 0.804023 BG
table 25 199 302 426 0.898772 0.071160 piano
table 391 225 553 361 0.668113 0.245587 BG
door 9 2 50 97 0.190372 0.647776 BG
door 40 3 52 96 0.148895 0.764093 BG
picture 396 179 478 215 0.44829 0.330839 BG
picture 412 186 443 209 0.389416 0.485285 picture
picture 439 184 506 225 0.282131 0.366591 BG
picture 339 193 401 217 0.233163 0.661730 BG
picture 451 187 472 210 0.223784 0.627032 picture
picture 343 206 380 221 0.214582 0.659457 BG
picture 529 205 541 220 0.172472 0.772114 picture
picture 531 206 539 207 0.159965 0.764495 BG
picture 395 179 408 213 0.152823 0.565209 BG
picture 471 191 478 211 0.124506 0.538320 BG
picture 525 216 525 220 0.12193 0.668067 BG
picture 522 199 559 230 0.112593 0.792067 BG
desk 132 198 334 422 0.633495 0.146478 piano
desk 0 250 196 426 0.152903 0.263376 table
pillow 252 219 283 253 0.113936 0.851159 BG
clothes 2 2 37 96 0.155997 0.543258 BG
paper 47 399 72 426 0.225659 0.358053 BG
paper 97 382 125 425 0.150322 0.283401 BG
paper 74 388 87 426 0.147074 0.456291 BG
paper 77 0 79 2 0.110138 0.792630 BG
paper 26 261 43 270 0.108594 0.692315 BG
box 12 383 72 424 0.455818 0.305597 BG
box 272 404 278 409 0.339054 0.336392 BG
box 471 186 506 212 0.311197 0.392625 picture
box 1 391 27 425 0.247185 0.325288 BG
box 47 398 72 425 0.242258 0.358053 BG
box 1 390 15 392 0.209353 0.521559 BG
box 441 181 522 224 0.206755 0.402360 BG
box 97 381 125 425 0.182558 0.283401 BG
box 286 109 287 117 0.179819 0.795639 BG
box 471 191 478 210 0.174149 0.538320 BG
box 74 386 87 425 0.171826 0.456291 BG
box 386 416 402 426 0.158537 0.636467 BG
box 323 412 330 425 0.118608 0.556703 BG
box 255 291 261 303 0.111545 0.886611 BG
box 1 386 15 389 0.110591 0.779567 BG
box 339 192 344 218 0.110263 0.521754 BG
box 248 178 265 211 0.103665 0.557724 BG
sink 6 245 161 340 0.157871 0.798802 BG
lamp 65 0 130 99 0.302289 0.565263 BG
lamp 537 133 554 139 0.155448 0.793127 BG
lamp 107 18 132 78 0.148991 0.831270 BG
lamp 516 175 516 180 0.123039 0.577259 BG
garbage_bin 319 217 345 324 0.298213 0.601130 BG
garbage_bin 338 240 344 247 0.184764 0.803039 BG
garbage_bin 272 404 277 410 0.170905 0.336392 BG
garbage_bin 325 237 339 249 0.101605 0.891649 BG
