cabinet 2 19 153 114 0.207618 0.676312 drawer
chair 142 139 283 243 0.706818 0.287054 chair
chair 5 187 97 440 0.554902 0.221729 chair
chair 0 35 89 116 0.392603 0.470935 BG
chair 295 139 320 154 0.239508 0.721659 BG
chair 291 139 304 149 0.131512 0.847116 BG
chair 54 262 131 362 0.103358 0.878361 BG
sofa 276 28 590 264 0.991277 0.007013 sofa
sofa 471 0 585 407 0.219787 0.756955 BG
table 0 39 112 149 0.176475 0.330068 toys
table 393 172 590 435 0.136774 0.765069 endtable
picture 98 1 148 23 0.38964 0.423743 BG
picture 210 86 224 93 0.116043 0.783256 BG
picture 492 375 587 439 0.10431 0.334518 BG
desk 5 16 93 116 0.110102 0.668786 BG
pillow 339 123 440 192 0.821525 0.177470 pillow
pillow 423 2 573 132 0.784778 0.209801 BG
pillow 493 6 552 64 0.495678 0.498062 BG
pillow 426 10 508 42 0.3828 0.614938 BG
pillow 413 141 448 193 0.283376 0.713322 BG
pillow 345 60 536 190 0.275968 0.717308 BG
pillow 455 102 474 116 0.273291 0.726516 BG
pillow 459 91 502 133 0.270965 0.728831 BG
pillow 394 78 506 132 0.19754 0.800819 BG
pillow 0 67 59 155 0.188474 0.215356 toys
pillow 394 128 431 183 0.143658 0.855766 BG
pillow 323 244 427 285 0.105681 0.825040 BG
pillow 132 70 179 101 0.104771 0.887532 BG
pillow 311 135 451 352 0.10399 0.822567 BG
pillow 464 109 476 121 0.103106 0.896847 BG
pillow 425 32 435 35 0.101954 0.892944 BG
clothes 3 267 35 363 0.578759 0.187333 BG
clothes 4 216 68 402 0.425472 0.144989 BG
clothes 1 67 57 149 0.30072 0.215356 toys
clothes 1 270 16 306 0.197194 0.569846 BG
clothes 38 0 57 12 0.185041 0.725415 BG
clothes 0 79 42 107 0.143004 0.657852 BG
clothes 1 295 15 351 0.136004 0.611084 BG
clothes 1 99 21 107 0.13264 0.730851 BG
paper 562 416 570 430 0.227758 0.567398 BG
paper 493 407 565 440 0.137883 0.381208 BG
paper 188 95 221 105 0.134862 0.782798 BG
paper 188 52 263 105 0.129352 0.796531 BG
paper 370 70 386 91 0.129086 0.811803 BG
paper 8 28 9 34 0.125672 0.396740 BG
paper 483 415 494 440 0.125336 0.542293 BG
paper 571 380 590 440 0.120055 0.365519 BG
paper 238 8 245 10 0.107751 0.392438 BG
paper 221 74 272 98 0.102306 0.887348 BG
towel 0 250 62 353 0.238728 0.077895 BG
towel 0 273 15 352 0.172833 0.349279 BG
towel 0 65 81 152 0.158208 0.171166 toys
box 8 28 10 34 0.334659 0.396740 BG
box 260 149 319 242 0.333423 0.568766 BG
box 11 32 93 146 0.302514 0.452461 toys
box 491 404 566 439 0.168758 0.381208 BG
box 562 410 570 439 0.153528 0.302852 BG
box 73 1 105 28 0.141611 0.699833 BG
box 32 35 40 41 0.1082 0.785204 BG
box 295 228 298 232 0.101911 0.877991 BG
person 492 374 572 440 0.212573 0.391359 BG
person 526 367 586 408 0.16139 0.751532 BG
person 546 376 565 418 0.101085 0.882753 BG
lamp 571 375 589 440 0.154144 0.365519 BG
lamp 560 204 589 262 0.118753 0.738721 BG
bag 11 77 72 150 0.165729 0.425740 toys
bag 1 249 63 351 0.132614 0.077895 BG
bag 0 272 15 350 0.100006 0.349279 BG
garbage_bin 307 223 422 365 0.143387 0.488907 toy
garbage_bin 239 9 245 11 0.117961 0.392438 BG
garbage_bin 319 206 558 424 0.105423 0.706779 endtable
