cabinet 519 34 713 443 0.175165 0.671325 dresser_mirror
bed 125 89 589 516 0.982407 0.014482 bed
bed 84 159 280 517 0.314738 0.647507 BG
bed 270 166 530 355 0.163707 0.829292 BG
chair 17 156 115 281 0.316328 0.477115 BG
chair 361 123 377 179 0.181781 0.804660 BG
chair 373 126 387 183 0.104247 0.879128 BG
bookshelf 16 24 113 506 0.139277 0.600628 shelf
picture 409 88 490 171 0.988502 0.010942 picture
picture 421 24 490 86 0.85268 0.138192 picture
picture 407 8 540 160 0.798678 0.200512 BG
picture 675 103 729 183 0.463594 0.301901 BG
picture 421 29 431 74 0.412531 0.578313 BG
picture 15 60 73 102 0.38405 0.507746 BG
picture 473 102 488 164 0.220727 0.652879 BG
picture 30 59 73 73 0.213342 0.722802 BG
picture 702 138 729 175 0.201469 0.694804 BG
picture 14 67 25 95 0.174617 0.735972 BG
picture 715 1 729 4 0.159552 0.552656 BG
picture 427 60 487 79 0.136041 0.851251 BG
picture 698 68 706 75 0.124874 0.616493 BG
picture 491 3 544 87 0.118491 0.749686 BG
picture 694 62 729 91 0.115524 0.544780 BG
pillow 307 172 386 236 0.856785 0.142550 BG
pillow 196 160 261 204 0.676097 0.321028 pillow
pillow 351 202 390 236 0.470248 0.529679 BG
pillow 350 204 359 237 0.304756 0.695195 BG
pillow 366 211 369 225 0.274993 0.724835 BG
pillow 299 187 320 236 0.240515 0.756293 BG
pillow 370 213 402 219 0.178123 0.821600 BG
mirror 669 89 729 188 0.158114 0.423454 BG
mirror 581 88 670 208 0.124201 0.519080 lamp
tv 26 1 115 25 0.211528 0.642221 BG
paper 62 335 109 370 0.61707 0.329805 BG
paper 105 327 108 329 0.61623 0.345366 BG
paper 112 317 127 326 0.546095 0.354017 BG
paper 60 299 107 336 0.540542 0.323796 BG
paper 62 300 153 369 0.296058 0.152305 stepstool
paper 16 200 28 219 0.200887 0.746178 BG
paper 91 229 95 233 0.123933 0.592685 BG
paper 701 1 729 65 0.118738 0.462370 BG
paper 1 181 26 204 0.117918 0.713499 BG
paper 720 61 729 64 0.114568 0.498592 BG
paper 22 180 104 241 0.113557 0.544007 BG
paper 700 61 729 69 0.113131 0.464868 BG
paper 1 203 22 210 0.105195 0.800450 BG
paper 711 36 729 45 0.104712 0.467477 BG
paper 96 257 104 265 0.103863 0.507177 BG
box 100 258 156 366 0.925519 0.048256 BG
box 103 295 121 326 0.335923 0.614933 BG
box 58 297 131 372 0.233928 0.232193 stepstool
box 13 126 107 147 0.198819 0.640135 BG
box 3 165 111 246 0.161997 0.529166 BG
box 96 256 104 264 0.147347 0.507177 BG
box 16 175 153 362 0.141476 0.497616 BG
box 16 66 78 133 0.128579 0.794733 BG
box 58 124 79 125 0.127951 0.680810 BG
box 33 136 39 141 0.115608 0.816980 BG
box 51 102 80 123 0.113323 0.796829 BG
box 11 135 48 146 0.108655 0.794547 BG
box 107 357 127 366 0.106093 0.721885 BG
night_stand 508 213 634 295 0.321224 0.655279 BG
lamp 550 127 610 180 0.111416 0.745351 BG
lamp 587 86 667 208 0.103644 0.519080 lamp
