cabinet 657 242 728 365 0.123752 0.324481 night_stand
bed 47 19 621 521 0.999678 0.000303 bed
chair 91 83 133 128 0.462244 0.458939 BG
picture 556 1 635 25 0.90778 0.079170 BG
picture 370 1 446 28 0.826302 0.157438 painting&&picture
picture 459 1 528 22 0.798515 0.166490 BG
picture 448 2 647 37 0.712369 0.281689 BG
picture 386 0 431 9 0.675225 0.301118 BG
picture 571 243 649 317 0.357919 0.622150 BG
picture 6 19 131 112 0.281736 0.503820 BG
picture 10 2 130 23 0.216994 0.465095 BG
picture 534 2 546 35 0.181039 0.657477 BG
picture 631 262 642 282 0.168254 0.744446 BG
picture 585 221 622 284 0.120894 0.827887 BG
picture 548 95 556 102 0.10825 0.510684 BG
counter 0 128 142 167 0.160654 0.718888 BG
dresser 98 107 297 189 0.220062 0.451358 dresser
dresser 156 126 225 182 0.118011 0.325308 BG
pillow 355 100 552 171 0.802603 0.193034 BG
pillow 442 120 533 190 0.551017 0.448711 BG
pillow 389 132 469 188 0.546392 0.453315 pillow&&pillow
pillow 211 151 224 178 0.136989 0.651905 BG
pillow 367 106 399 136 0.128068 0.851198 BG
pillow 367 132 373 135 0.118687 0.869487 BG
pillow 535 173 540 175 0.11564 0.875252 BG
pillow 535 153 549 176 0.112642 0.861281 BG
pillow 410 114 460 139 0.111833 0.805801 BG
paper 562 106 563 108 0.351344 0.623174 BG
paper 1 9 54 59 0.288578 0.607866 BG
paper 89 83 110 93 0.150903 0.803281 BG
paper 550 123 553 126 0.149702 0.747894 BG
paper 550 111 566 127 0.140527 0.818735 BG
paper 351 524 361 529 0.112187 0.325727 BG
paper 216 33 292 58 0.106057 0.707112 BG
whiteboard 12 2 131 147 0.149563 0.732604 BG
night_stand 137 101 270 191 0.829774 0.098654 dresser
night_stand 155 125 214 177 0.243929 0.731133 BG
night_stand 232 115 272 168 0.237852 0.613469 BG
lamp 265 56 318 139 0.653965 0.344616 lamp
lamp 697 115 728 154 0.29353 0.667180 lamp
lamp 302 101 308 111 0.292966 0.706518 BG
lamp 264 84 270 93 0.291179 0.704885 BG
lamp 264 84 264 87 0.285702 0.711312 BG
lamp 686 118 727 217 0.255096 0.359432 lamp
lamp 307 79 324 103 0.24661 0.753123 BG
lamp 272 76 288 87 0.245013 0.754720 BG
lamp 153 0 297 104 0.225845 0.747525 BG
lamp 14 2 131 26 0.146649 0.465095 BG
lamp 709 73 728 108 0.144323 0.586089 BG
lamp 705 108 729 115 0.140469 0.753728 BG
lamp 132 61 136 89 0.126829 0.565029 BG
lamp 202 42 284 87 0.125782 0.768410 BG
lamp 315 80 317 81 0.119085 0.880783 BG
lamp 283 3 334 102 0.106795 0.887672 BG
lamp 701 31 728 152 0.105472 0.774147 BG
lamp 112 66 115 72 0.103134 0.744611 BG
bag 715 383 729 412 0.131877 0.735602 BG
garbage_bin 467 361 723 529 0.167488 0.568375 floor
garbage_bin 656 257 688 303 0.120781 0.682117 BG
garbage_bin 586 201 596 221 0.119843 0.710716 BG
garbage_bin 657 254 729 332 0.118322 0.257080 BG
