bed 114 102 284 296 0.889692 0.080762 bed
chair 280 44 454 393 0.30619 0.428944 BG
chair 490 150 572 262 0.102513 0.751927 BG
sofa 485 337 590 439 0.107742 0.530928 BG
table 320 84 489 371 0.181741 0.704004 light
door 91 1 145 325 0.314762 0.305888 BG
door 9 0 143 440 0.153358 0.565892 BG
picture 225 368 234 372 0.100512 0.188766 BG
desk 416 152 590 267 0.141404 0.564564 tv_stand
pillow 250 148 252 149 0.139246 0.835878 BG
pillow 173 136 235 151 0.125231 0.857204 BG
pillow 226 143 235 147 0.103421 0.895943 BG
mirror 89 5 151 356 0.11147 0.293337 BG
clothes 537 168 589 208 0.277257 0.428098 BG
clothes 468 31 502 182 0.179347 0.353022 BG
clothes 553 169 574 192 0.119833 0.674767 BG
fridge 431 151 558 338 0.124094 0.485929 tv_stand
tv 442 31 512 187 0.378427 0.264864 BG
tv 436 188 527 308 0.108269 0.594339 BG
paper 582 152 586 169 0.201585 0.347354 BG
paper 212 397 238 432 0.200159 0.300742 BG
paper 193 427 201 430 0.182381 0.354167 BG
paper 193 427 208 440 0.14022 0.242505 BG
paper 225 368 234 371 0.136779 0.188766 BG
paper 450 195 488 214 0.113951 0.852866 BG
paper 216 433 220 440 0.109704 0.167567 BG
towel 485 30 519 154 0.167027 0.342963 BG
towel 487 106 489 116 0.135998 0.558131 BG
towel 467 33 495 165 0.119935 0.359162 BG
box 583 152 587 168 0.252679 0.347354 BG
box 438 180 552 322 0.195597 0.447525 tv_stand
box 192 426 202 430 0.175198 0.354167 BG
box 192 426 208 440 0.165872 0.242505 BG
box 583 108 590 170 0.153545 0.231669 BG
box 215 432 220 440 0.14001 0.167567 BG
box 488 33 514 147 0.1374 0.443387 BG
box 497 11 590 170 0.12307 0.366744 curtain
person 492 164 508 177 0.196923 0.706117 BG
person 503 165 509 171 0.196277 0.635187 BG
person 502 178 504 182 0.11723 0.710121 BG
person 494 173 502 180 0.111497 0.707192 BG
person 554 167 574 192 0.10394 0.674767 BG
lamp 498 0 590 209 0.21915 0.320738 curtain
lamp 323 70 448 384 0.141378 0.680159 light
lamp 521 72 534 164 0.13469 0.574593 BG
lamp 187 2 274 110 0.127594 0.428789 BG
lamp 312 191 384 395 0.127461 0.609266 BG
lamp 496 50 523 173 0.110052 0.635928 BG
lamp 384 352 412 362 0.103556 0.866601 BG
bag 553 169 588 212 0.308992 0.370789 BG
bag 506 160 585 221 0.16377 0.603532 BG
bag 536 210 544 217 0.131791 0.701672 BG
bag 467 31 517 160 0.121045 0.230248 BG
bag 538 190 564 225 0.112672 0.765247 BG
bag 574 170 589 200 0.108723 0.626249 BG
garbage_bin 291 85 445 405 0.144721 0.343507 BG
garbage_bin 582 114 590 172 0.144582 0.231669 BG
garbage_bin 209 388 238 432 0.141333 0.268139 BG
garbage_bin 137 267 275 438 0.139971 0.526548 BG
garbage_bin 222 404 238 426 0.129151 0.316855 BG
