bed 611 173 726 501 0.102471 0.190432 table
chair 512 278 729 529 0.858137 0.074971 table&&chair
chair 321 184 421 269 0.123428 0.858683 BG
sofa 597 75 721 147 0.111057 0.630342 BG
table 83 186 625 521 0.814285 0.143926 floor
table 484 159 729 529 0.72331 0.095160 chair&&podium
door 159 4 305 350 0.121483 0.481458 BG
picture 324 2 416 80 0.770488 0.154642 BG
picture 254 0 290 200 0.102287 0.534136 BG
counter 423 153 711 471 0.175745 0.531481 podium
blinds 435 2 562 93 0.897279 0.084875 BG
blinds 470 1 721 69 0.586731 0.404609 BG
blinds 428 3 466 90 0.381065 0.571611 BG
blinds 630 1 723 50 0.233899 0.721881 BG
blinds 552 3 561 52 0.129752 0.756402 BG
desk 481 140 729 500 0.102289 0.141932 podium
pillow 718 221 729 245 0.16164 0.749283 BG
pillow 723 254 729 255 0.159871 0.777647 BG
pillow 710 220 721 250 0.100413 0.878789 BG
mirror 250 2 290 210 0.191956 0.534136 BG
mirror 146 2 316 361 0.126746 0.481458 BG
fridge 91 64 402 523 0.146893 0.785876 BG
fridge 332 18 455 266 0.145093 0.498663 BG
tv 273 160 285 176 0.238143 0.706473 BG
tv 273 169 276 174 0.14343 0.793995 BG
paper 693 305 729 330 0.303719 0.591083 BG
paper 58 500 67 508 0.23984 0.552390 BG
paper 24 502 26 505 0.227362 0.429256 BG
paper 724 329 729 330 0.191964 0.392442 BG
paper 688 323 729 339 0.153248 0.687365 BG
paper 671 78 729 87 0.150226 0.429744 BG
paper 722 362 729 372 0.145013 0.264283 BG
paper 713 327 729 330 0.142652 0.736549 BG
paper 194 502 196 506 0.129 0.325746 BG
paper 54 511 58 516 0.122756 0.497666 BG
paper 718 360 721 362 0.113499 0.525683 BG
paper 643 77 729 102 0.11294 0.598555 BG
paper 687 64 729 80 0.110116 0.511055 BG
paper 513 120 598 160 0.103735 0.800826 BG
paper 711 353 729 371 0.10371 0.438831 BG
paper 691 331 729 371 0.102611 0.648581 BG
box 556 167 564 174 0.325843 0.612880 BG
box 548 153 585 170 0.212664 0.742283 BG
box 718 220 729 230 0.206625 0.715272 BG
box 24 502 27 505 0.166869 0.429256 BG
box 194 501 196 506 0.16011 0.325746 BG
box 11 499 24 507 0.125907 0.656147 BG
box 482 123 548 171 0.122051 0.768380 BG
box 25 500 29 504 0.121197 0.645707 BG
box 664 225 690 255 0.120979 0.643066 BG
box 709 220 714 228 0.113504 0.835084 BG
box 281 240 290 250 0.10943 0.788752 BG
box 477 121 565 330 0.101106 0.848608 BG
whiteboard 3 2 275 493 0.165663 0.164337 BG
garbage_bin 14 238 231 490 0.113742 0.340260 BG
