bed 10 56 171 425 0.940052 0.031011 bed
chair 236 122 499 426 0.978516 0.015660 chair
chair 258 166 329 206 0.530506 0.457883 BG
chair 451 205 559 299 0.209925 0.768476 BG
chair 243 168 468 233 0.193557 0.803367 BG
chair 265 140 338 331 0.172452 0.826334 BG
sofa 3 24 161 276 0.116149 0.293284 pillow
table 226 48 546 395 0.65698 0.092442 chair&&desk
table 344 0 560 78 0.171401 0.795820 BG
picture 557 2 560 19 0.63812 0.286884 BG
picture 532 1 560 18 0.49925 0.447937 BG
desk 162 33 325 324 0.802454 0.168881 BG
desk 186 35 539 407 0.732222 0.155321 chair&&desk
pillow 0 203 20 225 0.678917 0.263426 BG
pillow 5 50 147 166 0.481127 0.317648 pillow
pillow 8 182 149 356 0.385222 0.416399 BG
pillow 46 221 102 284 0.301075 0.687605 BG
pillow 63 237 150 309 0.151712 0.814464 BG
pillow 3 45 71 104 0.100345 0.880209 BG
paper 120 80 180 99 0.333832 0.558433 BG
paper 167 88 173 90 0.29708 0.685310 BG
paper 123 82 127 82 0.235522 0.675617 BG
paper 2 385 67 426 0.222642 0.242335 BG
paper 1 264 27 284 0.214311 0.463230 BG
paper 164 90 175 97 0.193603 0.800256 BG
paper 51 400 80 426 0.167512 0.210707 BG
paper 354 399 404 426 0.146165 0.462628 BG
paper 400 403 417 426 0.136049 0.506741 BG
paper 18 315 20 318 0.134035 0.724849 BG
paper 528 413 530 414 0.117759 0.779380 BG
paper 558 162 560 164 0.114821 0.236734 BG
paper 534 412 539 413 0.113146 0.782609 BG
paper 245 4 250 16 0.104039 0.726216 BG
paper 20 381 22 385 0.103775 0.655846 BG
paper 155 80 180 91 0.100775 0.849659 BG
box 526 185 559 209 0.174969 0.627205 BG
box 51 398 80 426 0.174517 0.210707 BG
box 1 263 28 283 0.149825 0.463230 BG
box 2 382 67 426 0.145231 0.242335 BG
box 558 162 560 164 0.118869 0.236734 BG
box 399 401 417 426 0.10104 0.506741 BG
night_stand 153 63 261 322 0.511881 0.133621 BG
garbage_bin 160 234 244 343 0.918838 0.071099 garbage_bin
garbage_bin 205 260 278 358 0.279975 0.712066 BG
garbage_bin 237 257 247 283 0.214849 0.759051 BG
