cabinet 166 149 311 317 0.137172 0.678227 bookshelf
bed 34 211 678 516 0.982853 0.012856 bed
bed 19 351 372 522 0.325909 0.603496 BG
bed 296 222 537 339 0.128261 0.722865 pillow
chair 696 175 722 226 0.143006 0.683790 BG
chair 584 217 643 280 0.138324 0.830353 BG
chair 570 243 573 262 0.121273 0.830936 BG
chair 367 222 411 242 0.11901 0.721905 BG
chair 411 212 415 242 0.102712 0.418037 BG
table 587 157 729 289 0.520709 0.395156 BG
table 410 212 415 240 0.139055 0.418037 BG
bookshelf 212 120 393 270 0.108812 0.578464 BG
picture 725 1 729 77 0.255227 0.204648 BG
picture 143 113 204 214 0.154807 0.274208 BG
picture 118 158 139 178 0.148907 0.448888 BG
picture 162 173 204 209 0.122098 0.361718 BG
picture 306 164 351 201 0.115942 0.569081 BG
picture 391 118 496 235 0.109906 0.242509 BG
desk 411 211 416 240 0.236061 0.418037 BG
desk 412 206 436 240 0.114173 0.636562 BG
pillow 11 241 177 392 0.64579 0.334245 pillow
pillow 158 253 245 312 0.492402 0.490543 BG
pillow 3 303 60 371 0.439064 0.543863 BG
pillow 41 254 162 305 0.285787 0.685276 BG
pillow 327 233 517 317 0.26841 0.668267 pillow
pillow 405 322 433 392 0.253164 0.732543 BG
pillow 391 391 395 393 0.242761 0.724980 BG
pillow 182 297 184 299 0.195311 0.802219 BG
pillow 326 320 448 401 0.172919 0.775210 BG
pillow 242 269 317 330 0.17048 0.785344 BG
pillow 252 279 272 287 0.167321 0.364490 BG
pillow 442 282 462 298 0.159027 0.839593 BG
pillow 469 224 614 404 0.156299 0.823240 BG
pillow 381 328 409 392 0.143614 0.812149 BG
pillow 572 382 576 402 0.142783 0.856590 BG
pillow 78 342 81 344 0.128958 0.856392 BG
pillow 432 272 528 300 0.120671 0.875164 BG
pillow 10 379 133 523 0.119332 0.567212 BG
pillow 258 308 278 337 0.118109 0.873032 BG
pillow 98 335 106 341 0.114051 0.877676 BG
pillow 161 216 530 414 0.113425 0.804670 BG
pillow 150 266 321 399 0.108368 0.860815 BG
pillow 22 330 92 400 0.107148 0.881563 BG
mirror 386 107 499 248 0.149261 0.242509 BG
clothes 14 396 146 529 0.320863 0.459920 BG
clothes 156 437 181 449 0.318443 0.610021 BG
clothes 155 437 161 442 0.241691 0.713954 BG
clothes 34 429 138 470 0.228971 0.698232 BG
clothes 141 440 170 486 0.222685 0.714043 BG
clothes 137 407 185 450 0.20353 0.745715 BG
clothes 18 448 111 485 0.15609 0.743509 BG
clothes 145 404 313 475 0.155016 0.755815 BG
clothes 42 420 109 449 0.136831 0.765707 BG
clothes 57 427 67 431 0.104898 0.779297 BG
tv 616 503 729 529 0.17218 0.558623 BG
tv 698 504 729 529 0.124334 0.263945 BG
tv 623 520 657 529 0.118725 0.732355 BG
paper 112 490 167 529 0.497076 0.194430 BG
paper 145 109 202 207 0.44486 0.274208 BG
paper 161 176 165 180 0.411021 0.385812 BG
paper 164 172 203 207 0.397801 0.361718 BG
paper 161 170 191 183 0.383217 0.415962 BG
paper 297 269 331 348 0.348469 0.574086 BG
paper 145 113 174 135 0.344925 0.421360 BG
paper 300 289 311 298 0.292375 0.628487 BG
paper 129 487 146 523 0.29126 0.539475 BG
paper 310 286 313 295 0.279782 0.648651 BG
paper 337 107 383 160 0.263292 0.491324 BG
paper 712 107 729 134 0.235749 0.309940 BG
paper 154 138 168 142 0.225373 0.679474 BG
paper 292 299 337 406 0.177058 0.739517 BG
paper 722 132 729 135 0.171526 0.430647 BG
paper 310 359 322 367 0.165596 0.786442 BG
paper 709 133 729 149 0.163643 0.371008 BG
paper 175 165 182 171 0.15164 0.730272 BG
paper 679 462 681 467 0.151261 0.628528 BG
paper 342 161 349 186 0.15084 0.582612 BG
paper 311 423 311 427 0.149146 0.721264 BG
paper 248 275 284 287 0.140304 0.394699 BG
paper 350 191 354 209 0.139688 0.516996 BG
paper 308 346 335 366 0.124257 0.815212 BG
paper 685 384 698 395 0.119689 0.633354 BG
paper 680 446 698 460 0.113135 0.729339 BG
paper 725 1 729 78 0.11054 0.204648 BG
paper 346 91 372 109 0.105973 0.813292 BG
paper 147 484 166 489 0.103464 0.589687 BG
paper 644 283 696 324 0.103364 0.685491 BG
paper 166 476 174 489 0.102229 0.548074 BG
paper 280 326 282 329 0.102202 0.804079 BG
paper 700 504 729 529 0.100821 0.263945 BG
paper 292 347 315 407 0.100464 0.728530 BG
box 112 482 178 529 0.35744 0.261429 BG
box 146 483 165 490 0.299508 0.589687 BG
box 430 519 483 529 0.298803 0.452978 BG
box 166 476 173 490 0.277812 0.548074 BG
box 301 162 360 223 0.257192 0.507924 BG
box 310 134 316 137 0.254434 0.685645 BG
box 459 206 463 214 0.247048 0.631272 BG
box 350 192 355 209 0.210828 0.516996 BG
box 462 209 467 223 0.204844 0.724082 BG
box 713 106 729 134 0.202963 0.309940 BG
box 332 348 355 397 0.199864 0.585767 BG
box 219 203 326 283 0.185879 0.465476 BG
box 460 202 466 208 0.174616 0.600651 BG
box 443 202 471 242 0.168438 0.703926 BG
box 710 132 729 149 0.165698 0.371008 BG
box 166 467 369 528 0.16467 0.584366 BG
box 347 341 395 392 0.163769 0.642015 BG
box 305 196 370 254 0.156953 0.649211 BG
box 129 484 146 525 0.154499 0.539475 BG
box 311 235 313 236 0.153097 0.653711 BG
box 216 156 395 259 0.152919 0.359764 BG
box 292 346 338 406 0.138358 0.725366 BG
box 369 489 424 529 0.135627 0.725478 BG
box 353 211 358 214 0.128477 0.691632 BG
box 723 131 729 135 0.117737 0.430647 BG
box 369 246 369 249 0.117346 0.693675 BG
box 643 295 694 323 0.10941 0.689001 BG
box 169 483 179 493 0.107993 0.765880 BG
box 227 237 318 261 0.106997 0.676724 BG
box 314 360 337 386 0.106547 0.719398 BG
box 118 158 139 178 0.106331 0.448888 BG
box 431 191 460 204 0.104093 0.741313 BG
box 227 261 230 266 0.10386 0.735548 BG
box 300 268 330 298 0.101946 0.511669 BG
whiteboard 366 116 499 250 0.234978 0.393712 BG
lamp 8 1 160 31 0.394003 0.573839 ceiling
lamp 107 197 109 199 0.254082 0.541771 BG
lamp 103 192 122 219 0.202149 0.612788 BG
lamp 393 112 500 244 0.128149 0.242509 BG
garbage_bin 659 212 725 433 0.665299 0.188668 BG
garbage_bin 690 322 697 334 0.273568 0.538987 BG
garbage_bin 695 231 729 240 0.212285 0.713029 BG
garbage_bin 669 231 729 260 0.21184 0.767347 BG
garbage_bin 700 232 702 234 0.161449 0.799341 BG
garbage_bin 688 313 691 316 0.160645 0.542357 BG
garbage_bin 669 223 700 241 0.157986 0.820724 BG
garbage_bin 696 207 729 242 0.132579 0.693624 BG
