bed 107 39 364 419 0.831345 0.053592 chair
chair 195 11 332 110 0.104299 0.831901 endtable
chair 239 178 253 195 0.100201 0.838073 BG
sofa 39 7 480 424 0.954061 0.032871 chair&&floor
sofa 414 27 560 415 0.310958 0.636553 ceiling
sofa 0 0 110 117 0.289627 0.633579 BG
sofa 296 0 560 193 0.188637 0.750410 BG
sofa 470 154 560 293 0.120877 0.506145 BG
picture 294 1 320 8 0.127606 0.854007 BG
pillow 145 80 261 187 0.981293 0.018019 BG
pillow 140 50 356 307 0.517649 0.447656 BG
pillow 83 165 268 335 0.391522 0.439430 BG
pillow 227 60 298 173 0.293529 0.475420 BG
pillow 237 99 266 169 0.174711 0.659059 BG
pillow 369 33 373 43 0.135177 0.800551 BG
pillow 133 141 145 149 0.129974 0.868039 BG
pillow 260 63 289 89 0.119376 0.811520 BG
pillow 264 80 282 88 0.108261 0.800173 BG
tv 0 2 11 25 0.218783 0.705429 BG
tv 404 420 415 426 0.166753 0.401356 BG
tv 413 408 431 426 0.148464 0.529282 BG
paper 529 294 533 306 0.204753 0.101019 BG
paper 91 303 232 358 0.190284 0.637692 BG
paper 463 124 468 129 0.157193 0.252760 BG
paper 16 128 34 176 0.149004 0.558325 BG
paper 1 123 32 146 0.1063 0.646995 BG
towel 239 54 312 191 0.110032 0.476458 BG
box 431 335 442 350 0.101786 0.786180 BG
box 529 294 534 305 0.100647 0.101019 BG
person 316 1 330 18 0.177427 0.810513 BG
bag 243 56 310 185 0.102401 0.476458 BG
garbage_bin 529 294 534 306 0.136662 0.101019 BG
garbage_bin 16 144 34 166 0.107767 0.503098 BG
