cabinet 54 16 253 294 0.1981 0.748384 board
chair 10 175 141 419 0.919591 0.052198 chair
chair 304 295 376 410 0.289574 0.675276 BG
chair 347 38 549 440 0.232343 0.713295 shelf
chair 185 4 190 16 0.117309 0.426669 BG
chair 289 11 398 433 0.114195 0.854132 BG
chair 413 109 567 252 0.11181 0.730426 BG
sofa 186 0 261 55 0.10954 0.557447 BG
table 14 0 154 429 0.569328 0.137507 chair
table 102 43 410 414 0.297656 0.594962 BG
picture 0 0 31 28 0.223577 0.596984 BG
picture 1 0 60 120 0.138907 0.590649 BG
picture 338 2 437 46 0.113989 0.685632 BG
counter 191 58 242 114 0.164779 0.717136 BG
counter 107 17 210 54 0.107225 0.709879 BG
counter 31 36 295 212 0.103848 0.662495 BG
desk 20 0 355 406 0.112241 0.462161 BG
clothes 263 0 315 46 0.292143 0.504691 BG
clothes 273 0 288 37 0.212502 0.562543 BG
clothes 306 0 327 42 0.211268 0.681479 BG
clothes 236 1 278 47 0.134679 0.650275 BG
clothes 7 2 76 105 0.117916 0.569301 BG
paper 240 9 270 40 0.242899 0.702849 BG
paper 12 420 23 427 0.233779 0.403731 BG
paper 206 14 249 42 0.181718 0.759786 BG
paper 3 183 76 210 0.150481 0.806336 BG
paper 18 192 51 213 0.145631 0.834500 BG
paper 1 416 23 435 0.132461 0.583309 BG
paper 266 38 330 103 0.12243 0.824227 BG
paper 514 414 520 440 0.114806 0.217641 BG
paper 15 367 47 396 0.101739 0.754090 BG
paper 270 37 290 47 0.100509 0.835914 BG
towel 262 0 312 38 0.104913 0.493338 BG
box 340 428 349 440 0.45771 0.399298 BG
box 360 209 400 242 0.310492 0.669015 BG
box 337 393 407 439 0.274148 0.513531 BG
box 70 41 76 52 0.267114 0.718558 BG
box 383 227 399 256 0.246113 0.740387 BG
box 54 42 75 55 0.177015 0.791783 BG
box 74 28 109 52 0.170431 0.807588 BG
box 11 419 24 427 0.164963 0.403731 BG
box 44 60 62 75 0.136697 0.774435 BG
box 401 220 441 239 0.124378 0.676862 BG
box 232 180 318 299 0.123235 0.718373 garbage_bin
box 48 50 55 64 0.123185 0.771510 BG
box 367 220 436 255 0.117408 0.769525 BG
box 1 415 25 433 0.10763 0.583309 BG
box 505 0 584 24 0.106928 0.535849 BG
box 92 351 108 357 0.102505 0.765474 BG
person 186 2 190 15 0.284491 0.426669 BG
person 192 0 223 28 0.192197 0.444167 BG
person 193 16 205 27 0.16591 0.498241 BG
person 6 9 73 75 0.134105 0.631717 BG
person 13 0 126 42 0.131987 0.571944 BG
person 30 0 55 13 0.114341 0.583370 BG
person 4 12 58 36 0.101535 0.595344 BG
toilet 350 66 565 234 0.125895 0.692668 BG
bag 273 2 287 35 0.117382 0.562543 BG
bag 262 2 311 36 0.112988 0.493338 BG
garbage_bin 254 227 260 231 0.141421 0.840339 BG
garbage_bin 235 170 315 311 0.125229 0.718373 garbage_bin
garbage_bin 255 246 297 255 0.123466 0.866000 BG
garbage_bin 254 243 259 249 0.114445 0.866899 BG
