chair 171 241 404 440 0.893726 0.082269 chair
picture 185 204 220 226 0.536585 0.344303 BG
picture 200 204 209 211 0.254124 0.647133 BG
picture 192 211 199 220 0.201737 0.746824 BG
picture 590 1 590 20 0.186065 0.238973 BG
picture 204 210 211 221 0.168567 0.744984 BG
picture 199 211 204 220 0.123118 0.814271 BG
desk 128 234 590 427 0.396668 0.500417 desk
clothes 152 424 155 426 0.216189 0.258778 BG
paper 153 345 180 353 0.275581 0.547251 BG
paper 159 336 173 344 0.197527 0.730874 BG
paper 390 249 394 257 0.187145 0.624550 BG
paper 156 345 160 345 0.177011 0.792349 BG
paper 143 340 148 353 0.17661 0.727763 BG
paper 136 347 143 354 0.1692 0.698842 BG
paper 163 337 170 337 0.168851 0.796554 BG
paper 314 133 321 135 0.149177 0.479071 BG
paper 590 1 590 20 0.145748 0.238973 BG
paper 147 292 171 302 0.141779 0.788213 BG
paper 280 134 291 137 0.139204 0.267010 BG
paper 1 322 16 438 0.133895 0.267612 BG
paper 136 342 180 362 0.132404 0.724676 BG
paper 426 129 438 130 0.127847 0.540474 BG
paper 528 316 541 323 0.124231 0.780735 BG
paper 587 312 590 315 0.121896 0.257583 BG
paper 324 131 332 134 0.119413 0.564086 BG
paper 1 357 12 374 0.118393 0.288000 BG
paper 194 139 213 142 0.116268 0.365897 BG
paper 574 417 581 421 0.108523 0.506862 BG
paper 545 320 555 322 0.104823 0.813355 BG
paper 139 258 167 288 0.101941 0.667410 BG
box 587 312 590 315 0.310292 0.257583 BG
box 135 326 185 437 0.274189 0.443805 BG
box 272 434 288 438 0.216934 0.464255 BG
box 145 353 182 363 0.202989 0.705625 BG
box 287 434 288 437 0.201746 0.448945 BG
box 263 430 268 440 0.200688 0.442665 BG
box 267 431 271 440 0.182521 0.569093 BG
box 275 420 286 427 0.175792 0.511034 BG
box 275 428 277 430 0.172561 0.454530 BG
box 135 270 137 272 0.165229 0.709602 BG
box 152 344 182 354 0.164416 0.547251 BG
box 271 438 289 440 0.140464 0.378162 BG
box 288 420 293 425 0.135698 0.543163 BG
box 271 428 298 440 0.123044 0.294718 BG
box 129 270 135 272 0.122966 0.730101 BG
box 135 346 144 355 0.122557 0.698842 BG
box 281 408 286 418 0.120113 0.727991 BG
box 284 425 296 430 0.115182 0.573226 BG
box 280 135 291 136 0.110291 0.267010 BG
box 290 438 296 440 0.107553 0.309034 BG
box 139 256 168 288 0.106687 0.667410 BG
box 193 431 199 440 0.10517 0.226386 BG
box 210 429 262 440 0.104016 0.319158 BG
box 411 323 429 331 0.10332 0.760447 BG
box 564 314 588 321 0.100848 0.580687 BG
bag 154 435 157 440 0.136981 0.343885 BG
bag 152 425 155 426 0.110301 0.258778 BG
bag 158 438 159 440 0.10486 0.276345 BG
garbage_bin 129 357 148 421 0.462864 0.407252 BG
garbage_bin 134 315 187 429 0.209271 0.443805 BG
garbage_bin 152 424 156 426 0.113349 0.258778 BG
garbage_bin 194 139 214 143 0.107534 0.365897 BG
garbage_bin 0 355 16 440 0.107042 0.304153 BG
