bed 256 300 729 524 0.176986 0.288754 sofa
chair 624 409 724 529 0.382481 0.376409 BG
chair 669 413 729 434 0.272787 0.677110 BG
chair 698 416 724 426 0.255047 0.623093 BG
chair 688 403 729 419 0.21588 0.615164 BG
chair 706 412 729 422 0.166833 0.434221 BG
chair 662 72 719 137 0.145797 0.644805 BG
chair 688 412 708 418 0.123523 0.861203 BG
chair 646 44 724 216 0.102081 0.496257 BG
sofa 314 176 729 529 0.97968 0.006936 sofa&&pillow
sofa 624 339 722 524 0.459808 0.435491 BG
sofa 322 155 578 307 0.438276 0.466626 BG
sofa 721 420 729 421 0.229383 0.169270 BG
sofa 704 403 729 416 0.203294 0.440078 BG
sofa 706 412 729 422 0.168881 0.434221 BG
sofa 283 182 385 337 0.167504 0.733207 BG
sofa 5 231 202 512 0.133086 0.314809 BG
sofa 325 150 480 201 0.127771 0.575923 BG
sofa 330 217 477 346 0.114982 0.850320 BG
sofa 714 348 719 352 0.1082 0.323930 BG
table 464 144 727 300 0.30319 0.583531 table
table 632 58 724 303 0.206333 0.727854 BG
table 33 219 289 518 0.16315 0.679832 floor
table 188 203 300 360 0.123825 0.238044 coffee_table
picture 721 107 729 136 0.179839 0.395647 BG
picture 725 135 729 138 0.11082 0.677725 BG
counter 33 201 362 351 0.200307 0.463745 BG
counter 277 217 336 302 0.137276 0.681191 BG
blinds 115 2 245 153 0.487477 0.451850 BG
blinds 141 0 182 137 0.296185 0.664021 BG
blinds 61 1 128 69 0.271916 0.561253 BG
blinds 118 1 152 140 0.207809 0.713671 BG
blinds 95 1 115 66 0.186708 0.731485 BG
blinds 112 1 126 66 0.174413 0.708274 BG
blinds 188 0 218 135 0.152664 0.788768 BG
blinds 177 16 194 134 0.14519 0.784642 BG
blinds 394 5 592 145 0.128953 0.805827 BG
desk 183 206 301 358 0.244307 0.238044 coffee_table
pillow 527 223 680 434 0.947779 0.050903 BG
pillow 439 258 578 329 0.597847 0.396574 BG
pillow 589 237 716 352 0.412753 0.545931 BG
pillow 389 169 694 350 0.329042 0.588153 pillow
pillow 536 289 550 309 0.324365 0.675557 BG
pillow 328 153 409 246 0.313278 0.523014 BG
pillow 534 297 543 312 0.277224 0.722746 BG
pillow 505 293 549 330 0.226393 0.773550 BG
pillow 533 282 572 311 0.216209 0.778009 BG
pillow 449 308 562 394 0.212669 0.741939 BG
pillow 654 401 656 405 0.210534 0.774958 BG
pillow 593 415 598 419 0.184363 0.804963 BG
pillow 602 419 604 422 0.178967 0.820349 BG
pillow 420 314 664 514 0.165545 0.671346 BG
pillow 600 413 614 424 0.162757 0.836150 BG
pillow 394 229 399 237 0.161992 0.831904 BG
pillow 535 236 618 307 0.153576 0.762554 BG
pillow 530 307 548 319 0.144839 0.855107 BG
pillow 580 404 641 439 0.141624 0.857009 BG
pillow 579 406 610 423 0.132136 0.865160 BG
pillow 583 411 590 416 0.123279 0.873516 BG
pillow 502 375 516 380 0.115181 0.806920 BG
pillow 519 217 572 269 0.112252 0.685981 BG
pillow 468 324 476 328 0.106222 0.884433 BG
pillow 479 326 511 336 0.10605 0.887742 BG
pillow 391 235 399 239 0.105317 0.890826 BG
mirror 648 76 718 171 0.133676 0.283054 BG
paper 49 169 70 204 0.590255 0.247269 BG
paper 52 193 53 200 0.38689 0.523571 BG
paper 53 157 54 159 0.305308 0.535186 BG
paper 50 160 64 165 0.300055 0.562954 BG
paper 417 339 475 372 0.264324 0.716399 BG
paper 192 216 240 235 0.242123 0.626149 BG
paper 189 234 265 249 0.239359 0.384345 BG
paper 425 326 428 338 0.218934 0.744866 BG
paper 426 313 442 338 0.194138 0.781311 BG
paper 7 505 15 511 0.185287 0.437582 BG
paper 716 317 729 358 0.170125 0.211430 BG
paper 1 312 107 526 0.153994 0.260339 BG
paper 721 279 729 287 0.151882 0.136170 BG
paper 409 343 420 366 0.148906 0.839579 BG
paper 62 202 69 207 0.147897 0.660827 BG
paper 559 206 596 224 0.142974 0.691815 BG
paper 184 233 219 243 0.141187 0.721695 BG
paper 458 318 468 325 0.131309 0.799280 BG
paper 322 499 323 507 0.124784 0.621463 BG
paper 544 504 547 510 0.122427 0.422779 BG
paper 65 160 70 168 0.11733 0.758763 BG
paper 662 90 670 105 0.115528 0.774967 BG
paper 437 149 489 158 0.107534 0.783740 BG
paper 18 135 116 207 0.104467 0.610243 curtain
paper 725 521 729 525 0.100889 0.150620 BG
box 193 235 269 302 0.75451 0.147562 BG
box 46 153 70 207 0.280153 0.265256 BG
box 187 232 266 250 0.234272 0.384345 BG
box 1 130 26 274 0.170287 0.389609 BG
box 19 128 118 210 0.150285 0.610243 curtain
box 7 505 16 510 0.140248 0.437582 BG
box 710 260 724 285 0.128538 0.540008 BG
box 721 278 729 287 0.112457 0.136170 BG
box 537 143 540 146 0.106092 0.717625 BG
box 693 267 705 276 0.104555 0.620789 BG
box 52 156 54 159 0.104098 0.535186 BG
box 715 318 729 355 0.10195 0.184103 BG
lamp 648 34 726 78 0.604949 0.274158 BG
lamp 656 6 725 175 0.380108 0.438837 BG
garbage_bin 703 170 729 191 0.11438 0.622359 BG
garbage_bin 0 304 111 523 0.110798 0.260339 BG
