bed 33 223 713 507 0.161411 0.726996 floor
picture 724 123 729 125 0.250651 0.383977 BG
paper 123 85 128 89 0.545111 0.210836 BG
paper 158 34 164 40 0.526599 0.199709 BG
paper 194 78 200 80 0.515324 0.194489 BG
paper 200 77 219 87 0.503398 0.207833 BG
paper 0 31 308 95 0.470587 0.207121 BG
paper 0 0 233 52 0.44545 0.160034 BG
paper 229 0 305 36 0.4332 0.201973 BG
paper 52 137 63 144 0.424728 0.211353 BG
paper 145 328 151 337 0.412892 0.172653 BG
paper 30 182 36 185 0.408202 0.262786 BG
paper 59 166 69 170 0.403686 0.235004 BG
paper 81 52 85 53 0.402137 0.198183 BG
paper 303 0 343 30 0.380493 0.264441 BG
paper 71 169 75 174 0.378079 0.240237 BG
paper 337 0 371 28 0.367955 0.324715 BG
paper 77 209 81 211 0.355149 0.242007 BG
paper 310 30 323 35 0.339307 0.314224 BG
paper 196 244 200 245 0.336842 0.193833 BG
paper 81 232 125 248 0.324974 0.234129 BG
paper 164 265 169 270 0.320252 0.178175 BG
paper 1 0 87 5 0.313853 0.164731 BG
paper 219 273 226 274 0.286068 0.233029 BG
paper 636 502 642 507 0.27826 0.324641 BG
paper 649 325 661 336 0.27549 0.552527 BG
paper 613 229 624 241 0.270511 0.640501 BG
paper 626 491 639 506 0.266096 0.412777 BG
paper 369 0 458 26 0.262105 0.471118 BG
paper 344 65 359 68 0.248406 0.622198 BG
paper 564 205 568 207 0.243606 0.680431 BG
paper 640 505 648 515 0.242007 0.310419 BG
paper 270 482 274 494 0.229279 0.352139 BG
paper 659 453 671 463 0.223859 0.631386 BG
paper 184 146 271 219 0.221676 0.519936 BG
paper 600 444 695 529 0.218698 0.347236 BG
paper 0 206 85 250 0.217573 0.526675 BG
paper 307 27 376 68 0.216112 0.579917 BG
paper 676 341 687 353 0.214601 0.586861 BG
paper 653 367 672 385 0.21432 0.632729 BG
paper 659 526 660 526 0.209126 0.358686 BG
paper 0 143 148 250 0.208216 0.577362 BG
paper 671 379 683 389 0.207957 0.608473 BG
paper 569 275 589 289 0.206916 0.658822 BG
paper 626 490 627 490 0.20409 0.521832 BG
paper 626 490 631 493 0.203275 0.529416 BG
paper 680 350 686 353 0.202766 0.620234 BG
paper 595 302 635 347 0.197631 0.657778 BG
paper 648 441 651 442 0.195157 0.671946 BG
paper 264 135 271 139 0.194641 0.579130 BG
paper 207 140 232 150 0.193352 0.665363 BG
paper 630 428 633 430 0.190831 0.686270 BG
paper 664 417 670 424 0.187528 0.685892 BG
paper 545 259 561 274 0.187237 0.707745 BG
paper 661 415 666 420 0.186521 0.691445 BG
paper 495 364 500 368 0.182733 0.456411 BG
paper 543 188 547 191 0.181097 0.726466 BG
paper 275 137 280 145 0.175042 0.647689 BG
paper 533 188 543 197 0.173196 0.734453 BG
paper 536 185 542 189 0.171342 0.723996 BG
paper 0 123 134 178 0.170492 0.747793 BG
paper 679 468 691 480 0.169861 0.650043 BG
paper 689 476 696 482 0.166843 0.616092 BG
paper 204 353 214 357 0.163721 0.664558 BG
paper 689 392 698 405 0.160977 0.617916 BG
paper 597 329 602 331 0.157855 0.722212 BG
paper 544 116 551 119 0.157762 0.747090 BG
paper 622 486 624 491 0.156735 0.689348 BG
paper 469 327 486 345 0.154041 0.651096 BG
paper 614 481 621 489 0.153168 0.681197 BG
paper 522 216 526 221 0.152424 0.735595 BG
paper 711 507 729 529 0.152052 0.088920 BG
paper 718 416 729 427 0.149039 0.263692 BG
paper 283 133 288 137 0.146795 0.715733 BG
paper 620 383 625 391 0.145526 0.742587 BG
paper 640 513 653 529 0.142942 0.127810 BG
paper 592 460 636 501 0.141672 0.730420 BG
paper 0 65 341 139 0.141217 0.744188 BG
paper 244 497 249 517 0.140641 0.525461 BG
paper 90 384 94 390 0.140619 0.696897 BG
paper 18 288 20 299 0.140612 0.167781 BG
paper 689 514 699 529 0.138714 0.194001 BG
paper 216 262 284 351 0.136872 0.573260 BG
paper 623 502 641 529 0.136584 0.143062 BG
paper 478 355 490 367 0.135019 0.522597 BG
paper 602 481 611 495 0.133581 0.680369 BG
paper 247 115 255 120 0.133464 0.784978 BG
paper 503 204 524 214 0.130901 0.764661 BG
paper 633 287 729 368 0.129376 0.734480 BG
paper 613 481 631 499 0.128233 0.731878 BG
paper 423 89 427 90 0.127754 0.809140 BG
paper 663 494 675 502 0.125403 0.556212 BG
paper 460 329 462 332 0.121372 0.714310 BG
paper 197 126 310 144 0.121007 0.761774 BG
paper 723 461 729 466 0.120604 0.206756 BG
paper 591 363 597 368 0.116809 0.781575 BG
paper 661 527 663 529 0.116801 0.135034 BG
paper 224 509 230 529 0.116741 0.241640 BG
paper 145 0 456 142 0.116368 0.762222 BG
paper 502 377 515 393 0.116325 0.561108 BG
paper 448 209 613 323 0.1158 0.776531 BG
