chair 267 145 539 433 0.972569 0.019116 chair
table 70 195 499 416 0.313251 0.260358 desk
table 4 250 80 374 0.292003 0.541163 BG
table 295 13 542 420 0.120261 0.715144 BG
picture 226 54 384 118 0.603368 0.319486 BG
picture 342 76 362 100 0.335527 0.617898 BG
picture 2 1 55 85 0.246254 0.466587 BG
picture 324 96 364 107 0.206836 0.738421 BG
counter 76 168 496 416 0.179322 0.213621 desk
desk 67 85 505 427 0.998799 0.000576 desk
desk 7 79 159 439 0.30241 0.552956 drawer
clothes 377 140 441 203 0.230215 0.078007 BG
tv 4 9 84 156 0.234486 0.572993 tv
paper 156 166 188 177 0.909867 0.089105 BG
paper 135 138 216 190 0.827534 0.169828 BG
paper 151 182 156 190 0.691262 0.308722 BG
paper 126 141 136 160 0.633818 0.365838 BG
paper 150 164 201 200 0.632345 0.363253 BG
paper 93 137 225 248 0.476891 0.493269 BG
paper 236 14 301 102 0.270229 0.629272 BG
paper 118 179 130 201 0.261909 0.733704 BG
paper 146 410 151 415 0.253604 0.359872 BG
paper 411 172 429 193 0.229136 0.519392 BG
paper 133 382 134 385 0.196017 0.056793 BG
paper 377 120 382 126 0.172901 0.582438 BG
paper 305 62 367 98 0.17281 0.715818 BG
paper 143 414 150 426 0.170543 0.483852 BG
paper 126 362 128 365 0.147317 0.107113 BG
paper 151 417 155 426 0.140065 0.504892 BG
paper 534 291 538 322 0.128613 0.058809 BG
paper 1 296 10 309 0.127727 0.700821 BG
paper 328 58 332 65 0.126142 0.792458 BG
paper 110 141 136 205 0.124364 0.873153 BG
paper 106 330 111 339 0.119741 0.532981 BG
paper 535 283 538 291 0.114832 0.106761 BG
paper 326 131 328 133 0.112986 0.724055 BG
paper 112 330 142 382 0.103026 0.483806 BG
paper 157 129 215 138 0.100166 0.823294 BG
towel 370 123 440 205 0.240215 0.131921 BG
box 89 110 92 119 0.537691 0.454814 BG
box 59 218 65 226 0.487841 0.476091 BG
box 55 226 57 229 0.409942 0.564299 BG
box 84 104 91 111 0.362448 0.627422 BG
box 145 409 151 415 0.231489 0.359872 BG
box 143 412 149 426 0.159549 0.483852 BG
box 233 3 301 105 0.140316 0.659589 BG
box 151 416 155 426 0.126526 0.504892 BG
box 377 119 382 125 0.11371 0.582438 BG
box 356 117 492 241 0.104891 0.596425 BG
box 298 32 384 105 0.10109 0.714767 BG
whiteboard 61 6 225 141 0.156482 0.784944 BG
toilet 467 0 584 417 0.106879 0.685634 BG
lamp 366 4 472 50 0.9669 0.033085 BG
lamp 361 6 412 109 0.962989 0.036823 BG
lamp 341 2 516 198 0.840354 0.152493 BG
lamp 464 1 485 36 0.465632 0.513426 BG
lamp 306 2 408 50 0.236826 0.761506 BG
bag 378 142 443 198 0.466131 0.078007 BG
bag 221 142 290 237 0.276877 0.671689 BG
bag 380 151 402 197 0.204408 0.636297 BG
bag 225 154 282 182 0.195159 0.771303 BG
bag 219 192 257 224 0.157238 0.719933 BG
bag 211 139 245 218 0.156577 0.782796 BG
bag 406 160 430 191 0.156451 0.640093 BG
bag 263 168 274 181 0.156191 0.781483 BG
bag 356 124 492 242 0.145637 0.578058 BG
bag 220 184 253 196 0.138575 0.755030 BG
bag 252 160 288 203 0.132207 0.818822 BG
bag 371 127 415 174 0.118003 0.631555 BG
bag 230 118 442 201 0.114447 0.756707 BG
bag 304 172 340 215 0.111564 0.437441 BG
garbage_bin 216 370 236 414 0.633115 0.365891 BG
garbage_bin 230 367 236 384 0.555212 0.443195 BG
garbage_bin 118 299 234 439 0.472529 0.510976 BG
garbage_bin 144 364 151 384 0.425494 0.370776 BG
garbage_bin 129 375 148 397 0.409133 0.214284 BG
garbage_bin 147 377 164 417 0.363485 0.590248 BG
garbage_bin 167 404 169 411 0.239765 0.715743 BG
garbage_bin 165 366 236 428 0.234616 0.763947 BG
garbage_bin 129 370 159 425 0.228419 0.605963 BG
garbage_bin 155 361 191 440 0.226877 0.683098 BG
garbage_bin 169 379 171 395 0.212014 0.761544 BG
garbage_bin 163 401 164 403 0.206915 0.767558 BG
garbage_bin 535 283 539 291 0.176584 0.106761 BG
garbage_bin 533 292 539 322 0.168921 0.058809 BG
garbage_bin 125 362 129 364 0.166064 0.107113 BG
garbage_bin 132 382 135 385 0.141708 0.056793 BG
garbage_bin 125 330 151 384 0.141505 0.661376 BG
garbage_bin 117 315 165 415 0.13851 0.741699 BG
garbage_bin 341 124 440 206 0.119147 0.373548 BG
garbage_bin 158 399 174 432 0.104598 0.801851 BG
