chair 241 113 466 419 0.96093 0.038477 chair
sofa 719 175 724 181 0.223612 0.267276 BG
sofa 395 275 700 505 0.119335 0.835318 BG
sofa 700 167 718 182 0.109052 0.454494 BG
table 598 83 729 340 0.34777 0.569956 BG
table 5 112 275 525 0.174723 0.295271 BG
door 487 168 513 304 0.105265 0.569109 BG
picture 532 161 551 183 0.255911 0.475384 BG
picture 523 156 572 186 0.204205 0.472791 BG
counter 0 77 288 529 0.185388 0.357109 BG
desk 521 158 729 424 0.117912 0.527014 desk
paper 449 508 452 512 0.231339 0.263254 BG
paper 470 515 475 524 0.221809 0.373811 BG
paper 537 168 551 181 0.197224 0.511364 BG
paper 524 155 549 178 0.189391 0.487226 BG
paper 714 179 729 186 0.17915 0.310117 BG
paper 448 513 466 525 0.169005 0.394916 BG
paper 683 261 729 343 0.163912 0.323983 BG
paper 534 161 550 170 0.161759 0.575985 BG
paper 454 488 456 497 0.150169 0.386481 BG
paper 715 330 729 344 0.145808 0.192168 BG
paper 727 344 729 345 0.143964 0.180486 BG
paper 696 312 729 342 0.14388 0.244311 BG
paper 561 512 633 524 0.143812 0.438869 BG
paper 702 320 711 327 0.129663 0.260657 BG
paper 693 309 699 313 0.129661 0.558737 BG
paper 663 478 729 524 0.12958 0.303066 box
paper 434 512 448 525 0.122547 0.423224 BG
paper 716 285 729 290 0.121076 0.157043 BG
paper 516 156 524 178 0.111032 0.630432 BG
box 641 494 650 506 0.674822 0.262227 BG
box 638 473 669 524 0.643063 0.312244 BG
box 642 485 650 495 0.521679 0.469337 BG
box 647 483 652 496 0.514872 0.480252 BG
box 690 150 694 159 0.406241 0.444429 BG
box 661 473 729 524 0.380275 0.303066 box
box 454 487 457 497 0.340101 0.386481 BG
box 692 141 701 150 0.226141 0.621108 BG
box 449 507 452 512 0.207974 0.263254 BG
box 516 157 525 178 0.178994 0.630432 BG
box 679 157 696 164 0.169603 0.727911 BG
box 523 157 551 178 0.157596 0.487226 BG
box 710 284 726 290 0.147312 0.288817 BG
box 607 194 614 202 0.138354 0.814959 BG
box 692 309 698 313 0.133362 0.558737 BG
box 676 278 729 341 0.13282 0.196832 BG
box 448 512 466 525 0.114086 0.394916 BG
box 702 319 710 327 0.112651 0.260657 BG
box 3 212 45 244 0.111867 0.853757 BG
box 434 511 448 525 0.111711 0.423224 BG
box 470 514 475 524 0.111258 0.373811 BG
whiteboard 7 0 155 254 0.935615 0.046598 whiteboard
whiteboard 90 0 196 204 0.111563 0.723077 BG
lamp 702 319 710 328 0.211099 0.260657 BG
lamp 696 312 702 318 0.160797 0.498689 BG
garbage_bin 709 285 729 290 0.118561 0.201233 BG
