bed 34 259 242 427 0.436739 0.528846 crib
chair 26 432 37 440 0.122456 0.467866 BG
chair 391 212 550 440 0.11899 0.714555 BG
sofa 252 117 259 122 0.130889 0.227116 BG
table 4 300 62 329 0.292712 0.586864 BG
table 3 309 7 324 0.114968 0.729083 BG
picture 16 237 53 273 0.320616 0.634907 BG
picture 106 220 144 257 0.22328 0.704658 BG
picture 108 245 126 256 0.167648 0.789676 BG
picture 10 206 146 270 0.150751 0.801112 BG
picture 10 251 20 260 0.149886 0.762306 BG
picture 108 250 112 256 0.13511 0.813710 BG
picture 114 256 126 263 0.128409 0.802478 BG
counter 261 117 269 120 0.101792 0.686723 BG
clothes 339 422 350 439 0.1943 0.233463 BG
clothes 329 402 364 438 0.158528 0.281831 BG
clothes 317 343 356 425 0.126174 0.840446 BG
paper 550 410 560 429 0.143651 0.520281 BG
paper 283 421 283 427 0.131543 0.648427 BG
paper 273 423 284 432 0.115979 0.477958 BG
paper 537 399 559 440 0.114534 0.465402 BG
paper 356 423 368 433 0.107643 0.381743 BG
paper 91 191 97 193 0.104462 0.638513 BG
towel 340 427 348 432 0.105268 0.340787 BG
box 537 396 558 438 0.211953 0.465402 BG
box 550 409 560 428 0.171904 0.520281 BG
box 212 424 230 440 0.131762 0.377980 BG
box 271 430 287 440 0.131332 0.199804 BG
box 225 430 231 440 0.129806 0.284282 BG
box 272 422 283 431 0.125736 0.477958 BG
box 212 433 217 440 0.120083 0.277062 BG
box 211 405 249 440 0.114595 0.711697 BG
box 228 426 241 440 0.110872 0.605502 BG
box 248 430 271 440 0.109859 0.245874 BG
box 218 429 223 434 0.106718 0.523419 BG
box 224 408 232 440 0.106297 0.775774 BG
person 341 431 348 440 0.17845 0.289689 BG
person 341 423 363 440 0.107217 0.199398 BG
toilet 343 250 551 440 0.134843 0.639238 BG
lamp 286 81 372 382 0.602217 0.311610 lamp
lamp 112 264 123 272 0.158216 0.682536 BG
lamp 286 97 354 144 0.140033 0.782673 BG
bag 329 407 363 440 0.358301 0.281831 BG
bag 340 427 348 432 0.347912 0.340787 BG
bag 335 413 349 432 0.211078 0.614871 BG
bag 340 432 347 440 0.200537 0.289689 BG
bag 331 425 340 440 0.187402 0.605492 BG
bag 322 407 341 440 0.1787 0.666210 BG
bag 282 376 369 440 0.15461 0.316284 cartoon&&box
bag 331 438 332 440 0.120557 0.615656 BG
bag 356 424 367 434 0.115654 0.381743 BG
bag 350 427 363 440 0.114314 0.161310 BG
garbage_bin 252 117 259 122 0.141468 0.227116 BG
