sofa 9 44 665 505 0.970229 0.016540 floor
pillow 4 210 109 317 0.684429 0.307880 BG
pillow 28 271 64 289 0.64395 0.355336 BG
pillow 3 234 51 366 0.38198 0.604146 BG
pillow 1 261 26 317 0.292062 0.703627 BG
pillow 27 312 54 376 0.206426 0.720771 BG
pillow 35 332 54 352 0.203601 0.714499 BG
pillow 27 318 36 330 0.182698 0.813961 BG
pillow 27 315 49 336 0.180684 0.801434 BG
pillow 35 327 40 334 0.180684 0.801434 BG
pillow 26 329 35 339 0.152511 0.762908 BG
pillow 63 360 74 362 0.138826 0.822793 BG
pillow 40 317 48 332 0.126074 0.873134 BG
pillow 21 303 32 319 0.115634 0.883411 BG
pillow 35 348 53 375 0.11507 0.626513 BG
pillow 16 350 37 367 0.105607 0.465392 BG
pillow 25 302 40 310 0.105536 0.894449 BG
pillow 40 332 48 336 0.104506 0.867436 BG
pillow 23 284 31 305 0.101779 0.898218 BG
tv 0 350 17 363 0.12369 0.767180 BG
paper 292 527 299 529 0.133675 0.301656 BG
paper 132 498 137 502 0.129473 0.472891 BG
paper 135 496 147 505 0.127666 0.477324 BG
paper 152 508 161 515 0.118628 0.428869 BG
paper 300 439 443 528 0.117376 0.708897 BG
paper 179 250 192 302 0.112796 0.810180 BG
paper 494 481 497 485 0.108146 0.622646 BG
paper 179 233 213 298 0.10522 0.808010 BG
paper 160 514 166 519 0.104793 0.560941 BG
paper 173 522 175 524 0.100288 0.561439 BG
whiteboard 1 59 62 196 0.181728 0.362928 BG
bag 16 351 37 366 0.138541 0.465392 BG
bag 16 351 24 356 0.131325 0.504032 BG
