chair 293 88 439 385 0.153884 0.845001 chair
table 373 132 692 484 0.283363 0.054309 desk
table 0 98 328 339 0.261526 0.671092 desk
picture 143 42 227 102 0.932897 0.062095 computer
picture 184 54 223 87 0.545155 0.435038 BG
picture 186 76 218 89 0.116443 0.878865 BG
counter 444 201 722 418 0.240299 0.493320 desk
desk 402 155 693 419 0.97362 0.004686 desk
tv 421 44 500 130 0.207601 0.314006 computer
tv 201 81 225 97 0.191637 0.733415 BG
tv 193 97 224 101 0.172962 0.718206 BG
paper 65 129 73 135 0.468258 0.460608 BG
paper 683 129 729 225 0.372752 0.371201 paper
paper 64 134 93 143 0.353566 0.599176 BG
paper 50 110 67 141 0.350252 0.530294 BG
paper 65 141 78 147 0.300121 0.643532 BG
paper 4 127 101 158 0.271575 0.663012 BG
paper 700 125 718 132 0.268948 0.648787 BG
paper 696 215 729 239 0.239736 0.353491 BG
paper 703 216 729 223 0.216403 0.349761 BG
paper 11 110 73 144 0.209867 0.504439 box
paper 682 276 729 296 0.167457 0.287702 BG
paper 721 403 729 410 0.148118 0.167344 BG
paper 481 149 529 164 0.14446 0.853846 BG
paper 1 128 8 132 0.138092 0.633734 BG
paper 17 115 43 124 0.137577 0.587164 BG
paper 4 134 11 141 0.12641 0.453627 BG
paper 453 170 458 176 0.123929 0.854612 BG
paper 714 412 729 435 0.120632 0.122640 BG
paper 32 118 34 123 0.119249 0.664183 BG
paper 516 144 528 153 0.117656 0.861670 BG
paper 50 109 63 114 0.117181 0.711394 BG
paper 719 435 729 472 0.114647 0.249224 BG
paper 18 371 22 373 0.110064 0.784990 BG
paper 505 162 525 172 0.101962 0.895666 BG
paper 513 152 529 158 0.100435 0.890648 BG
paper 502 157 516 162 0.100227 0.896489 BG
box 538 106 543 107 0.469437 0.389330 BG
box 641 230 729 303 0.30506 0.517225 BG
box 681 213 729 241 0.290376 0.346508 BG
box 4 134 11 141 0.288021 0.453627 BG
box 9 113 52 144 0.263821 0.484753 box
box 623 231 656 302 0.238668 0.734178 BG
box 15 114 43 124 0.214747 0.587164 BG
box 1 128 9 131 0.167398 0.633734 BG
box 31 117 34 123 0.160878 0.664183 BG
box 579 273 592 288 0.135586 0.806133 BG
box 585 277 604 296 0.129854 0.799534 BG
box 721 402 729 410 0.125473 0.167344 BG
box 702 215 729 224 0.118266 0.349761 BG
box 32 120 42 124 0.104639 0.799446 BG
garbage_bin 703 215 729 224 0.102914 0.349761 BG
monitor 432 44 502 117 0.111673 0.339135 computer
