cabinet 244 238 605 429 0.307351 0.496814 tv_stand
bed 6 138 210 305 0.342487 0.452710 sofa_chair
chair 0 168 146 374 0.731874 0.213249 sofa_chair
chair 12 279 138 518 0.612471 0.265859 BG
chair 0 258 154 318 0.202043 0.696066 BG
sofa 17 138 174 375 0.176355 0.600082 sofa_chair
table 58 283 333 529 0.953678 0.022306 endtable
table 214 254 667 509 0.421101 0.327720 floor
table 0 347 107 526 0.260909 0.575650 BG
table 684 384 729 491 0.136587 0.530966 BG
bookshelf 142 128 228 299 0.266351 0.717553 BG
bookshelf 160 137 202 187 0.199282 0.704506 BG
picture 442 1 529 6 0.179515 0.213602 BG
picture 719 90 729 141 0.111005 0.334141 BG
blinds 1 0 220 177 0.661483 0.335321 curtain
blinds 159 2 184 140 0.653945 0.342512 BG
blinds 165 2 222 174 0.504517 0.488991 BG
blinds 131 1 174 177 0.463764 0.533311 BG
blinds 117 0 142 171 0.284082 0.711080 BG
blinds 208 61 213 103 0.276414 0.613168 BG
blinds 207 0 223 176 0.194103 0.788359 BG
blinds 0 0 62 171 0.13556 0.855661 BG
desk 79 224 658 526 0.665137 0.236541 floor
pillow 8 173 169 261 0.107457 0.475532 BG
mirror 233 0 249 108 0.10263 0.810833 BG
clothes 10 206 172 289 0.367929 0.461597 BG
tv 317 63 592 271 0.986891 0.007410 tv
tv 441 0 529 6 0.37608 0.215276 BG
paper 209 143 210 145 0.237456 0.504499 BG
paper 209 127 211 135 0.22433 0.554535 BG
paper 669 112 687 125 0.166249 0.614457 BG
paper 0 415 53 481 0.155113 0.312379 BG
paper 98 337 103 341 0.145505 0.633579 BG
paper 632 443 638 451 0.145213 0.624325 BG
paper 604 431 632 449 0.143568 0.726919 BG
paper 210 122 210 127 0.143496 0.427508 BG
paper 651 487 703 529 0.142342 0.496885 BG
paper 575 405 641 459 0.141217 0.805651 BG
paper 690 121 695 123 0.140078 0.655837 BG
paper 685 115 695 123 0.125707 0.698363 BG
paper 308 511 328 529 0.122967 0.503342 BG
paper 672 462 729 529 0.122226 0.421429 BG
paper 406 500 417 513 0.115541 0.669151 BG
paper 210 108 223 171 0.111249 0.692474 BG
paper 309 474 434 529 0.108481 0.665999 BG
paper 176 396 180 400 0.1055 0.718985 BG
paper 576 367 652 432 0.105201 0.771074 BG
paper 589 390 603 413 0.102983 0.854861 BG
towel 0 416 52 480 0.146983 0.312379 BG
box 522 515 544 529 0.250987 0.473522 BG
box 522 516 528 529 0.217014 0.543956 BG
box 507 518 522 529 0.190597 0.556426 BG
box 209 142 211 145 0.169472 0.504499 BG
box 172 136 211 141 0.150667 0.624055 BG
box 168 138 174 171 0.147158 0.547305 BG
box 455 488 546 528 0.144635 0.466072 BG
box 308 512 329 529 0.143199 0.503342 BG
box 210 122 211 127 0.140687 0.427508 BG
box 225 528 228 529 0.134607 0.540279 BG
box 216 514 242 529 0.133577 0.592449 BG
box 651 482 704 527 0.132519 0.496885 BG
box 174 143 209 167 0.119809 0.762758 picture
box 644 507 654 528 0.119489 0.511645 BG
box 210 127 212 135 0.118079 0.554535 BG
box 672 456 729 526 0.115322 0.421429 BG
box 607 323 623 369 0.111267 0.848817 BG
box 0 399 62 483 0.107681 0.479699 BG
person 130 255 146 266 0.217443 0.708792 BG
night_stand 443 246 615 404 0.182767 0.512964 BG
lamp 698 327 728 379 0.505733 0.354110 BG
lamp 677 372 729 451 0.187461 0.399407 BG
lamp 661 101 727 394 0.186474 0.528739 BG
lamp 601 230 610 267 0.186465 0.673146 BG
lamp 580 228 609 280 0.164952 0.738008 BG
lamp 718 325 729 347 0.149156 0.446687 BG
lamp 606 232 610 239 0.113868 0.852907 BG
bag 0 416 52 476 0.182127 0.312379 BG
garbage_bin 707 92 729 170 0.107493 0.210756 BG
