cabinet 75 2 347 86 0.327543 0.566598 tv_stand
chair 20 99 264 440 0.657748 0.277595 BG
chair 218 14 577 183 0.51845 0.478090 sofa_chair
chair 82 321 276 439 0.424177 0.572552 chair
chair 266 44 284 67 0.353726 0.634402 BG
chair 271 41 292 56 0.331493 0.639243 BG
chair 266 43 278 52 0.322468 0.661554 BG
chair 263 62 266 65 0.228812 0.763770 BG
chair 0 34 77 243 0.228136 0.631155 BG
chair 221 30 409 88 0.213625 0.637276 BG
chair 267 59 272 65 0.189449 0.805636 BG
chair 427 2 589 113 0.169457 0.774879 curtain
chair 265 52 270 64 0.142744 0.855980 BG
chair 263 65 268 67 0.134867 0.849384 BG
chair 257 62 261 65 0.129981 0.860191 BG
sofa 182 16 446 108 0.10796 0.802616 BG
sofa 149 0 340 19 0.105026 0.737360 BG
table 6 178 274 436 0.111297 0.481638 BG
table 0 77 75 268 0.107043 0.570513 BG
desk 122 86 493 303 0.129927 0.753244 BG
clothes 523 0 590 48 0.426316 0.340772 BG
clothes 389 1 404 24 0.29375 0.551386 BG
clothes 400 0 412 27 0.209552 0.548649 BG
clothes 399 0 455 27 0.154561 0.557917 BG
clothes 540 0 547 14 0.101039 0.812319 BG
paper 120 208 126 224 0.214965 0.132674 BG
paper 71 320 77 335 0.201167 0.090195 BG
paper 128 288 136 303 0.200011 0.071851 BG
paper 1 304 34 336 0.191821 0.084093 BG
paper 17 330 23 334 0.175523 0.085383 BG
paper 48 271 110 290 0.163363 0.104059 BG
paper 27 241 100 275 0.138856 0.216476 BG
paper 81 394 131 440 0.128943 0.507863 BG
paper 43 204 163 321 0.121402 0.207636 BG
paper 173 228 225 298 0.119681 0.387359 BG
paper 1 429 25 440 0.105384 0.545108 floor
paper 1 335 15 384 0.105179 0.167795 BG
towel 520 0 590 59 0.140564 0.471472 BG
towel 399 0 449 27 0.128779 0.557917 BG
box 475 179 479 181 0.168054 0.757939 BG
box 17 329 24 334 0.107125 0.085383 BG
box 238 425 245 440 0.103822 0.715953 BG
bag 401 1 449 25 0.102356 0.557917 BG
garbage_bin 16 330 24 334 0.222811 0.085383 BG
garbage_bin 97 139 229 307 0.208756 0.438972 BG
garbage_bin 49 271 110 290 0.195491 0.104059 BG
garbage_bin 27 239 99 276 0.179501 0.216476 BG
garbage_bin 174 222 225 299 0.170525 0.387359 BG
garbage_bin 71 320 78 335 0.168065 0.090195 BG
garbage_bin 46 197 161 324 0.166617 0.207636 BG
garbage_bin 1 304 35 336 0.159601 0.084093 BG
garbage_bin 128 288 137 303 0.129614 0.071851 BG
garbage_bin 408 157 496 285 0.107899 0.623078 BG
