cabinet 19 163 242 305 0.17735 0.739667 desk
bed 183 225 548 419 0.523599 0.302078 bench
sofa 51 267 550 426 0.104486 0.254911 bench
table 0 263 203 426 0.777424 0.169771 table
picture 501 96 560 184 0.88938 0.104865 BG
picture 1 2 49 42 0.367556 0.246707 BG
picture 549 160 560 169 0.319255 0.632739 BG
picture 531 144 542 149 0.19414 0.794189 BG
picture 545 117 560 119 0.180174 0.706833 BG
picture 553 137 560 149 0.159481 0.781241 BG
picture 505 122 507 145 0.142829 0.845164 BG
desk 0 281 538 415 0.246139 0.272234 bench
dresser 207 340 449 426 0.132483 0.171883 table
pillow 238 357 316 417 0.114677 0.509839 BG
pillow 261 376 279 409 0.100315 0.852830 BG
mirror 0 77 100 157 0.109018 0.432547 BG
clothes 237 298 513 414 0.833238 0.045034 clothes
clothes 231 308 320 426 0.43299 0.258253 BG
clothes 0 39 74 137 0.267414 0.599476 BG
clothes 246 346 370 386 0.262639 0.665610 BG
clothes 344 316 518 371 0.152822 0.717121 BG
clothes 234 319 276 366 0.13281 0.815462 BG
clothes 268 356 304 416 0.130262 0.562247 BG
clothes 322 344 417 407 0.107394 0.677826 BG
paper 363 304 366 311 0.648545 0.332729 BG
paper 172 140 197 164 0.375028 0.380028 BG
paper 354 292 374 319 0.271885 0.658900 BG
paper 218 409 223 412 0.22024 0.459839 BG
paper 59 89 63 104 0.187297 0.582043 BG
paper 224 414 236 415 0.175114 0.444353 BG
paper 363 304 372 319 0.1742 0.779972 BG
paper 208 410 212 412 0.17086 0.577015 BG
paper 203 400 217 406 0.165187 0.589697 BG
paper 310 162 332 186 0.149197 0.660169 BG
paper 529 310 555 320 0.147247 0.206250 BG
paper 214 112 225 120 0.145996 0.093177 BG
paper 557 239 560 240 0.145063 0.257580 BG
paper 524 393 560 413 0.144915 0.722859 BG
paper 446 416 485 426 0.143338 0.298275 BG
paper 76 130 141 167 0.136785 0.694321 BG
paper 544 381 560 395 0.124761 0.385558 BG
paper 525 393 535 396 0.119676 0.637631 BG
paper 177 399 238 426 0.114497 0.468247 BG
paper 211 400 222 414 0.109745 0.695601 BG
paper 456 408 556 426 0.104414 0.313624 BG
paper 224 395 233 399 0.103298 0.751837 BG
towel 300 292 501 424 0.141262 0.081405 clothes
towel 2 70 61 152 0.10892 0.545482 BG
box 74 129 100 163 0.285251 0.297150 BG
box 506 100 525 110 0.181903 0.798951 BG
box 535 99 559 108 0.143619 0.777031 BG
box 309 162 333 186 0.140558 0.660169 BG
box 203 399 218 406 0.122933 0.589697 BG
box 173 157 197 165 0.118353 0.709453 BG
box 195 410 208 426 0.117199 0.261986 BG
box 544 380 560 395 0.116193 0.385558 BG
box 524 393 536 396 0.115689 0.637631 BG
box 179 370 208 379 0.115661 0.841119 BG
box 404 383 446 397 0.111433 0.687242 BG
box 175 397 205 426 0.108638 0.374608 BG
box 529 309 555 320 0.106911 0.206250 BG
box 505 106 511 120 0.101334 0.869310 BG
whiteboard 74 4 560 208 0.950863 0.045191 BG
whiteboard 214 111 226 120 0.139258 0.093177 BG
night_stand 303 414 314 426 0.203865 0.733868 BG
night_stand 202 345 440 423 0.15532 0.171883 table
lamp 3 80 98 160 0.110633 0.432547 BG
bag 309 287 502 424 0.253239 0.081405 clothes
bag 237 344 365 426 0.197974 0.256469 table
bag 267 361 305 416 0.110998 0.562247 BG
garbage_bin 301 344 377 420 0.186978 0.404947 BG
garbage_bin 495 240 548 272 0.13169 0.644571 BG
garbage_bin 525 243 547 246 0.124686 0.581740 BG
garbage_bin 536 248 560 255 0.111179 0.338951 BG
garbage_bin 528 309 556 321 0.106741 0.206250 BG
