bed 74 78 477 384 0.995133 0.004366 bed
chair 470 133 560 308 0.882406 0.081883 chair
chair 450 91 560 169 0.273148 0.504365 BG
chair 517 107 521 113 0.265398 0.676869 BG
sofa 463 91 556 205 0.114414 0.554624 sofa
table 458 123 556 297 0.230549 0.254800 chair
picture 280 0 336 54 0.953758 0.043450 poster&&picture
picture 96 0 232 29 0.907329 0.092243 poster&&picture
picture 98 0 154 16 0.33501 0.663546 BG
picture 286 8 309 46 0.277833 0.716456 BG
picture 133 141 153 159 0.267846 0.357042 BG
picture 278 1 337 13 0.248878 0.728013 BG
picture 206 0 223 12 0.21255 0.786744 BG
picture 514 78 560 181 0.196719 0.188786 sofa
picture 333 2 356 33 0.179059 0.772474 BG
picture 303 4 324 10 0.17715 0.785206 BG
picture 285 42 332 52 0.165143 0.789807 BG
picture 286 4 360 123 0.1496 0.834150 BG
picture 138 153 144 157 0.135178 0.299412 BG
picture 329 92 349 112 0.133524 0.777520 BG
picture 144 131 151 143 0.131329 0.624963 BG
picture 330 18 334 24 0.120087 0.816733 BG
picture 176 0 208 17 0.106884 0.892624 BG
picture 282 1 336 3 0.106174 0.813381 BG
pillow 236 92 281 137 0.896084 0.102620 BG
pillow 175 90 284 153 0.613579 0.326419 pillow
pillow 178 109 193 132 0.202879 0.632905 BG
pillow 172 93 193 154 0.129707 0.724328 BG
clothes 347 0 407 140 0.258141 0.552640 clothes
clothes 164 323 200 364 0.181067 0.738493 BG
clothes 0 234 7 267 0.167368 0.616921 BG
clothes 0 223 22 267 0.118296 0.526367 BG
clothes 1 264 6 274 0.101672 0.778414 BG
paper 149 120 186 125 0.284206 0.661992 BG
paper 308 147 327 155 0.258257 0.739126 BG
paper 115 132 156 165 0.248188 0.295667 pillow
paper 281 151 325 161 0.236107 0.763357 BG
paper 134 141 153 159 0.192753 0.357042 BG
paper 138 154 144 157 0.185587 0.299412 BG
paper 271 399 283 406 0.176942 0.580145 BG
paper 144 131 151 143 0.158708 0.624963 BG
paper 150 125 181 149 0.147622 0.723315 BG
paper 535 298 550 303 0.146711 0.436056 BG
paper 283 136 358 161 0.145143 0.840527 BG
paper 112 105 190 158 0.144798 0.660106 BG
paper 551 268 556 271 0.140473 0.452608 BG
paper 293 141 309 152 0.134884 0.864371 BG
paper 243 138 326 168 0.132746 0.865772 BG
paper 237 99 293 198 0.13115 0.813266 BG
paper 528 305 560 336 0.127755 0.461978 BG
paper 523 313 527 328 0.126393 0.633428 BG
paper 213 411 223 415 0.114418 0.616091 BG
paper 208 117 215 122 0.104415 0.746486 BG
paper 555 325 560 335 0.103638 0.256514 BG
paper 149 131 172 139 0.101595 0.724295 BG
paper 1 283 7 313 0.100044 0.552246 BG
towel 0 221 21 280 0.289816 0.466223 paperbag
towel 0 234 7 268 0.140168 0.616921 BG
towel 3 221 58 312 0.126199 0.572379 BG
towel 12 243 21 249 0.122377 0.769407 BG
box 106 121 185 165 0.367678 0.415119 BG
box 419 52 424 85 0.293398 0.649357 BG
box 542 256 560 275 0.254172 0.564043 BG
box 117 146 157 164 0.226419 0.463633 BG
box 137 153 144 156 0.209694 0.299412 BG
box 550 267 556 270 0.162679 0.452608 BG
box 517 82 557 127 0.139506 0.165538 BG
box 111 133 116 161 0.124019 0.805478 BG
box 150 131 173 139 0.111423 0.724295 BG
box 181 418 187 426 0.106625 0.448955 BG
box 271 399 283 406 0.101677 0.580145 BG
person 320 0 416 165 0.139743 0.704308 clothes
person 336 69 361 131 0.111646 0.766077 BG
lamp 296 58 336 128 0.705667 0.262874 lamp
lamp 282 48 312 136 0.404821 0.591477 BG
lamp 284 53 305 87 0.232982 0.760618 BG
lamp 314 45 368 137 0.215599 0.707559 BG
lamp 499 60 555 163 0.119066 0.380347 BG
lamp 307 51 329 59 0.104519 0.860412 BG
bag 348 15 420 149 0.161215 0.635653 clothes
bag 5 224 31 276 0.15442 0.488324 BG
bag 515 85 558 182 0.132942 0.188786 sofa
bag 490 133 534 159 0.107452 0.792614 BG
garbage_bin 274 55 281 61 0.166983 0.561156 BG
garbage_bin 1 277 6 313 0.165171 0.552246 BG
