chair 155 178 353 404 0.872491 0.126522 chair
table 140 179 661 492 0.982291 0.010981 table
table 0 181 55 353 0.141572 0.740816 BG
picture 653 30 729 68 0.557732 0.346342 BG
picture 720 43 729 50 0.142999 0.287244 BG
picture 707 36 729 45 0.136718 0.534290 BG
desk 233 143 699 496 0.103561 0.697802 table
paper 706 34 729 45 0.329479 0.457429 BG
paper 720 43 729 50 0.232686 0.287244 BG
paper 707 34 713 39 0.228636 0.654528 BG
paper 84 139 88 145 0.191595 0.147018 BG
paper 722 69 729 71 0.180862 0.228744 BG
paper 30 286 31 288 0.165919 0.459710 BG
paper 720 430 729 435 0.163387 0.297675 BG
paper 720 389 729 395 0.162147 0.194089 BG
paper 715 426 717 432 0.134873 0.457823 BG
paper 26 281 31 291 0.126391 0.536912 BG
paper 48 129 87 164 0.105864 0.487341 BG
paper 700 315 702 321 0.105734 0.609760 BG
towel 20 280 29 287 0.164423 0.509929 BG
box 84 139 89 145 0.181977 0.147018 BG
box 659 361 729 409 0.137285 0.677152 BG
box 48 127 87 163 0.127713 0.487341 BG
box 643 358 729 523 0.121131 0.203447 garbage_bin
box 30 286 32 288 0.119587 0.459710 BG
whiteboard 145 0 334 251 0.27894 0.590458 BG
garbage_bin 641 383 729 522 0.479156 0.185725 garbage_bin
garbage_bin 124 317 126 319 0.130384 0.658930 BG
garbage_bin 693 417 729 437 0.101339 0.616677 BG
garbage_bin 44 190 91 209 0.100086 0.558511 BG
