bed 278 150 552 426 0.997451 0.002130 bed
chair 430 156 452 256 0.567599 0.375916 BG
chair 444 160 452 217 0.418963 0.479579 BG
chair 430 181 441 195 0.259499 0.733368 BG
sofa 30 219 245 425 0.470499 0.439447 sofa_chair
picture 368 118 415 167 0.77407 0.210680 BG
picture 307 112 440 178 0.448888 0.549846 picture
picture 492 225 522 251 0.324744 0.538380 BG
picture 314 106 319 169 0.254915 0.744955 BG
picture 316 106 340 170 0.238767 0.761139 BG
picture 458 184 528 249 0.190331 0.353499 lamp
picture 25 350 43 404 0.157218 0.571637 BG
picture 480 239 486 239 0.103215 0.740677 BG
picture 381 118 403 146 0.101022 0.878407 BG
counter 195 252 286 296 0.206597 0.779367 BG
desk 197 259 284 338 0.568854 0.278135 night_stand
pillow 63 232 180 308 0.274359 0.406475 BG
pillow 152 303 242 363 0.10679 0.879767 BG
pillow 160 300 166 303 0.104566 0.885929 BG
pillow 398 254 443 265 0.103336 0.894128 BG
clothes 295 261 355 316 0.164982 0.730902 BG
clothes 307 274 320 294 0.135333 0.837716 BG
fridge 0 27 36 418 0.474884 0.312508 BG
paper 485 260 496 268 0.154039 0.831238 BG
paper 292 351 357 389 0.149761 0.718271 BG
paper 29 393 51 419 0.145512 0.308220 BG
paper 484 245 497 259 0.128283 0.800167 BG
paper 530 203 543 211 0.124863 0.609664 BG
paper 350 363 443 426 0.106215 0.765687 BG
paper 475 247 530 276 0.103737 0.840615 BG
box 30 366 56 415 0.464741 0.302318 BG
box 254 311 281 340 0.313358 0.671720 BG
box 535 259 544 261 0.284566 0.563927 BG
box 529 203 543 211 0.168186 0.609664 BG
box 255 271 290 345 0.15213 0.695371 BG
box 271 318 282 339 0.149913 0.838051 BG
box 531 259 544 276 0.142129 0.661927 BG
box 25 353 43 399 0.110679 0.571637 BG
box 535 162 559 180 0.106309 0.699187 BG
night_stand 180 257 284 348 0.269211 0.484210 night_stand
lamp 248 204 264 241 0.56098 0.403931 BG
lamp 497 206 533 251 0.492593 0.469318 BG
lamp 210 201 273 264 0.466726 0.519689 lamp
lamp 446 179 537 258 0.37592 0.497484 BG
lamp 236 204 247 217 0.326976 0.666445 BG
lamp 174 146 293 262 0.259403 0.732064 BG
lamp 480 183 527 208 0.255655 0.580538 BG
lamp 519 189 528 197 0.223323 0.658545 BG
lamp 497 153 555 242 0.181341 0.692520 BG
lamp 201 177 504 264 0.127745 0.782236 BG
lamp 524 234 534 243 0.114701 0.632376 BG
lamp 244 215 258 231 0.102523 0.809951 BG
bathtub 386 0 560 29 0.21994 0.617520 BG
bag 97 255 167 302 0.137723 0.627258 BG
garbage_bin 72 315 95 379 0.326926 0.654000 BG
garbage_bin 71 227 177 399 0.308716 0.486840 BG
garbage_bin 47 340 74 349 0.17897 0.789893 BG
garbage_bin 40 323 74 350 0.137214 0.834147 BG
garbage_bin 40 338 73 372 0.13142 0.832016 BG
garbage_bin 231 265 288 335 0.129444 0.579525 BG
garbage_bin 235 316 246 335 0.123585 0.637998 BG
