cabinet 13 15 240 146 0.964179 0.028365 cabinet
bed 356 53 560 405 0.3157 0.426134 sofa
chair 7 19 98 159 0.900159 0.082866 endtable
chair 208 149 286 205 0.203843 0.744561 BG
chair 291 92 355 173 0.186338 0.767025 BG
chair 61 43 82 69 0.12151 0.865973 BG
chair 4 5 81 32 0.101473 0.734453 BG
sofa 378 0 560 398 0.985785 0.010532 sofa
sofa 151 43 482 360 0.451858 0.545415 BG
sofa 527 89 558 103 0.269018 0.484274 BG
sofa 553 163 560 178 0.11037 0.294335 BG
table 0 61 73 175 0.566048 0.356061 endtable
table 108 88 350 240 0.508332 0.470653 BG
table 199 140 313 209 0.182912 0.685185 BG
table 79 135 366 401 0.148496 0.828654 coffee_table&&floor
door 345 37 347 63 0.188377 0.553665 BG
picture 9 1 63 3 0.207 0.617187 BG
picture 1 100 10 138 0.167306 0.774401 BG
picture 6 1 66 10 0.155381 0.441486 BG
picture 9 123 15 129 0.114016 0.853473 BG
dresser 69 31 231 122 0.58262 0.307890 BG
pillow 404 1 553 107 0.684873 0.269473 pillow
pillow 494 98 555 166 0.384488 0.532681 BG
pillow 500 159 518 163 0.260025 0.663499 BG
pillow 553 166 560 178 0.217537 0.294335 BG
pillow 527 158 558 177 0.211066 0.684258 BG
pillow 474 55 558 98 0.19364 0.752962 BG
pillow 483 80 526 98 0.155359 0.775945 BG
pillow 405 18 470 90 0.144827 0.844810 BG
pillow 448 105 459 115 0.12849 0.858758 BG
pillow 512 175 527 182 0.120274 0.701055 BG
pillow 522 310 560 354 0.112415 0.806887 BG
pillow 413 37 546 227 0.110842 0.875663 pillow
pillow 449 95 506 119 0.104682 0.886748 BG
pillow 422 76 527 106 0.100126 0.891314 BG
clothes 551 0 560 51 0.239128 0.333541 BG
clothes 543 251 560 266 0.229246 0.662621 BG
clothes 527 0 556 50 0.188461 0.418126 BG
tv 0 37 38 58 0.134368 0.780949 BG
tv 0 6 70 70 0.108207 0.756695 BG
paper 146 313 243 370 0.936563 0.058568 BG
paper 155 331 171 338 0.872612 0.127057 BG
paper 145 318 183 336 0.845821 0.151709 BG
paper 194 328 245 361 0.809159 0.171379 BG
paper 168 327 178 334 0.798736 0.201105 BG
paper 156 311 218 339 0.797432 0.200762 BG
paper 173 324 183 330 0.756356 0.240778 BG
paper 150 325 159 331 0.274221 0.704040 BG
paper 144 333 160 386 0.21542 0.705976 BG
paper 183 309 216 323 0.186631 0.781570 BG
paper 379 336 383 337 0.168222 0.163159 BG
paper 254 408 278 414 0.162929 0.571836 BG
paper 247 400 256 406 0.109004 0.743718 BG
paper 239 400 260 412 0.108692 0.748540 BG
paper 1 169 18 191 0.10751 0.417316 BG
towel 551 1 560 53 0.148276 0.333541 BG
towel 526 0 555 52 0.125738 0.418126 BG
box 222 192 228 195 0.166005 0.762646 BG
box 379 335 383 337 0.129552 0.163159 BG
box 254 407 278 414 0.126107 0.571836 BG
box 303 395 337 425 0.115887 0.435458 BG
box 209 188 227 196 0.112839 0.851489 BG
person 547 260 560 291 0.110417 0.717716 BG
bag 551 1 560 52 0.170556 0.333541 BG
bag 526 1 555 52 0.15213 0.418126 BG
garbage_bin 84 233 129 254 0.551477 0.445419 BG
garbage_bin 347 166 348 170 0.456756 0.524891 BG
garbage_bin 332 167 337 172 0.454367 0.532692 BG
garbage_bin 238 144 352 416 0.432257 0.493897 BG
garbage_bin 65 228 137 275 0.427505 0.564273 bowl
garbage_bin 313 168 348 185 0.398593 0.597732 BG
garbage_bin 340 175 347 184 0.32208 0.664173 BG
garbage_bin 65 229 78 257 0.215641 0.780621 BG
garbage_bin 332 243 416 421 0.184412 0.711842 BG
garbage_bin 164 172 175 182 0.170263 0.795491 BG
garbage_bin 308 164 375 207 0.163909 0.774065 BG
garbage_bin 304 171 314 179 0.14104 0.848256 BG
garbage_bin 10 156 109 292 0.123827 0.844178 BG
garbage_bin 74 241 84 259 0.111378 0.886202 BG
garbage_bin 379 335 383 338 0.110606 0.163159 BG
