cabinet 386 366 560 426 0.120326 0.348747 floor
chair 0 205 289 426 0.45288 0.510324 hamper
chair 51 415 58 419 0.131327 0.636091 BG
chair 213 197 361 426 0.106569 0.750675 toilet
chair 221 198 232 226 0.102806 0.888133 BG
door 0 2 122 99 0.232913 0.276402 BG
picture 127 0 228 115 0.967771 0.028231 picture
picture 198 2 219 83 0.475518 0.509258 BG
picture 147 0 208 55 0.351448 0.637630 BG
picture 118 1 153 123 0.342892 0.549963 BG
picture 322 1 337 50 0.214266 0.636187 BG
picture 10 5 126 97 0.181117 0.276402 BG
picture 145 0 160 66 0.138122 0.829784 BG
picture 334 0 560 61 0.115468 0.299090 window&&blinds
picture 338 46 351 63 0.113814 0.627342 BG
picture 186 69 207 71 0.100954 0.892827 BG
blinds 324 2 549 88 0.490252 0.285696 window&&blinds
blinds 332 3 554 23 0.218459 0.497786 BG
blinds 332 1 556 8 0.208466 0.516879 BG
blinds 472 1 523 6 0.134551 0.728037 BG
blinds 421 3 468 9 0.129514 0.606537 BG
blinds 479 3 487 6 0.127302 0.694222 BG
blinds 453 3 467 8 0.120459 0.643435 BG
blinds 487 2 500 6 0.112882 0.758408 BG
clothes 157 383 200 422 0.166694 0.532697 BG
clothes 182 413 191 425 0.152318 0.574107 BG
clothes 185 397 201 424 0.151917 0.548868 BG
paper 338 39 357 49 0.41846 0.481736 BG
paper 343 35 357 42 0.414918 0.493709 BG
paper 344 50 352 62 0.264314 0.562969 BG
paper 346 20 496 41 0.172581 0.597161 BG
paper 352 47 365 61 0.148716 0.675700 BG
paper 541 331 546 339 0.133422 0.244818 BG
paper 192 284 202 300 0.130526 0.617959 BG
paper 338 47 382 70 0.127559 0.623094 BG
paper 413 19 446 22 0.124337 0.567707 BG
paper 488 40 551 46 0.123215 0.739240 BG
paper 531 27 560 32 0.119205 0.738340 BG
paper 532 390 560 426 0.114971 0.274372 BG
paper 442 31 468 38 0.111473 0.732473 BG
paper 356 9 373 12 0.102446 0.812702 BG
paper 511 399 535 426 0.102309 0.302502 BG
paper 416 423 421 426 0.102014 0.306945 BG
paper 343 26 350 28 0.1016 0.839406 BG
paper 469 29 487 33 0.101451 0.755532 BG
towel 180 288 186 299 0.166652 0.531055 BG
towel 191 269 259 426 0.101988 0.426029 BG
box 189 261 241 323 0.759299 0.186035 BG
box 184 281 193 314 0.630755 0.271714 BG
box 176 291 180 302 0.507942 0.412573 BG
box 60 376 192 426 0.288825 0.446016 BG
box 191 283 213 301 0.276402 0.575170 BG
box 159 294 193 319 0.27601 0.662113 BG
box 184 290 186 298 0.242647 0.423483 BG
box 176 268 188 304 0.232095 0.576866 BG
box 541 331 546 339 0.214287 0.244818 BG
box 190 268 261 422 0.195463 0.426029 BG
box 190 207 196 213 0.169714 0.773682 BG
box 27 302 251 425 0.151971 0.666520 hamper
box 79 419 85 426 0.14445 0.265383 BG
box 384 421 392 426 0.127719 0.504558 BG
box 415 422 420 426 0.113521 0.306945 BG
box 380 415 389 426 0.102461 0.573421 BG
toilet 200 215 412 424 0.893569 0.057953 toilet
sink 67 288 413 424 0.181213 0.402570 BG
lamp 365 213 398 244 0.225919 0.451097 toiletpaper
lamp 379 241 405 250 0.116907 0.637152 BG
bag 186 400 200 426 0.125245 0.548868 BG
bag 182 414 191 426 0.101993 0.574107 BG
garbage_bin 128 393 178 425 0.15791 0.675690 BG
garbage_bin 74 380 206 423 0.132146 0.415315 BG
garbage_bin 403 323 416 351 0.112673 0.856790 BG
garbage_bin 387 317 430 357 0.109279 0.843119 BG
garbage_bin 541 331 547 339 0.108862 0.244818 BG
garbage_bin 168 297 396 426 0.106108 0.249587 BG
