chair 265 38 520 479 0.956832 0.033696 chair
table 18 57 330 530 0.315086 0.227106 BG
table 371 52 672 514 0.209758 0.682553 desk
door 122 0 254 120 0.117026 0.609934 BG
bookshelf 260 9 534 204 0.102584 0.835820 BG
picture 277 1 364 13 0.344814 0.468537 BG
picture 1 74 69 156 0.302414 0.150681 BG
picture 2 3 53 69 0.215802 0.384432 BG
picture 564 3 604 49 0.166178 0.654227 BG
picture 450 2 570 164 0.129784 0.618480 BG
picture 512 191 528 202 0.112445 0.820602 BG
counter 4 87 325 439 0.513214 0.371411 BG
desk 212 177 652 462 0.449003 0.429123 BG
desk 11 76 340 527 0.160721 0.227106 BG
mirror 1 0 69 165 0.225586 0.227775 BG
tv 392 8 567 229 0.148943 0.619537 BG
tv 391 0 542 2 0.138858 0.779592 BG
tv 361 1 452 50 0.132902 0.671234 BG
paper 601 499 607 506 0.175509 0.646552 BG
paper 635 493 680 530 0.165337 0.405742 floor
paper 576 500 607 519 0.136886 0.543164 BG
paper 1 74 80 158 0.133519 0.188322 BG
paper 200 161 207 168 0.130641 0.643310 BG
paper 619 493 622 494 0.127831 0.659645 BG
paper 665 323 671 332 0.123652 0.224445 BG
paper 624 323 641 335 0.117952 0.240478 BG
paper 625 401 636 413 0.104693 0.400896 BG
paper 651 347 654 350 0.101171 0.535645 BG
box 228 309 274 345 0.198833 0.557130 BG
box 560 494 609 522 0.192447 0.550612 BG
box 262 141 266 158 0.165866 0.531996 BG
box 605 1 662 35 0.14902 0.401733 BG
box 569 467 634 502 0.14689 0.750832 BG
box 1 71 83 155 0.136313 0.188322 BG
box 129 351 177 370 0.136243 0.724599 BG
box 156 360 178 373 0.123345 0.780020 BG
garbage_bin 607 225 624 232 0.153815 0.259278 BG
garbage_bin 664 323 672 332 0.126019 0.224445 BG
garbage_bin 559 36 640 112 0.114099 0.512698 BG
garbage_bin 623 314 667 329 0.106301 0.477178 BG
garbage_bin 638 235 670 255 0.102305 0.480747 BG
garbage_bin 623 323 641 336 0.100571 0.240478 BG
