bed 186 109 555 423 0.996438 0.002465 bed
chair 2 132 54 220 0.816944 0.167418 BG
chair 3 140 53 432 0.480398 0.117008 drawer
chair 30 120 117 205 0.303902 0.665826 BG
chair 42 124 59 210 0.180506 0.809506 BG
chair 2 144 15 149 0.154974 0.807795 BG
chair 1 143 18 158 0.154162 0.840511 BG
chair 1 133 29 150 0.145273 0.854280 BG
chair 194 194 208 197 0.14501 0.845811 BG
chair 184 180 221 319 0.126082 0.787479 BG
chair 181 187 209 243 0.110761 0.874364 BG
chair 182 182 215 197 0.10408 0.850670 BG
table 0 170 49 438 0.520376 0.088932 drawer
picture 0 0 117 92 0.996079 0.003917 picture
picture 3 3 39 80 0.950529 0.048703 BG
picture 76 18 109 94 0.926454 0.072701 BG
picture 1 8 9 81 0.896654 0.100255 BG
picture 104 23 108 84 0.755322 0.210333 BG
picture 11 34 14 48 0.150385 0.833490 BG
picture 13 4 106 19 0.135348 0.788712 BG
picture 297 136 309 143 0.128626 0.660249 BG
picture 12 72 102 86 0.120152 0.878630 BG
picture 25 25 27 31 0.118808 0.878951 BG
picture 290 139 300 165 0.115334 0.573489 BG
blinds 192 12 266 139 0.718174 0.271944 BG
blinds 215 7 230 130 0.485475 0.488797 BG
blinds 225 78 230 90 0.249109 0.550025 BG
blinds 173 1 220 163 0.20746 0.778175 BG
desk 0 172 49 422 0.103457 0.088932 drawer
pillow 465 156 553 225 0.752673 0.245277 pillow
pillow 239 133 307 175 0.717035 0.276813 BG
pillow 254 137 269 166 0.433797 0.563536 BG
pillow 269 137 291 170 0.329089 0.668196 BG
pillow 231 107 366 189 0.310768 0.668149 BG
pillow 281 139 306 170 0.283423 0.621297 BG
pillow 240 157 279 180 0.252042 0.747939 BG
pillow 265 138 276 160 0.223515 0.771408 BG
pillow 451 154 478 196 0.197803 0.799876 BG
pillow 281 157 289 170 0.133564 0.861691 BG
pillow 336 168 435 190 0.110085 0.658692 BG
tv 454 84 574 165 0.37866 0.566290 BG
paper 408 176 412 176 0.361604 0.326115 BG
paper 416 173 428 175 0.266919 0.190541 BG
paper 111 336 132 383 0.222376 0.140283 BG
paper 371 166 420 178 0.21092 0.313586 BG
paper 392 161 397 167 0.206796 0.601529 BG
paper 95 384 128 415 0.202589 0.256388 BG
paper 95 352 177 440 0.19744 0.227254 BG
paper 159 335 255 440 0.193961 0.281084 BG
paper 372 161 398 170 0.178207 0.565959 BG
paper 387 166 404 174 0.174347 0.642906 BG
paper 54 394 88 440 0.170777 0.354545 BG
paper 171 381 190 396 0.168844 0.201782 BG
paper 256 400 273 440 0.130699 0.265545 BG
paper 334 176 423 191 0.125848 0.705932 BG
paper 432 432 452 440 0.112877 0.472541 BG
paper 96 319 144 335 0.108053 0.524580 BG
paper 479 408 509 440 0.106666 0.345479 BG
paper 271 415 288 440 0.105189 0.257526 BG
paper 11 4 44 11 0.104365 0.789980 BG
box 415 172 428 175 0.344456 0.190541 BG
box 357 158 417 178 0.254326 0.376032 BG
box 407 175 412 177 0.183182 0.326115 BG
box 478 405 507 439 0.146066 0.345479 BG
box 355 162 358 165 0.138578 0.667934 BG
box 365 158 375 168 0.134456 0.541531 BG
box 114 352 126 383 0.120166 0.119833 BG
box 53 389 87 440 0.118476 0.354545 BG
box 270 414 287 440 0.10207 0.257526 BG
box 208 363 256 430 0.101332 0.249794 BG
box 371 158 374 160 0.100409 0.635417 BG
lamp 308 125 313 136 0.299693 0.649257 BG
lamp 299 125 313 143 0.258302 0.658569 BG
lamp 304 87 368 183 0.152033 0.775508 BG
lamp 321 7 433 160 0.151795 0.661835 BG
garbage_bin 476 396 511 439 0.216659 0.420663 BG
garbage_bin 94 383 129 416 0.174397 0.256388 BG
garbage_bin 113 352 126 384 0.146177 0.119833 BG
garbage_bin 156 328 256 440 0.142389 0.281084 BG
garbage_bin 172 380 191 396 0.137618 0.201782 BG
garbage_bin 92 349 178 440 0.13603 0.227254 BG
garbage_bin 206 366 255 431 0.135091 0.249794 BG
garbage_bin 493 396 511 408 0.107398 0.868465 BG
garbage_bin 51 393 88 440 0.100522 0.354545 BG
