chair 302 172 402 266 0.135676 0.850027 chair
sofa 436 162 628 208 0.579212 0.309323 BG
sofa 406 111 707 259 0.100582 0.809242 BG
table 245 195 497 483 0.984277 0.006368 table
table 40 244 252 448 0.278498 0.623356 BG
picture 542 103 639 173 0.242861 0.701875 BG
picture 537 115 580 162 0.177509 0.664247 BG
picture 557 4 568 8 0.167789 0.639035 BG
picture 544 4 578 21 0.165336 0.639515 BG
picture 575 132 580 142 0.135177 0.770285 BG
picture 583 128 591 137 0.133355 0.767102 BG
picture 591 127 596 137 0.111591 0.780328 BG
counter 0 306 211 436 0.111803 0.771356 BG
desk 258 196 499 452 0.192862 0.059488 table
clothes 412 2 455 35 0.180452 0.639966 BG
paper 327 234 365 244 0.544044 0.354712 BG
paper 378 251 380 254 0.395868 0.479897 BG
paper 392 260 399 261 0.365005 0.483169 BG
paper 328 234 404 253 0.356148 0.514114 BG
paper 384 260 398 263 0.276571 0.666866 BG
paper 383 241 393 253 0.237522 0.651370 BG
paper 295 223 426 268 0.233559 0.741766 BG
paper 354 243 374 246 0.195663 0.715643 BG
paper 544 486 573 529 0.191063 0.273807 BG
paper 573 206 601 220 0.185671 0.471362 BG
paper 371 251 406 268 0.181886 0.769160 BG
paper 323 225 390 240 0.181403 0.698779 BG
paper 495 481 523 529 0.169883 0.369591 BG
paper 646 451 705 529 0.16832 0.373690 BG
paper 723 223 729 227 0.158653 0.189984 BG
paper 368 251 379 261 0.157997 0.805618 BG
paper 599 206 608 209 0.154187 0.464613 BG
paper 688 330 729 360 0.152928 0.292521 BG
paper 515 246 634 320 0.150052 0.232693 BG
paper 298 5 323 28 0.144721 0.414615 BG
paper 619 286 628 294 0.143297 0.447333 BG
paper 691 285 729 317 0.138297 0.203230 BG
paper 504 197 524 204 0.137125 0.581806 BG
paper 392 241 397 245 0.134166 0.712439 BG
paper 564 205 574 208 0.133771 0.494041 BG
paper 306 239 310 243 0.127518 0.815616 BG
paper 391 244 405 254 0.125937 0.774148 BG
paper 709 218 729 223 0.12536 0.209962 BG
paper 523 512 525 529 0.123612 0.329978 BG
paper 683 212 694 219 0.117986 0.565610 BG
paper 669 375 729 527 0.115074 0.591932 BG
paper 509 122 516 129 0.114365 0.803199 BG
paper 385 236 392 243 0.113796 0.759619 BG
paper 366 459 400 529 0.11224 0.664165 BG
paper 400 471 492 529 0.111718 0.601977 BG
paper 713 442 719 445 0.110365 0.516616 BG
paper 426 522 429 524 0.110192 0.656992 BG
paper 554 303 555 309 0.10714 0.598003 BG
paper 551 289 568 304 0.106892 0.555326 BG
paper 558 277 575 289 0.105739 0.559003 BG
paper 511 274 529 283 0.105017 0.416345 BG
paper 667 220 690 227 0.104895 0.545616 BG
paper 423 500 429 529 0.102362 0.621194 BG
paper 681 187 729 220 0.102313 0.482938 BG
paper 402 250 418 257 0.102135 0.743833 BG
box 644 444 706 529 0.196621 0.373690 BG
box 543 482 574 528 0.171324 0.273807 BG
box 73 511 126 529 0.156144 0.395498 BG
box 667 219 690 227 0.147891 0.545616 BG
box 297 7 323 28 0.145692 0.414615 BG
box 599 205 608 209 0.141894 0.464613 BG
box 564 204 574 208 0.13824 0.494041 BG
box 683 211 695 219 0.135936 0.565610 BG
box 574 205 601 220 0.120721 0.471362 BG
box 454 126 459 136 0.11241 0.553867 BG
box 551 154 555 156 0.112164 0.742997 BG
box 685 67 728 191 0.112061 0.357566 BG
box 492 192 503 197 0.110542 0.588632 BG
box 504 196 524 204 0.109368 0.581806 BG
box 532 139 540 160 0.101539 0.778645 BG
whiteboard 4 7 316 356 0.117937 0.842647 BG
whiteboard 4 202 236 420 0.10983 0.522002 BG
lamp 260 403 297 423 0.284558 0.594465 BG
lamp 679 26 715 32 0.255202 0.656969 BG
lamp 677 26 728 42 0.254943 0.623225 BG
lamp 608 103 626 108 0.172507 0.807020 BG
lamp 630 103 695 151 0.151644 0.769257 BG
garbage_bin 401 90 442 195 0.521547 0.410763 BG
garbage_bin 439 113 458 171 0.187526 0.674725 BG
garbage_bin 512 246 622 292 0.166353 0.266038 BG
garbage_bin 510 274 529 283 0.143639 0.416345 BG
garbage_bin 239 424 242 434 0.139432 0.737962 BG
garbage_bin 494 478 523 529 0.127024 0.369591 BG
garbage_bin 689 286 729 318 0.126377 0.203230 BG
garbage_bin 541 484 573 529 0.109933 0.273807 BG
garbage_bin 708 217 729 223 0.105358 0.209962 BG
garbage_bin 683 75 728 195 0.102442 0.357566 BG
