cabinet 306 272 424 427 0.574153 0.315128 cabinet
chair 338 303 605 526 0.982155 0.013927 chair
chair 155 225 302 417 0.929591 0.044174 chair
chair 94 201 248 313 0.387463 0.567555 BG
chair 228 239 297 312 0.171526 0.805057 BG
chair 250 141 348 219 0.16638 0.786228 computer
chair 368 347 386 400 0.151128 0.831887 BG
chair 424 346 435 366 0.145073 0.772322 BG
chair 417 347 423 355 0.113427 0.678773 BG
chair 418 321 425 353 0.111439 0.504477 BG
table 7 216 176 527 0.940759 0.021806 table
table 41 209 470 403 0.863356 0.028588 table
table 383 287 427 396 0.454674 0.397905 BG
table 211 289 573 485 0.128734 0.434979 BG
picture 263 63 293 114 0.399772 0.288946 BG
desk 168 218 444 421 0.780368 0.105213 table
desk 3 261 265 418 0.251681 0.374061 BG
desk 264 283 582 493 0.178128 0.571549 BG
desk 237 304 381 400 0.153233 0.783381 BG
desk 157 295 315 382 0.113043 0.703386 BG
desk 365 253 429 407 0.105406 0.620196 BG
pillow 107 153 149 199 0.101929 0.604640 BG
paper 226 212 279 222 0.216148 0.767150 BG
paper 270 70 286 91 0.19157 0.578401 BG
paper 235 218 247 226 0.140961 0.851936 BG
paper 105 210 123 213 0.136219 0.859916 BG
paper 113 204 120 210 0.134975 0.857195 BG
paper 1 0 18 18 0.132501 0.613659 BG
paper 264 63 292 113 0.115177 0.288946 BG
paper 22 50 29 82 0.111051 0.362156 BG
paper 239 222 305 240 0.109206 0.877674 BG
paper 25 71 28 79 0.106172 0.506550 BG
paper 225 222 234 228 0.103565 0.873504 BG
towel 23 51 28 83 0.140574 0.362156 BG
box 269 70 287 104 0.1354 0.406070 BG
box 24 71 28 79 0.120963 0.506550 BG
box 1 141 8 172 0.100254 0.700239 BG
person 503 526 507 529 0.227584 0.154179 BG
bag 502 527 506 529 0.1969 0.154179 BG
garbage_bin 305 352 313 383 0.241496 0.549174 BG
garbage_bin 293 379 301 389 0.141152 0.835549 BG
garbage_bin 295 383 298 387 0.129492 0.852662 BG
