cabinet 464 112 590 440 0.683273 0.132061 drawer
chair 575 259 590 292 0.112348 0.389748 BG
picture 223 241 239 252 0.223209 0.614545 BG
picture 357 242 361 245 0.111123 0.583546 BG
picture 354 230 369 244 0.11031 0.642096 BG
counter 509 98 590 224 0.183507 0.663733 BG
fridge 1 120 214 440 0.158831 0.462007 BG
paper 165 279 176 285 0.38481 0.431347 BG
paper 203 266 207 281 0.348433 0.635391 BG
paper 188 264 202 277 0.3441 0.638086 BG
paper 177 256 209 284 0.269417 0.692777 BG
paper 177 273 200 284 0.265197 0.709945 BG
paper 203 261 208 268 0.252663 0.692994 BG
paper 520 418 524 420 0.228763 0.321729 BG
paper 276 178 375 273 0.216606 0.499965 manual
paper 203 265 218 283 0.209081 0.756929 BG
paper 512 421 514 427 0.209041 0.315375 BG
paper 516 411 526 423 0.201382 0.486340 BG
paper 245 391 270 418 0.200861 0.631774 BG
paper 221 384 288 440 0.191219 0.334278 BG
paper 272 368 354 440 0.19022 0.238948 BG
paper 207 258 212 266 0.181663 0.755868 BG
paper 157 255 211 359 0.173469 0.766949 BG
paper 123 298 188 360 0.167057 0.647505 BG
paper 505 401 528 440 0.159338 0.483732 BG
paper 203 256 221 273 0.155957 0.811152 BG
paper 246 397 249 401 0.141246 0.697374 BG
paper 563 186 569 192 0.132134 0.681147 BG
paper 201 410 224 440 0.123012 0.606536 BG
paper 214 410 224 428 0.121126 0.797994 BG
paper 491 377 543 440 0.116923 0.652184 BG
paper 139 321 159 335 0.115929 0.841483 BG
paper 216 408 218 411 0.113738 0.814669 BG
paper 358 243 361 245 0.113713 0.583546 BG
paper 185 271 364 390 0.111067 0.421619 BG
paper 508 429 543 440 0.107366 0.142090 BG
paper 187 280 200 295 0.102812 0.884456 BG
paper 427 4 442 21 0.101588 0.293348 BG
box 101 181 315 435 0.889834 0.096676 box
box 91 282 243 365 0.570979 0.337606 BG
box 204 127 408 405 0.555745 0.292923 box
box 278 168 388 273 0.337995 0.458886 manual
box 97 326 266 414 0.272745 0.713931 BG
box 95 328 162 361 0.25863 0.708047 BG
box 225 220 316 387 0.231659 0.562260 BG
box 254 229 410 329 0.21953 0.580142 BG
box 183 179 190 185 0.169187 0.827997 BG
box 293 250 307 263 0.162704 0.712263 BG
box 426 4 442 21 0.133577 0.293348 BG
box 105 375 176 440 0.125191 0.793332 BG
box 527 431 543 440 0.118945 0.115340 BG
box 587 273 590 277 0.115905 0.458741 BG
box 220 380 292 439 0.11199 0.334278 BG
box 293 139 298 149 0.109529 0.677535 BG
box 215 237 219 252 0.107043 0.853557 BG
box 179 177 190 201 0.103084 0.883723 BG
box 512 420 515 428 0.100727 0.315375 BG
sink 223 239 410 359 0.172317 0.382856 BG
sink 232 133 540 428 0.108037 0.704894 BG
garbage_bin 268 365 355 440 0.142445 0.238948 BG
garbage_bin 38 252 259 427 0.106419 0.512539 box
