cabinet 24 7 286 464 0.987506 0.006012 cabinet
chair 67 279 265 503 0.659686 0.276580 chair
chair 85 281 183 393 0.476279 0.492534 BG
chair 640 317 697 429 0.249442 0.678736 BG
chair 1 343 4 370 0.199281 0.244997 BG
chair 576 246 698 404 0.174997 0.739577 BG
chair 442 166 531 266 0.12311 0.578769 BG
sofa 61 286 302 495 0.164503 0.484374 chair
table 305 288 668 513 0.290914 0.470009 BG
door 79 1 222 149 0.214686 0.463234 BG
bookshelf 212 2 352 258 0.493108 0.465474 BG
picture 6 5 76 115 0.591701 0.284075 BG
picture 214 230 287 276 0.491567 0.498286 BG
picture 219 221 333 241 0.32442 0.638832 BG
picture 231 232 250 261 0.305109 0.683810 BG
picture 469 8 558 189 0.241987 0.355718 curtain
picture 216 198 334 300 0.235577 0.722804 BG
picture 216 247 241 270 0.210418 0.779130 BG
picture 556 1 615 22 0.198734 0.416750 BG
picture 224 188 324 233 0.18148 0.727143 BG
picture 214 231 231 259 0.17806 0.788948 BG
picture 716 56 729 144 0.151292 0.282980 BG
picture 585 319 602 359 0.146049 0.560853 BG
picture 207 2 291 37 0.138866 0.612937 picture
picture 624 330 629 336 0.136983 0.580184 BG
picture 715 265 729 305 0.125563 0.291953 BG
picture 518 138 525 173 0.112655 0.732810 BG
picture 32 52 70 96 0.109627 0.628359 BG
picture 715 304 720 306 0.103472 0.239084 BG
picture 624 319 647 336 0.102882 0.657534 BG
pillow 720 371 729 404 0.114318 0.716674 BG
mirror 429 1 724 212 0.280201 0.601643 BG
mirror 714 49 729 150 0.103688 0.282980 BG
clothes 238 0 245 4 0.203788 0.713057 BG
clothes 552 4 718 184 0.114945 0.468212 curtain
clothes 337 326 347 361 0.113193 0.822102 BG
tv 213 113 332 234 0.319375 0.466098 tv
paper 481 277 491 321 0.207233 0.410267 BG
paper 32 51 69 93 0.163774 0.628359 BG
paper 0 35 71 116 0.133897 0.286637 box
paper 214 362 225 369 0.132035 0.738550 BG
paper 706 490 709 493 0.121015 0.523718 BG
paper 7 429 15 432 0.118011 0.189013 BG
paper 555 0 582 17 0.109829 0.479417 BG
paper 715 264 729 304 0.107969 0.291953 BG
paper 514 283 518 289 0.101881 0.782875 BG
box 0 36 75 116 0.342765 0.286637 box
box 486 266 602 364 0.335423 0.483620 BG
box 480 276 491 320 0.289003 0.410267 BG
box 705 490 710 493 0.213852 0.523718 BG
box 585 319 603 356 0.157644 0.560853 BG
box 337 88 341 93 0.142518 0.805522 BG
box 643 335 646 335 0.141522 0.705803 BG
box 203 6 291 38 0.13583 0.612937 BG
box 632 335 643 342 0.106875 0.635661 BG
person 233 20 256 34 0.129464 0.731201 BG
person 251 8 254 15 0.120648 0.848165 BG
person 235 1 249 25 0.108624 0.764634 BG
lamp 6 265 50 281 0.306388 0.586899 BG
lamp 16 264 36 268 0.259273 0.713839 BG
lamp 715 303 720 306 0.147912 0.239084 BG
lamp 422 257 456 347 0.104463 0.768507 BG
garbage_bin 318 238 327 243 0.113775 0.799285 BG
garbage_bin 306 241 335 269 0.111889 0.822241 BG
