bed 50 65 640 510 0.998365 0.001279 bed
chair 584 306 729 529 0.913685 0.017617 ottoman
chair 636 284 729 402 0.832606 0.124965 BG
chair 689 258 722 281 0.589345 0.183911 BG
chair 681 275 729 290 0.402394 0.350423 BG
chair 712 260 720 275 0.257032 0.542557 BG
chair 681 215 728 298 0.201201 0.656313 BG
chair 708 247 729 276 0.190731 0.605474 BG
chair 717 267 721 273 0.188827 0.344387 BG
chair 706 288 713 291 0.180859 0.680829 BG
chair 446 517 451 524 0.114033 0.393970 BG
chair 661 248 717 286 0.10787 0.553908 BG
sofa 600 319 729 395 0.113528 0.336950 BG
table 574 277 721 351 0.215347 0.206853 BG
table 563 234 723 502 0.147258 0.140713 sofa_chair
table 659 248 717 280 0.141542 0.361757 BG
door 1 32 14 189 0.266331 0.232217 BG
bookshelf 0 19 267 268 0.126771 0.718015 BG
picture 611 109 614 122 0.152611 0.438654 BG
picture 630 2 727 23 0.133078 0.379378 BG
picture 717 125 729 149 0.130928 0.094796 BG
picture 721 92 729 105 0.118792 0.098409 BG
picture 613 104 615 108 0.111149 0.443368 BG
blinds 0 6 26 168 0.201189 0.571977 BG
blinds 2 16 51 280 0.128268 0.680945 BG
blinds 11 6 251 236 0.115287 0.754314 BG
blinds 0 20 1 31 0.10009 0.662583 BG
desk 570 223 725 356 0.634274 0.113198 night_stand
desk 662 248 716 281 0.30361 0.361757 BG
desk 664 252 725 347 0.143386 0.201852 BG
pillow 268 156 511 244 0.392747 0.600080 pillow
pillow 325 89 556 306 0.122347 0.870491 BG
pillow 629 347 725 386 0.112621 0.745828 BG
mirror 610 95 615 128 0.148767 0.436956 BG
mirror 612 103 615 108 0.119011 0.443368 BG
mirror 573 52 617 233 0.103283 0.773608 BG
paper 99 193 102 202 0.209834 0.413642 BG
paper 384 488 393 492 0.1999 0.638076 BG
paper 100 205 102 212 0.197958 0.341368 BG
paper 66 190 81 195 0.170132 0.541211 BG
paper 368 466 474 528 0.163881 0.371650 BG
paper 1 244 11 246 0.16372 0.337622 BG
paper 27 159 30 170 0.161091 0.367285 BG
paper 718 126 729 149 0.153082 0.094796 BG
paper 1 244 17 251 0.152689 0.380649 BG
paper 721 93 729 105 0.140709 0.098409 BG
paper 439 515 448 525 0.137612 0.371381 BG
paper 356 489 367 497 0.136268 0.719367 BG
paper 464 512 473 522 0.135851 0.444906 BG
paper 61 204 68 211 0.118198 0.476158 BG
paper 396 509 454 529 0.108777 0.230416 BG
paper 489 410 493 414 0.10699 0.551317 BG
paper 718 250 722 255 0.106752 0.626456 BG
box 99 192 103 202 0.200009 0.413642 BG
box 100 204 103 212 0.199636 0.341368 BG
box 696 224 721 245 0.138691 0.690711 BG
box 65 190 82 195 0.130067 0.541211 BG
box 2 148 25 252 0.129813 0.161198 BG
box 1 244 12 245 0.122394 0.337622 BG
box 2 244 18 250 0.121147 0.380649 BG
box 394 508 453 529 0.119623 0.230416 BG
box 438 514 448 525 0.107631 0.371381 BG
box 463 512 473 522 0.107375 0.444906 BG
box 60 204 68 212 0.106133 0.476158 BG
box 718 249 723 255 0.101955 0.626456 BG
whiteboard 2 140 22 267 0.110614 0.161198 BG
night_stand 560 231 699 349 0.772121 0.176709 BG
lamp 610 136 687 241 0.196177 0.744905 BG
lamp 271 110 286 133 0.159544 0.788537 BG
lamp 253 108 324 210 0.123386 0.840953 BG
lamp 274 79 284 93 0.107861 0.849134 BG
lamp 635 1 725 24 0.10637 0.379378 BG
lamp 273 146 303 207 0.102728 0.882473 lamp
garbage_bin 717 126 729 149 0.10731 0.094796 BG
garbage_bin 720 93 729 105 0.106601 0.098409 BG
