chair 377 266 650 510 0.70234 0.281236 sofa_chair
bookshelf 408 0 729 462 0.883147 0.116388 bookshelf
bookshelf 471 1 605 69 0.288982 0.704302 BG
bookshelf 440 163 666 349 0.192777 0.802245 BG
bookshelf 459 248 571 302 0.174959 0.801348 BG
bookshelf 578 10 639 42 0.166196 0.790490 BG
bookshelf 628 286 635 294 0.153574 0.748688 BG
bookshelf 576 166 729 505 0.152134 0.844859 BG
bookshelf 671 186 729 246 0.134536 0.852848 BG
bookshelf 569 256 644 314 0.132113 0.858105 BG
bookshelf 566 266 584 280 0.119003 0.854853 BG
bookshelf 577 259 597 282 0.117229 0.848052 BG
bookshelf 620 285 636 301 0.116036 0.837713 BG
bookshelf 80 11 576 473 0.113778 0.865890 BG
bookshelf 521 24 590 51 0.105233 0.841155 BG
bookshelf 524 0 729 76 0.104474 0.894767 books
bookshelf 647 0 727 292 0.10075 0.898814 BG
bookshelf 597 268 604 285 0.100339 0.865442 BG
picture 713 191 729 215 0.199787 0.631618 BG
paper 696 282 700 288 0.143379 0.774046 BG
paper 3 1 391 226 0.110607 0.440891 BG
box 692 382 696 386 0.158506 0.700728 BG
box 721 5 729 43 0.126601 0.580367 books
