bed 57 154 501 522 0.998652 0.000820 bed
chair 290 174 328 248 0.128782 0.835320 BG
table 0 273 261 529 0.111649 0.584992 BG
picture 371 41 557 158 0.983715 0.013849 picture
picture 33 48 134 135 0.892589 0.094272 BG
picture 370 49 407 154 0.793746 0.204868 BG
picture 469 74 543 152 0.738446 0.240623 BG
picture 242 95 280 151 0.51733 0.280174 BG
picture 236 93 303 205 0.484834 0.177756 picture
picture 663 143 729 192 0.391993 0.300128 box
picture 389 50 443 129 0.302502 0.696027 BG
picture 502 113 542 149 0.302485 0.692369 BG
picture 671 153 720 166 0.242627 0.693399 BG
picture 721 160 729 165 0.236586 0.107377 BG
picture 458 126 533 156 0.21591 0.752509 BG
picture 31 146 92 169 0.208689 0.693344 BG
picture 714 189 729 195 0.204426 0.288158 BG
picture 685 162 706 167 0.174871 0.791811 BG
picture 55 163 88 182 0.158294 0.740554 BG
picture 133 152 179 199 0.155928 0.566669 BG
picture 703 177 729 190 0.152852 0.562198 BG
picture 474 147 530 156 0.150801 0.805773 BG
picture 501 45 526 108 0.135005 0.789118 BG
picture 238 191 290 209 0.123823 0.684889 BG
picture 240 148 276 192 0.116624 0.479726 BG
picture 416 110 424 117 0.110909 0.828127 BG
picture 457 78 491 151 0.109011 0.873966 BG
picture 515 47 544 112 0.107927 0.804121 BG
picture 433 113 451 123 0.105201 0.794814 BG
picture 432 121 448 133 0.105016 0.828165 BG
picture 529 127 538 151 0.102521 0.890881 BG
picture 1 211 17 237 0.101375 0.683512 BG
dresser 559 152 713 489 0.880058 0.064104 dresser
dresser 552 328 721 426 0.20024 0.735709 BG
dresser 7 168 184 288 0.16518 0.732746 BG
pillow 293 204 483 280 0.181071 0.668069 BG
pillow 443 260 450 263 0.115996 0.876473 BG
mirror 231 87 290 223 0.159686 0.168398 picture
tv 720 306 729 306 0.589459 0.366072 BG
tv 713 190 729 195 0.117301 0.288158 BG
tv 659 173 729 194 0.108961 0.569696 BG
tv 721 420 729 427 0.104481 0.285080 BG
paper 107 247 113 249 0.261103 0.394288 BG
paper 2 497 34 529 0.17766 0.297336 BG
paper 120 238 123 241 0.163947 0.445355 BG
paper 721 160 729 165 0.147584 0.107377 BG
paper 660 464 729 487 0.1391 0.352693 BG
paper 723 401 729 404 0.122836 0.531326 BG
paper 714 464 724 469 0.114791 0.452537 BG
paper 716 446 719 447 0.110718 0.294888 BG
paper 348 330 353 332 0.109096 0.798845 BG
paper 591 26 603 28 0.109027 0.614576 BG
paper 722 420 729 427 0.106783 0.285080 BG
paper 120 238 135 243 0.105779 0.597075 BG
paper 131 163 162 198 0.103092 0.558680 BG
box 721 160 729 165 0.142612 0.107377 BG
box 119 238 123 241 0.139235 0.445355 BG
box 1 494 35 529 0.127376 0.297336 BG
box 664 143 728 184 0.106401 0.378466 box
night_stand 558 141 721 439 0.106158 0.226116 dresser
night_stand 9 201 197 287 0.103311 0.734918 BG
lamp 239 89 305 195 0.25846 0.553706 picture
lamp 259 45 274 48 0.147159 0.845552 BG
lamp 242 146 276 162 0.124736 0.654539 BG
lamp 289 43 299 48 0.11025 0.791417 BG
garbage_bin 523 388 526 397 0.292726 0.586949 BG
garbage_bin 477 294 511 322 0.123689 0.800490 BG
garbage_bin 524 364 529 387 0.11291 0.819216 BG
garbage_bin 688 437 729 467 0.108345 0.389825 BG
garbage_bin 500 294 507 296 0.104986 0.831809 BG
garbage_bin 242 504 260 529 0.102163 0.238398 BG
