cabinet 478 203 555 271 0.119978 0.665902 floor
bed 160 214 560 416 0.358845 0.133155 sofa
chair 375 148 441 196 0.590559 0.313668 BG
chair 428 151 459 191 0.428118 0.461654 BG
chair 408 192 475 266 0.407631 0.497410 BG
chair 430 184 445 190 0.182769 0.746917 BG
chair 403 203 413 208 0.1745 0.818597 BG
chair 401 164 410 198 0.157927 0.825615 BG
chair 282 175 402 213 0.151306 0.709785 BG
chair 410 184 439 194 0.151106 0.769486 BG
chair 124 248 179 387 0.125569 0.700186 BG
chair 222 171 335 227 0.113937 0.805979 BG
chair 369 142 396 188 0.108284 0.811660 BG
chair 382 173 398 185 0.106857 0.886257 BG
sofa 162 191 560 415 0.998046 0.001480 sofa
sofa 325 269 555 361 0.386263 0.597855 BG
sofa 198 191 399 318 0.22414 0.747068 BG
table 331 149 436 202 0.333597 0.452502 BG
table 15 191 233 391 0.202184 0.438477 BG
table 391 157 474 200 0.155064 0.324940 BG
picture 0 118 60 166 0.425163 0.496390 BG
picture 1 121 75 133 0.305418 0.399818 BG
picture 55 123 73 130 0.137231 0.674701 BG
picture 39 122 74 149 0.130543 0.811507 BG
picture 433 137 433 139 0.11954 0.786820 BG
counter 0 192 319 342 0.224364 0.664051 BG
counter 0 147 249 190 0.179383 0.804140 BG
desk 7 149 259 386 0.266663 0.591905 BG
desk 218 36 328 250 0.108785 0.794512 BG
pillow 337 202 411 259 0.555304 0.430075 BG
pillow 399 238 539 292 0.380838 0.544118 BG
pillow 402 193 470 276 0.30564 0.543590 BG
pillow 482 254 546 307 0.299322 0.470659 BG
pillow 399 245 428 277 0.221688 0.774521 BG
pillow 242 196 458 269 0.207692 0.744039 BG
pillow 414 248 415 257 0.20316 0.789133 BG
pillow 498 256 514 287 0.15097 0.690434 BG
pillow 312 251 522 322 0.144996 0.829353 BG
pillow 393 267 417 275 0.129866 0.869109 BG
pillow 496 283 505 287 0.107612 0.843927 BG
clothes 481 254 549 292 0.177187 0.389928 BG
clothes 436 237 476 275 0.128552 0.807782 BG
clothes 455 247 509 291 0.118076 0.836794 BG
paper 521 350 537 357 0.237473 0.431934 BG
paper 558 361 560 365 0.218194 0.293469 BG
paper 325 250 337 257 0.208311 0.628017 BG
paper 538 354 548 360 0.196502 0.431263 BG
paper 502 344 520 351 0.17761 0.669406 BG
paper 3 121 73 133 0.120173 0.399818 BG
paper 543 358 557 363 0.117684 0.519168 BG
paper 491 337 502 344 0.116203 0.827757 BG
paper 485 335 491 341 0.116082 0.823943 BG
towel 391 311 402 316 0.104426 0.615037 BG
box 507 254 549 287 0.204986 0.550359 BG
box 210 108 224 147 0.162381 0.705089 BG
box 217 130 221 139 0.158385 0.694598 BG
box 543 270 552 275 0.156378 0.617218 BG
box 370 162 378 183 0.131392 0.577037 BG
box 320 26 340 38 0.12335 0.556452 BG
box 221 130 224 139 0.110799 0.767764 BG
box 217 107 221 128 0.104269 0.754502 BG
box 221 109 223 115 0.104175 0.693161 BG
whiteboard 9 52 216 106 0.343014 0.448647 BG
whiteboard 368 3 557 71 0.138017 0.774583 BG
person 78 252 178 375 0.141025 0.532301 BG
person 132 285 159 322 0.101424 0.784682 BG
lamp 461 151 475 198 0.152235 0.573223 BG
lamp 444 95 473 197 0.10312 0.877550 BG
bag 75 271 178 339 0.121342 0.622026 BG
