bed 25 279 567 434 0.996827 0.002029 floor
picture 407 245 451 323 0.205683 0.697848 BG
fridge 359 40 409 303 0.137291 0.801713 BG
tv 393 6 572 261 0.912553 0.029970 tv
tv 574 225 590 229 0.421363 0.539901 BG
tv 581 225 585 228 0.280403 0.664501 BG
tv 566 247 590 260 0.255073 0.548233 BG
tv 586 227 590 229 0.253517 0.431262 BG
tv 385 94 423 206 0.250755 0.638546 BG
tv 409 10 449 199 0.207897 0.512404 BG
paper 440 303 442 306 0.206499 0.649800 BG
paper 448 300 455 327 0.190039 0.650116 BG
paper 448 287 467 327 0.178894 0.717095 BG
paper 441 311 448 320 0.160002 0.545034 BG
paper 452 296 490 334 0.126177 0.817804 BG
paper 456 243 476 254 0.120391 0.626336 BG
paper 1 279 10 285 0.116115 0.802450 BG
paper 403 262 408 267 0.113166 0.834950 BG
paper 438 305 445 309 0.111715 0.780756 BG
box 339 264 340 269 0.726078 0.236098 BG
box 329 210 360 283 0.67698 0.305503 BG
box 339 199 402 287 0.571744 0.393880 BG
box 358 213 370 288 0.488048 0.497997 BG
box 328 212 335 214 0.470869 0.517953 BG
box 334 213 338 214 0.391609 0.601786 BG
box 1 277 19 286 0.307564 0.583676 BG
box 318 213 326 216 0.263376 0.714682 BG
box 342 240 346 246 0.263072 0.707170 BG
box 338 201 369 247 0.26249 0.729982 BG
box 441 310 449 320 0.243534 0.545034 BG
box 337 202 351 214 0.23146 0.740389 BG
box 332 215 336 223 0.211977 0.782419 BG
box 567 314 570 321 0.179864 0.524885 BG
box 314 215 336 223 0.175683 0.815496 BG
box 449 304 455 327 0.152386 0.601501 BG
box 305 210 326 216 0.131228 0.853139 BG
box 191 191 349 300 0.131097 0.770796 BG
box 332 273 336 278 0.128957 0.816910 BG
box 355 208 358 211 0.12887 0.869036 BG
box 546 298 589 382 0.121576 0.589843 BG
box 372 205 487 295 0.118603 0.865519 BG
box 436 315 441 319 0.117674 0.785205 BG
box 527 349 534 356 0.114894 0.824077 BG
box 535 335 543 349 0.113674 0.822070 BG
box 340 269 353 284 0.110047 0.851223 BG
box 178 5 247 70 0.10269 0.752520 BG
whiteboard 8 0 150 316 0.361859 0.344663 BG
garbage_bin 446 49 466 130 0.131027 0.544341 BG
