table 63 176 445 503 0.597971 0.230697 table
picture 717 486 725 497 0.105144 0.381212 BG
desk 54 101 611 525 0.539035 0.106175 bench
pillow 454 232 465 237 0.282113 0.635249 BG
tv 608 518 621 529 0.143824 0.310243 BG
paper 203 232 274 249 0.625359 0.270849 menu
paper 240 238 263 245 0.618443 0.338399 BG
paper 238 232 274 238 0.609336 0.352780 BG
paper 260 233 273 236 0.595281 0.359653 BG
paper 245 244 252 246 0.501388 0.474410 BG
paper 227 233 235 241 0.493499 0.482388 BG
paper 234 233 243 247 0.467982 0.511642 BG
paper 514 502 518 514 0.278093 0.360402 BG
paper 508 502 513 513 0.266821 0.361013 BG
paper 525 495 536 511 0.259519 0.458635 BG
paper 511 485 535 529 0.255963 0.171841 BG
paper 504 488 510 497 0.251044 0.286284 BG
paper 503 480 517 504 0.24736 0.496341 BG
paper 525 495 560 529 0.228536 0.178157 BG
paper 623 515 635 524 0.227885 0.402408 BG
paper 581 495 589 502 0.223285 0.596973 BG
paper 601 496 608 506 0.221054 0.601953 BG
paper 588 498 592 507 0.217854 0.612902 BG
paper 492 475 499 487 0.197592 0.433916 BG
paper 705 386 709 390 0.190823 0.279025 BG
paper 204 228 216 236 0.189044 0.708416 BG
paper 528 513 533 518 0.183394 0.275296 BG
paper 417 389 427 400 0.178491 0.476785 BG
paper 531 505 545 518 0.176703 0.254450 BG
paper 545 513 548 520 0.170509 0.252830 BG
paper 492 434 612 529 0.168232 0.667142 BG
paper 251 187 253 190 0.16757 0.565361 BG
paper 722 503 729 518 0.156972 0.271033 BG
paper 31 478 35 487 0.156828 0.292828 BG
paper 678 412 729 432 0.156252 0.323766 BG
paper 38 504 43 516 0.155336 0.386829 BG
paper 428 397 449 416 0.152038 0.590603 BG
paper 708 358 712 358 0.149513 0.219256 BG
paper 577 484 578 490 0.146819 0.769863 BG
paper 437 406 441 413 0.14592 0.592755 BG
paper 710 506 720 513 0.141834 0.483216 BG
paper 577 486 588 495 0.14182 0.774899 BG
paper 422 395 471 452 0.139494 0.625823 BG
paper 709 355 729 362 0.136288 0.126325 BG
paper 275 238 279 243 0.130312 0.770908 BG
paper 695 483 700 495 0.128757 0.458034 BG
paper 727 501 729 502 0.126611 0.231877 BG
paper 720 414 729 419 0.125953 0.122193 BG
paper 390 362 397 370 0.123603 0.769783 BG
paper 352 513 355 529 0.122661 0.210578 BG
paper 699 492 701 495 0.119804 0.527283 BG
paper 723 167 729 168 0.115783 0.112814 BG
paper 445 512 473 529 0.115221 0.244833 BG
paper 717 487 725 497 0.114287 0.381212 BG
paper 704 312 713 317 0.11382 0.244134 BG
paper 499 470 507 483 0.112977 0.717389 BG
paper 149 509 162 524 0.110824 0.533026 BG
paper 695 484 721 507 0.10986 0.509704 BG
paper 486 460 502 480 0.108373 0.709365 BG
paper 454 427 473 451 0.107635 0.751695 BG
paper 471 440 490 466 0.106384 0.737220 BG
paper 421 395 429 407 0.105471 0.599038 BG
paper 410 361 445 391 0.105083 0.768187 BG
paper 712 496 721 505 0.104627 0.483812 BG
paper 382 354 395 369 0.103812 0.805677 BG
paper 688 477 698 492 0.103716 0.530385 BG
paper 501 484 504 487 0.100247 0.733685 BG
box 208 198 211 200 0.299188 0.572752 BG
box 694 482 701 495 0.234773 0.458034 BG
box 687 476 699 492 0.211388 0.530385 BG
box 508 501 514 513 0.186609 0.361013 BG
box 514 501 519 514 0.183295 0.360402 BG
box 698 492 701 495 0.163149 0.527283 BG
box 525 493 546 529 0.159361 0.174889 BG
box 684 473 690 480 0.157142 0.671216 BG
box 504 487 511 497 0.153376 0.286284 BG
box 352 512 355 529 0.145503 0.210578 BG
box 511 481 536 529 0.144003 0.171841 BG
box 444 511 472 529 0.142106 0.244833 BG
box 196 194 201 198 0.139051 0.802022 BG
box 528 512 534 518 0.138896 0.275296 BG
box 545 512 549 520 0.137265 0.252830 BG
box 531 504 546 518 0.133053 0.254450 BG
box 708 357 711 359 0.130693 0.219256 BG
box 704 385 709 391 0.115135 0.279025 BG
box 1 298 7 305 0.110719 0.827384 BG
box 721 502 729 518 0.107522 0.271033 BG
box 148 508 162 524 0.10199 0.533026 BG
box 1 276 6 278 0.101752 0.799900 BG
box 709 505 721 513 0.100883 0.483216 BG
whiteboard 19 0 697 145 0.398263 0.581019 BG
garbage_bin 31 478 36 487 0.189905 0.292828 BG
garbage_bin 704 311 712 318 0.185229 0.244134 BG
garbage_bin 708 354 729 362 0.139478 0.126325 BG
garbage_bin 491 474 500 488 0.131973 0.433916 BG
garbage_bin 503 487 511 498 0.125281 0.286284 BG
garbage_bin 535 523 543 529 0.114832 0.222633 BG
garbage_bin 719 414 729 419 0.110365 0.122193 BG
garbage_bin 527 513 534 518 0.104984 0.275296 BG
garbage_bin 530 505 546 518 0.10446 0.254450 BG
garbage_bin 707 357 711 359 0.101933 0.219256 BG
