cabinet 207 135 289 218 0.13501 0.522941 desk
bed 29 168 525 440 0.998879 0.000530 bed
chair 154 133 222 223 0.902101 0.089569 chair
chair 384 425 391 432 0.174269 0.276287 BG
chair 513 277 515 285 0.171818 0.803575 BG
chair 511 256 587 293 0.158074 0.717175 BG
chair 513 269 520 289 0.120632 0.854151 BG
chair 415 424 422 437 0.104617 0.265896 BG
chair 511 264 516 269 0.102551 0.874568 BG
table 508 284 589 383 0.116055 0.620666 BG
table 203 136 396 223 0.112609 0.664671 BG
picture 396 0 478 111 0.581889 0.254177 picture
picture 255 108 266 113 0.155342 0.733481 BG
picture 464 56 491 94 0.119721 0.657011 BG
picture 267 107 274 114 0.107141 0.735870 BG
desk 225 133 405 225 0.279782 0.620825 BG
pillow 348 205 396 242 0.63247 0.364755 BG
pillow 430 225 443 239 0.233414 0.744478 BG
pillow 112 352 155 370 0.146285 0.853202 BG
pillow 119 365 132 374 0.141356 0.849683 BG
pillow 307 197 381 234 0.132166 0.837489 BG
pillow 409 205 432 222 0.131139 0.797913 BG
pillow 118 355 134 367 0.121433 0.878382 BG
pillow 384 261 386 262 0.118895 0.880415 BG
pillow 435 245 449 255 0.112403 0.880200 BG
pillow 421 203 476 253 0.107589 0.837248 BG
pillow 151 202 429 285 0.101877 0.863325 BG
tv 507 283 590 355 0.10823 0.674475 BG
paper 588 296 590 297 0.157541 0.459303 BG
paper 3 241 32 259 0.157531 0.734167 BG
paper 572 329 574 330 0.154738 0.359432 BG
paper 521 415 527 423 0.138857 0.429253 BG
paper 72 384 75 391 0.134981 0.574343 BG
paper 560 432 569 440 0.134836 0.155838 BG
paper 478 399 490 440 0.128621 0.384723 BG
paper 303 395 333 431 0.128008 0.647103 BG
paper 464 398 482 431 0.123443 0.555106 BG
paper 488 399 528 440 0.117524 0.349554 BG
paper 492 398 511 415 0.110254 0.584775 BG
paper 559 400 575 414 0.108398 0.364851 BG
paper 448 398 474 440 0.101932 0.443312 BG
paper 74 384 77 387 0.100649 0.634810 BG
towel 477 116 486 129 0.123907 0.709285 BG
box 520 415 527 423 0.104637 0.429253 BG
box 132 425 154 440 0.10084 0.582410 BG
whiteboard 8 5 174 225 0.780308 0.191804 BG
whiteboard 474 2 590 230 0.360067 0.447845 BG
whiteboard 7 192 159 237 0.164219 0.799378 BG
night_stand 245 153 287 217 0.17555 0.606120 BG
night_stand 439 208 479 254 0.104216 0.785853 BG
lamp 471 132 487 160 0.349763 0.645072 BG
lamp 472 64 513 162 0.225322 0.640709 lamp
lamp 343 55 371 134 0.180141 0.742548 lamp&&lamp
lamp 342 116 352 129 0.148762 0.849770 BG
garbage_bin 485 303 495 316 0.127388 0.851626 BG
garbage_bin 476 297 492 315 0.100374 0.872797 BG
