cabinet 490 165 693 416 0.132293 0.780039 cabinet
bed 60 166 562 516 0.200256 0.071000 sofa
bed 601 117 722 439 0.13997 0.676197 BG
bed 315 88 690 456 0.10384 0.792271 BG
chair 661 269 725 423 0.220179 0.471620 BG
chair 351 19 405 94 0.127309 0.703027 BG
sofa 0 150 678 525 0.927306 0.050342 sofa
picture 552 76 595 134 0.528742 0.406228 picture
picture 238 1 289 81 0.4456 0.316948 BG
picture 474 36 511 139 0.341259 0.422947 BG
picture 473 110 478 118 0.230715 0.426553 BG
picture 30 4 103 55 0.213791 0.599948 BG
picture 602 116 709 195 0.196104 0.637018 BG
picture 1 2 12 53 0.189023 0.547111 BG
picture 433 17 511 98 0.167931 0.470059 BG
picture 672 128 728 214 0.152092 0.688408 BG
picture 284 1 312 36 0.147996 0.461797 BG
picture 91 1 106 16 0.135801 0.637982 BG
picture 213 1 274 28 0.135373 0.719852 BG
picture 445 5 489 52 0.135165 0.699061 BG
picture 272 27 301 60 0.134719 0.406472 BG
picture 63 23 67 32 0.11871 0.750181 BG
picture 272 1 349 67 0.116491 0.450192 BG
picture 106 1 162 37 0.114002 0.612406 BG
picture 1 1 4 14 0.108223 0.733748 BG
picture 212 25 264 94 0.108024 0.673809 BG
picture 54 32 64 39 0.101553 0.780385 BG
picture 44 225 73 250 0.10037 0.436434 BG
counter 503 172 723 259 0.140413 0.802204 BG
pillow 14 243 215 396 0.430163 0.317217 pillow
pillow 345 85 475 193 0.388065 0.501799 BG
pillow 294 192 524 358 0.186559 0.623324 pillow
pillow 441 306 473 353 0.14405 0.652723 BG
pillow 298 97 314 107 0.113269 0.301143 BG
pillow 662 206 726 222 0.108826 0.613246 BG
paper 437 345 466 365 0.224634 0.480665 BG
paper 277 90 279 93 0.195786 0.064409 BG
paper 272 83 284 95 0.181608 0.117363 BG
paper 711 505 729 529 0.181045 0.123860 BG
paper 493 208 515 218 0.172235 0.537988 BG
paper 153 24 160 33 0.167878 0.151770 BG
paper 473 69 498 144 0.167141 0.404625 BG
paper 256 60 280 94 0.158588 0.251837 BG
paper 723 206 729 216 0.157658 0.123730 BG
paper 474 110 477 118 0.153965 0.426553 BG
paper 1 0 10 41 0.153413 0.532485 BG
paper 273 28 299 58 0.149557 0.406472 BG
paper 108 18 124 34 0.145867 0.407765 BG
paper 282 49 310 85 0.144441 0.218246 BG
paper 45 225 73 249 0.14277 0.436434 BG
paper 277 80 304 96 0.139729 0.159801 BG
paper 360 22 385 31 0.13779 0.548068 BG
paper 298 94 302 98 0.135846 0.171272 BG
paper 489 207 498 211 0.124637 0.701578 BG
paper 154 114 157 123 0.122589 0.414287 BG
paper 288 92 313 107 0.113443 0.234995 BG
paper 299 67 312 95 0.111547 0.250187 BG
paper 637 380 638 385 0.111089 0.733570 BG
paper 239 0 288 78 0.111025 0.316948 BG
paper 564 296 622 341 0.109614 0.772792 BG
paper 648 454 728 529 0.109214 0.614561 BG
paper 248 104 251 108 0.102549 0.448908 BG
paper 276 96 315 124 0.102029 0.305289 BG
towel 277 80 304 96 0.122506 0.159801 BG
towel 277 45 324 96 0.119492 0.368530 BG
towel 299 67 312 95 0.117109 0.250187 BG
towel 272 83 285 94 0.109154 0.117363 BG
towel 277 90 280 92 0.100876 0.064409 BG
towel 291 0 346 65 0.100478 0.407679 BG
towel 288 92 314 107 0.100114 0.234995 BG
box 473 110 478 117 0.126628 0.426553 BG
box 270 1 351 65 0.123532 0.450192 BG
box 45 225 73 248 0.116604 0.436434 BG
box 693 204 700 208 0.111671 0.463713 BG
box 714 327 729 363 0.107685 0.451681 BG
box 386 75 398 87 0.102502 0.657488 BG
box 513 165 522 176 0.101484 0.791600 BG
whiteboard 605 1 722 58 0.368609 0.574132 BG
person 726 408 729 420 0.213059 0.530843 BG
person 707 401 729 446 0.198599 0.562956 BG
person 720 404 729 413 0.137151 0.660039 BG
lamp 447 15 512 53 0.25192 0.532904 BG
lamp 433 33 487 99 0.218454 0.393252 BG
lamp 497 30 512 52 0.177948 0.685101 BG
lamp 477 13 499 47 0.171003 0.678615 BG
lamp 447 17 511 144 0.144393 0.469571 BG
lamp 444 31 474 52 0.116532 0.584217 BG
lamp 454 1 723 58 0.109797 0.512389 BG
garbage_bin 707 478 729 529 0.122276 0.125879 BG
garbage_bin 315 8 333 35 0.120729 0.575153 BG
garbage_bin 316 31 348 41 0.114436 0.559731 BG
garbage_bin 674 243 729 272 0.114184 0.387844 BG
garbage_bin 276 90 280 93 0.102231 0.064409 BG
