bed 567 275 729 464 0.141809 0.649454 sofa_chair
chair 216 279 222 288 0.142346 0.812600 BG
sofa 0 146 723 519 0.928403 0.069338 sofa
sofa 0 118 253 464 0.216733 0.696296 BG
sofa 718 411 724 416 0.198564 0.498405 BG
sofa 442 210 729 471 0.192777 0.790270 BG
sofa 555 303 728 425 0.160012 0.695145 BG
sofa 722 407 729 415 0.157623 0.247302 BG
sofa 80 152 382 332 0.144947 0.834905 BG
sofa 164 169 170 175 0.131044 0.792132 BG
table 69 423 329 529 0.512564 0.425558 BG
table 0 238 421 529 0.12571 0.792541 BG
picture 649 171 719 214 0.471892 0.430506 BG
picture 718 167 725 195 0.403853 0.298645 BG
picture 713 99 729 217 0.259998 0.437449 BG
picture 703 1 719 27 0.164736 0.486570 BG
picture 725 96 729 101 0.159576 0.193619 BG
picture 648 98 729 222 0.116183 0.768999 BG
picture 719 47 729 59 0.115596 0.361989 BG
picture 498 3 583 76 0.114768 0.485185 BG
picture 706 10 729 81 0.105148 0.523754 BG
picture 702 1 707 12 0.103775 0.574563 BG
blinds 33 5 311 157 0.288487 0.643255 curtain
blinds 0 2 35 140 0.173838 0.448382 BG
pillow 519 210 596 270 0.944875 0.055124 pillow
pillow 547 219 644 297 0.920831 0.079133 pillow
pillow 8 149 79 214 0.729149 0.269399 pillow
pillow 4 157 40 195 0.58349 0.416426 BG
pillow 264 168 384 226 0.583179 0.416817 pillow
pillow 2 158 21 181 0.531259 0.468704 BG
pillow 337 171 465 229 0.527571 0.472407 BG
pillow 1 159 10 169 0.505325 0.494663 BG
pillow 11 152 145 268 0.461994 0.528528 BG
pillow 337 178 383 219 0.452527 0.547461 pillow
pillow 73 169 139 223 0.36156 0.581068 pillow&&pillow
pillow 162 165 252 221 0.332677 0.660088 pillow&&pillow
pillow 381 186 430 230 0.330595 0.669397 pillow
pillow 414 175 511 229 0.270512 0.728756 pillow
pillow 75 166 78 168 0.268959 0.720344 BG
pillow 668 265 721 309 0.261774 0.732884 BG
pillow 610 252 657 296 0.242421 0.755885 pillow
pillow 362 174 417 191 0.232395 0.754923 BG
pillow 163 282 176 301 0.187929 0.802248 BG
pillow 166 174 182 209 0.184145 0.809165 BG
pillow 515 221 534 252 0.17707 0.822930 BG
pillow 465 139 695 310 0.152002 0.846769 BG
pillow 175 289 177 292 0.143254 0.855094 BG
pillow 702 281 727 325 0.136689 0.786753 BG
pillow 12 173 26 181 0.128617 0.871364 BG
pillow 92 266 187 316 0.12357 0.834165 BG
pillow 378 182 401 190 0.12085 0.839916 BG
pillow 405 206 579 268 0.120719 0.879245 BG
pillow 7 166 13 173 0.111943 0.888042 BG
pillow 62 161 362 241 0.106168 0.882575 BG
clothes 4 302 8 308 0.11239 0.716309 BG
paper 280 479 362 529 0.257827 0.371332 BG
paper 276 502 286 514 0.13591 0.637320 BG
paper 649 167 729 215 0.127338 0.406209 BG
paper 703 0 718 26 0.120878 0.486570 BG
paper 719 169 729 213 0.116828 0.246709 BG
paper 713 101 729 214 0.11075 0.437449 BG
paper 340 514 365 529 0.108877 0.297621 BG
paper 726 96 729 101 0.104177 0.193619 BG
towel 1 285 17 526 0.106494 0.512143 BG
box 277 475 366 528 0.182287 0.371332 BG
box 339 514 365 529 0.131169 0.297621 BG
box 540 1 576 60 0.102379 0.404390 BG
garbage_bin 73 378 78 387 0.150984 0.841566 BG
garbage_bin 69 338 102 402 0.106129 0.884972 BG
