cabinet 79 169 356 483 0.106481 0.490372 file_cabinet
sofa 80 90 483 490 0.256402 0.562371 BG
sofa 7 429 14 434 0.112073 0.249531 BG
table 1 248 39 402 0.185409 0.612707 BG
table 102 223 601 520 0.106654 0.802535 floor
door 31 236 37 244 0.217298 0.446816 BG
door 39 235 45 241 0.189394 0.440489 BG
door 36 225 45 241 0.145058 0.528427 BG
door 39 238 48 259 0.118002 0.664284 BG
door 590 232 593 254 0.116488 0.666224 BG
door 26 213 38 250 0.116129 0.676893 BG
picture 1 192 18 250 0.127534 0.286317 BG
picture 713 176 729 187 0.120773 0.424050 BG
picture 709 170 717 178 0.100027 0.504410 BG
pillow 65 96 217 212 0.155182 0.539254 monitor
clothes 93 90 211 207 0.147752 0.532445 monitor
paper 1 206 17 247 0.25564 0.268304 BG
paper 452 106 466 118 0.236573 0.459647 BG
paper 462 107 466 115 0.234921 0.485936 BG
paper 1 109 2 116 0.192555 0.456314 BG
paper 31 143 50 152 0.1593 0.600761 BG
paper 273 198 288 202 0.152288 0.707174 BG
paper 284 282 288 284 0.129864 0.664870 BG
paper 318 214 320 218 0.129772 0.337077 BG
paper 233 288 239 290 0.10774 0.608864 BG
paper 265 202 281 206 0.101811 0.775918 BG
paper 723 268 729 278 0.101554 0.339164 BG
towel 35 94 214 260 0.113757 0.481946 monitor
box 1 194 19 250 0.368123 0.286317 BG
box 576 273 580 278 0.174271 0.689539 BG
box 288 196 316 209 0.17327 0.692374 BG
box 119 426 122 444 0.157972 0.791674 BG
box 0 199 4 205 0.156329 0.703149 BG
box 317 213 320 219 0.136091 0.337077 BG
box 576 253 581 278 0.127161 0.677810 BG
box 496 271 511 306 0.119407 0.663685 BG
box 561 287 575 301 0.119038 0.714862 BG
box 465 316 471 334 0.114208 0.759614 BG
box 497 271 506 275 0.113912 0.657750 BG
box 2 247 18 271 0.108267 0.792392 BG
box 723 267 729 277 0.104788 0.339164 BG
box 665 236 666 237 0.104271 0.643016 BG
box 583 284 587 288 0.102318 0.746200 BG
whiteboard 32 3 484 193 0.388836 0.585012 BG
whiteboard 591 261 591 268 0.286719 0.524846 BG
whiteboard 589 257 592 265 0.248274 0.499143 BG
bathtub 119 322 339 478 0.18011 0.512849 BG
bag 63 95 242 221 0.185018 0.482218 monitor
garbage_bin 352 312 461 347 0.132627 0.684413 BG
garbage_bin 711 73 729 183 0.130836 0.226538 BG
garbage_bin 337 217 342 234 0.121182 0.543247 BG
garbage_bin 337 217 342 219 0.119412 0.504539 BG
garbage_bin 317 213 320 218 0.116052 0.337077 BG
garbage_bin 723 268 729 278 0.106878 0.339164 BG
garbage_bin 466 320 467 335 0.102567 0.773338 BG
