bed 215 212 684 513 0.100742 0.835751 coffee_table
chair 268 109 275 124 0.219378 0.773992 BG
sofa 88 88 695 429 0.975087 0.024504 sofa
sofa 276 106 327 150 0.360276 0.592383 BG
sofa 38 124 394 317 0.31372 0.662151 BG
sofa 718 272 729 288 0.304948 0.144538 BG
sofa 704 268 729 349 0.297863 0.426347 BG
sofa 254 95 409 203 0.256606 0.572911 BG
sofa 157 105 272 163 0.231939 0.708764 BG
sofa 718 148 722 150 0.231735 0.684879 BG
sofa 335 221 726 375 0.21742 0.780388 BG
sofa 697 149 729 161 0.214709 0.745225 BG
sofa 720 334 729 347 0.190528 0.602193 BG
sofa 716 293 722 299 0.161457 0.317809 BG
sofa 711 275 723 283 0.118699 0.683389 BG
sofa 285 99 397 119 0.101266 0.871106 BG
door 4 84 89 206 0.107073 0.501335 BG
picture 89 146 99 179 0.117213 0.575629 BG
picture 222 18 240 84 0.101255 0.291132 BG
blinds 99 4 272 149 0.241771 0.670757 BG
pillow 228 124 376 193 0.731916 0.264888 pillow
pillow 166 107 267 198 0.569846 0.415123 BG
pillow 292 151 327 216 0.330812 0.668890 BG
pillow 307 157 354 209 0.258265 0.740506 pillow
pillow 365 107 518 218 0.177358 0.814044 BG
pillow 321 201 326 207 0.166273 0.833503 BG
pillow 514 132 631 246 0.162858 0.830086 BG
pillow 517 205 610 243 0.15386 0.831967 BG
pillow 321 197 342 207 0.142526 0.857191 BG
pillow 262 167 298 195 0.112995 0.886889 BG
pillow 327 156 373 189 0.107896 0.882423 BG
pillow 233 144 271 196 0.101008 0.898112 BG
clothes 448 376 479 382 0.118764 0.767205 BG
clothes 426 392 446 412 0.10229 0.818736 BG
paper 156 25 158 28 0.286823 0.303319 BG
paper 144 25 161 46 0.240295 0.179541 BG
paper 414 510 415 511 0.225256 0.355053 BG
paper 186 36 189 40 0.224648 0.156809 BG
paper 197 23 200 27 0.212466 0.477525 BG
paper 183 22 191 40 0.205917 0.340778 BG
paper 250 37 261 58 0.189301 0.305573 BG
paper 388 494 404 506 0.176454 0.598180 BG
paper 112 25 133 48 0.172879 0.227469 BG
paper 249 19 260 37 0.166369 0.372908 BG
paper 222 16 240 82 0.137584 0.291132 BG
paper 414 511 440 526 0.131065 0.534911 BG
paper 111 20 114 24 0.130382 0.608908 BG
paper 379 489 387 496 0.129197 0.655949 BG
paper 283 350 289 355 0.127614 0.773929 BG
paper 146 43 162 94 0.113931 0.155201 BG
paper 199 61 203 82 0.105417 0.412921 BG
paper 671 384 729 442 0.101426 0.501804 BG
paper 388 494 395 500 0.100169 0.723521 BG
towel 112 25 134 47 0.118061 0.227469 BG
box 413 509 416 511 0.168097 0.355053 BG
box 393 498 405 506 0.12713 0.577841 BG
box 185 37 190 40 0.102732 0.156809 BG
whiteboard 225 3 705 110 0.410749 0.581786 BG
whiteboard 145 43 163 95 0.103105 0.155201 BG
person 717 292 722 300 0.343792 0.317809 BG
garbage_bin 327 328 587 522 0.192205 0.729150 BG
