cabinet 33 66 313 233 0.40667 0.302829 tv_stand
chair 22 172 296 420 0.963095 0.026614 chair
chair 312 114 532 352 0.922358 0.056280 chair
chair 292 244 578 440 0.846141 0.147689 chair
chair 34 320 470 437 0.422477 0.168305 table
chair 4 188 58 370 0.221872 0.762001 floor
chair 264 300 302 329 0.127957 0.826513 BG
chair 267 323 272 328 0.116126 0.865988 BG
chair 353 249 506 344 0.109567 0.880960 BG
table 0 325 331 437 0.776414 0.099388 table
table 463 220 582 432 0.272146 0.285728 BG
table 19 146 348 407 0.230849 0.231076 chair
table 188 64 314 261 0.159679 0.788799 BG
table 2 139 22 192 0.104432 0.582439 BG
door 279 187 318 276 0.12095 0.441848 BG
door 24 106 57 159 0.100038 0.708669 BG
picture 209 1 236 23 0.166053 0.520925 BG
clothes 1 329 3 332 0.106812 0.733875 BG
tv 69 71 270 194 0.116352 0.742042 BG
tv 495 431 509 440 0.111183 0.215008 BG
paper 276 423 364 440 0.168595 0.361297 BG
paper 284 420 301 430 0.153624 0.770379 BG
box 21 159 26 166 0.265487 0.630218 BG
box 548 191 554 203 0.235236 0.579915 BG
box 331 148 348 154 0.18071 0.740471 BG
box 22 167 26 177 0.161655 0.596967 BG
box 541 191 544 193 0.15318 0.618011 BG
box 10 159 20 167 0.12143 0.712102 BG
box 530 183 551 193 0.119571 0.689292 BG
box 536 253 541 260 0.105362 0.591525 BG
box 17 138 27 158 0.101784 0.766904 BG
whiteboard 60 2 202 87 0.63095 0.269317 BG
lamp 209 0 236 54 0.242656 0.515656 BG
lamp 471 275 590 440 0.199704 0.344994 BG
lamp 213 8 233 23 0.133279 0.787344 BG
lamp 209 0 235 11 0.122651 0.512689 BG
garbage_bin 23 177 27 182 0.384624 0.405569 BG
garbage_bin 236 321 306 429 0.363165 0.501071 BG
garbage_bin 19 184 30 193 0.354032 0.580037 BG
garbage_bin 32 184 38 191 0.286721 0.643260 BG
garbage_bin 517 197 549 275 0.213013 0.622365 BG
garbage_bin 22 168 28 191 0.194908 0.660594 BG
garbage_bin 535 195 548 230 0.180895 0.738460 BG
garbage_bin 293 77 323 100 0.15055 0.830896 BG
garbage_bin 532 214 546 257 0.128343 0.699405 BG
garbage_bin 17 144 58 196 0.123416 0.729687 BG
garbage_bin 19 156 27 178 0.116977 0.690551 BG
garbage_bin 316 76 323 94 0.114716 0.849381 BG
