cabinet 361 130 547 309 0.23417 0.613565 kitchen_counter
chair 2 221 97 425 0.439849 0.429352 chair
chair 470 183 554 346 0.328927 0.559520 BG
chair 297 317 349 398 0.241585 0.751495 BG
chair 40 216 359 426 0.189423 0.462919 island
chair 264 201 265 204 0.168754 0.774557 BG
chair 207 170 497 426 0.152808 0.799155 BG
chair 336 366 362 397 0.147276 0.716378 BG
chair 481 193 504 287 0.135226 0.845045 BG
chair 246 208 260 217 0.126475 0.814832 BG
chair 415 74 452 107 0.119736 0.555333 BG
chair 244 207 277 238 0.110981 0.860828 BG
table 16 231 335 426 0.858643 0.099748 island
table 147 192 264 248 0.271659 0.350932 BG
table 333 361 365 426 0.207063 0.625331 BG
table 0 203 54 426 0.164727 0.622211 BG
table 291 251 506 425 0.160466 0.748436 chair
table 282 391 504 425 0.144543 0.767778 BG
picture 541 151 560 183 0.330224 0.313847 BG
picture 87 154 126 210 0.228605 0.454624 BG
picture 476 41 560 124 0.221101 0.499653 BG
picture 1 56 25 156 0.176783 0.190000 BG
picture 86 188 112 212 0.14893 0.556804 BG
picture 84 164 85 167 0.1231 0.372229 BG
counter 277 9 560 47 0.105681 0.876536 BG
blinds 3 48 72 227 0.385437 0.440419 BG
blinds 1 106 8 156 0.20542 0.149614 BG
blinds 0 59 24 161 0.197937 0.190000 BG
blinds 204 57 260 203 0.116131 0.701919 BG
desk 1 238 122 418 0.148528 0.201215 chair
tv 476 41 560 129 0.107175 0.499653 BG
tv 447 44 498 119 0.104455 0.755225 BG
paper 1 319 8 355 0.703606 0.267988 BG
paper 204 59 241 185 0.355239 0.430632 BG
paper 5 306 28 336 0.328131 0.522416 BG
paper 553 97 555 103 0.244738 0.407250 BG
paper 533 90 548 117 0.244561 0.483494 BG
paper 196 387 212 426 0.225309 0.294796 BG
paper 96 29 123 37 0.219362 0.736447 BG
paper 230 397 279 426 0.188932 0.554591 BG
paper 551 97 560 116 0.172656 0.506571 BG
paper 169 179 180 198 0.168279 0.459561 BG
paper 1 51 25 158 0.156792 0.190000 BG
paper 168 389 183 426 0.151935 0.524653 BG
paper 206 120 224 138 0.145473 0.751127 BG
paper 79 25 110 32 0.126668 0.793844 BG
paper 505 342 560 426 0.125314 0.611822 floor
paper 199 386 212 395 0.123394 0.758364 BG
paper 289 194 297 197 0.123116 0.799849 BG
paper 84 164 86 166 0.121839 0.372229 BG
paper 110 296 117 329 0.120133 0.762155 BG
paper 307 255 322 272 0.120098 0.816247 BG
paper 160 189 226 240 0.116946 0.279334 BG
paper 232 423 275 426 0.113973 0.269119 BG
paper 493 400 496 405 0.112031 0.781168 BG
paper 207 160 211 165 0.110379 0.427619 BG
paper 56 407 83 426 0.107717 0.265080 BG
paper 88 188 111 200 0.106758 0.440503 BG
paper 149 211 151 219 0.10647 0.725057 BG
paper 208 121 210 124 0.105076 0.798221 BG
paper 541 151 560 183 0.104481 0.313847 BG
paper 1 235 32 333 0.103259 0.603896 BG
paper 169 198 173 204 0.102741 0.757211 BG
box 75 256 123 285 0.338487 0.582975 BG
box 166 47 171 83 0.222754 0.586749 BG
box 415 77 452 103 0.20346 0.555333 BG
box 52 267 77 307 0.176566 0.789890 BG
box 231 423 277 426 0.175461 0.323312 BG
box 141 398 153 425 0.172187 0.597444 BG
box 107 409 128 425 0.16552 0.442989 BG
box 168 388 184 426 0.164143 0.524653 BG
box 51 237 94 265 0.163212 0.737140 BG
box 445 89 463 109 0.161447 0.661135 BG
box 196 385 213 425 0.154165 0.294796 BG
box 416 109 420 111 0.149822 0.643424 BG
box 417 105 442 111 0.148857 0.649303 BG
box 1 234 35 316 0.147882 0.564252 BG
box 276 423 278 426 0.138252 0.593707 BG
box 196 424 197 426 0.129629 0.297701 BG
box 167 358 214 425 0.127839 0.662243 BG
box 407 102 421 108 0.127209 0.697255 BG
box 56 407 83 425 0.12706 0.265080 BG
box 168 424 182 426 0.125698 0.337278 BG
box 553 96 555 103 0.124471 0.407250 BG
box 105 394 153 425 0.120516 0.699120 BG
box 551 97 560 116 0.120014 0.506571 BG
box 188 159 205 184 0.119322 0.460965 BG
box 6 304 29 336 0.118247 0.522416 BG
box 84 164 86 166 0.117097 0.372229 BG
box 206 160 210 165 0.116635 0.427619 BG
box 170 186 174 197 0.116398 0.352405 BG
box 162 200 164 200 0.115736 0.511875 BG
box 381 415 490 426 0.115148 0.282978 BG
box 444 44 487 109 0.112223 0.724499 BG
box 533 90 550 117 0.110674 0.483494 BG
box 196 423 211 426 0.110486 0.266644 BG
box 160 184 222 239 0.105704 0.279334 BG
box 112 190 140 208 0.103881 0.658629 BG
box 281 89 350 217 0.102123 0.577622 BG
box 445 106 463 110 0.101707 0.808913 BG
box 27 274 41 328 0.10044 0.840194 BG
whiteboard 1 107 9 165 0.395182 0.149614 BG
whiteboard 382 166 471 291 0.313494 0.591274 BG
whiteboard 0 60 26 175 0.183273 0.190000 BG
lamp 159 183 222 241 0.204126 0.279334 BG
lamp 129 233 156 239 0.11576 0.614872 BG
