bed 129 258 476 522 0.991659 0.005869 bed
chair 0 364 181 528 0.951412 0.045444 chair
chair 428 338 551 523 0.790321 0.200399 BG
chair 64 356 164 422 0.177533 0.793265 BG
chair 173 276 227 311 0.116097 0.837809 BG
chair 90 362 116 379 0.114201 0.806350 BG
chair 76 383 83 388 0.112496 0.857795 BG
door 0 4 62 271 0.135956 0.253161 curtain
door 549 448 554 459 0.117498 0.683043 BG
picture 405 175 478 261 0.834112 0.161735 BG
picture 129 156 219 213 0.663701 0.265109 BG
picture 130 175 154 206 0.522832 0.356362 BG
picture 31 192 50 259 0.357961 0.530983 BG
picture 440 148 476 168 0.307839 0.542056 BG
picture 169 155 188 211 0.290965 0.680253 BG
picture 3 8 64 262 0.268886 0.253161 curtain
picture 207 123 241 145 0.248783 0.596421 BG
picture 273 258 291 312 0.246127 0.478509 BG
picture 286 282 290 293 0.237499 0.610110 BG
picture 188 201 211 210 0.228945 0.755271 BG
picture 201 202 210 207 0.198639 0.790898 BG
picture 155 179 172 208 0.171438 0.776736 BG
picture 117 259 122 268 0.15799 0.778305 BG
picture 461 179 465 181 0.157852 0.400327 BG
picture 424 192 431 198 0.156125 0.776314 BG
picture 131 175 147 182 0.153935 0.664955 BG
picture 423 192 431 210 0.130471 0.851092 BG
picture 302 185 337 236 0.128267 0.806659 BG
picture 309 183 337 202 0.118853 0.856927 BG
picture 275 215 324 306 0.111257 0.711904 BG
picture 195 180 207 187 0.108741 0.881288 BG
picture 167 93 241 144 0.106989 0.722925 BG
counter 144 348 150 350 0.119433 0.404487 BG
counter 140 349 174 377 0.110202 0.516039 BG
pillow 355 269 460 342 0.784363 0.214095 pillow
pillow 413 277 459 305 0.232759 0.754087 BG
pillow 374 302 383 308 0.21336 0.782554 BG
pillow 415 18 417 21 0.13156 0.679858 BG
pillow 394 319 405 328 0.126279 0.872556 BG
pillow 401 334 432 349 0.125665 0.874148 BG
pillow 401 335 408 341 0.113602 0.886264 BG
pillow 415 277 436 293 0.113125 0.874198 BG
pillow 411 301 451 327 0.110853 0.880577 BG
pillow 310 317 446 367 0.110172 0.888801 BG
pillow 270 279 477 399 0.109176 0.842265 BG
pillow 311 322 316 324 0.108983 0.877325 BG
pillow 372 289 394 303 0.106357 0.871678 BG
paper 78 513 79 513 0.184114 0.395198 BG
paper 79 513 100 529 0.156683 0.289217 BG
paper 132 175 147 182 0.156027 0.664955 BG
paper 79 501 120 529 0.155632 0.471050 BG
paper 131 181 147 202 0.151685 0.577114 BG
paper 35 169 45 219 0.124878 0.679669 BG
paper 98 503 179 529 0.118935 0.448695 BG
paper 132 144 175 209 0.117504 0.526918 BG
paper 462 179 465 181 0.115184 0.400327 BG
paper 1 515 26 526 0.112186 0.735238 BG
paper 297 494 303 504 0.111143 0.670831 BG
paper 31 162 50 258 0.105872 0.512015 BG
paper 1 527 26 529 0.105196 0.473551 BG
box 16 473 98 528 0.521652 0.272190 BG
box 111 347 141 349 0.230753 0.324769 BG
box 77 512 80 514 0.206838 0.395198 BG
box 109 350 142 372 0.171277 0.434819 BG
box 78 499 120 529 0.162402 0.471050 BG
box 111 346 155 359 0.160064 0.423907 BG
box 115 79 173 128 0.151346 0.738991 BG
box 159 129 168 130 0.150099 0.669337 BG
box 79 519 97 529 0.144911 0.267934 BG
box 1 526 27 529 0.132526 0.473551 BG
box 2 517 63 529 0.117696 0.602723 BG
box 159 128 177 134 0.116448 0.699097 BG
box 539 516 546 529 0.108995 0.483042 BG
box 167 93 242 144 0.107371 0.722925 BG
box 110 316 161 347 0.104518 0.682499 BG
lamp 6 326 69 365 0.180495 0.585872 BG
lamp 285 259 289 277 0.126887 0.693010 BG
garbage_bin 221 284 232 299 0.211094 0.429524 BG
