cabinet 11 93 168 318 0.258501 0.607912 shelves
chair 456 172 549 412 0.322853 0.517566 BG
chair 333 419 338 423 0.236112 0.445441 BG
chair 334 417 347 426 0.193178 0.223406 BG
chair 323 419 338 426 0.152067 0.266060 BG
chair 324 269 534 422 0.125284 0.354423 BG
chair 453 276 560 348 0.103514 0.886240 BG
table 291 204 534 422 0.971093 0.011470 BG
table 332 419 337 423 0.127397 0.445441 BG
door 309 5 326 173 0.250996 0.654604 BG
door 197 6 220 196 0.244935 0.627560 BG
door 138 4 207 266 0.145627 0.790669 BG
bookshelf 0 26 151 312 0.656219 0.321672 cubby&&shelves
bookshelf 3 1 65 209 0.307753 0.683668 BG
bookshelf 0 54 117 116 0.137262 0.851971 BG
bookshelf 3 183 153 267 0.101123 0.890410 BG
picture 185 80 205 106 0.613828 0.292503 bag
picture 421 1 558 72 0.45321 0.407818 kitchen_cabinet
picture 47 1 51 14 0.193605 0.423496 BG
picture 411 2 419 44 0.187432 0.557719 BG
picture 271 3 279 43 0.15876 0.470996 BG
picture 545 6 560 81 0.127193 0.705102 BG
picture 320 2 325 18 0.123347 0.728255 BG
picture 2 172 61 212 0.117788 0.848461 BG
picture 463 174 490 196 0.105816 0.633233 BG
picture 325 6 413 65 0.10549 0.839539 BG
counter 22 211 552 424 0.114026 0.577014 island&&counter
desk 0 247 535 426 0.293329 0.022815 island&&counter
clothes 227 78 312 185 0.369849 0.481265 BG
clothes 230 152 305 186 0.235331 0.570533 BG
clothes 541 271 560 291 0.161547 0.316334 BG
clothes 245 172 270 184 0.118038 0.856055 BG
tv 0 177 27 194 0.169527 0.697546 BG
tv 0 179 21 183 0.155101 0.712868 BG
paper 556 47 560 84 0.184938 0.373594 BG
paper 0 100 35 143 0.151319 0.818919 BG
paper 22 414 25 420 0.136566 0.593367 BG
paper 13 420 23 426 0.129739 0.294516 BG
paper 426 201 434 206 0.128867 0.723253 BG
paper 7 116 25 128 0.128404 0.866707 BG
paper 421 200 425 204 0.120963 0.737957 BG
paper 525 400 560 426 0.116957 0.550117 BG
paper 354 162 355 168 0.107997 0.495665 BG
paper 5 273 30 322 0.102945 0.829189 BG
paper 448 168 480 180 0.10241 0.645363 BG
box 29 263 70 292 0.459376 0.452951 BG
box 25 271 37 310 0.244041 0.673074 BG
box 349 171 357 190 0.227844 0.542821 BG
box 59 257 65 272 0.217745 0.611003 BG
box 2 270 17 296 0.174935 0.566377 BG
box 354 161 356 168 0.152891 0.495665 BG
box 13 420 23 426 0.151572 0.294516 BG
box 523 398 559 426 0.136442 0.550117 BG
box 24 415 26 419 0.116578 0.610703 BG
box 2 236 56 320 0.10793 0.757280 BG
box 463 173 489 195 0.104336 0.633233 BG
box 338 178 340 182 0.103464 0.747190 BG
box 267 16 274 24 0.103395 0.630938 BG
person 236 0 292 246 0.473783 0.315109 person
person 543 246 560 292 0.185229 0.312846 BG
person 237 58 240 64 0.111699 0.880838 BG
person 252 32 270 67 0.107086 0.884936 BG
lamp 328 9 410 173 0.225766 0.660038 BG
bag 542 249 560 292 0.192677 0.312846 BG
bag 235 154 299 188 0.15403 0.570533 BG
bag 233 86 307 189 0.100678 0.481265 BG
garbage_bin 540 227 560 300 0.104325 0.663104 BG
garbage_bin 294 159 303 180 0.103991 0.864580 BG
